bobek/mongo-debian
HephaestusVision/hephaestus
proton/zNotes
mne-tools/mne-cpp
bakwc/Epsilon5
zakinster/eiimage
ros/roscpp_core
wenyun/spa
OctaForge/OF-Engine
Databracket/cloudless
jiantao/Tangram
salilab/rmf
patrickfrey/textwolf
hpfem/hermes-examples
jorgeazevedo/xenomai-lab
schnorr/pajeng
MutantStargoat/calacirya
hpfem/hermes-tutorial
OwlPlatform/world-model
android/platform_hardware_ril
guruofquality/gras
neubig/pialign
logcabin/logcabin
linuxbox2/linuxbox-ceph
canboat/canboat
notepadqq/notepadqq
kg4lod/Neuro-Sand-Cube
fish2000/libsiftfast
TheWhisp/android_device_samsung_msm7x27-common
hetelek/Velocity
fredericgermain/LeakTracer
w-bamberger/CPProb
usnationalarchives/AVI-MetaEdit
undertheapi/OdinZ80
smistad/SIPL
mhaller/qwebdavlib
android/platform_external_webkit
taumuon/Metro-Bullet
LiveTex/Node-Pg
nichtich/RDF-NS
PetterS/submodular
jhellrung/sake
Squirtle/lazy-newb-pack-qt
obviousjim/ofxTriangle
it-workshop/UniSched
biochem-fan/NDKmol
omegaonline/oobase
rpavlik/cmake-modules
hadley/bigvis
XhmikosR/notepad2-mod
patriciogonzalezvivo/ofxPTAMM
Heeks/heekscnc
updraft/updraft
SkyFire/ascent_classic
dzo/hardware_qcom_camera_8960
GNOME/gnote
LeFroid/mangos-one
pipacs/steps
ADKstudyGroupTokyo/Yaoadk
bos/double-conversion
cmangos/mangos-classic
jdembski/xbmc-addon-vuplus
plasmodic/ecto_pcl
dslab-epfl/cloud9-depot
simplerr/Graphics-Library
davidshepherd7/oomph-lib-micromagnetics
BrianJSmith/Array
nodecast/ncs
ssfrr/libmanta
blackberry/Boost
plasm-language/pyplasm
cmangos/mangos-wotlk
funkey/sopnet
Gnurou/kdevelop
lballabio/quantlib
LibRaw/LibRaw
pgmodeler/pgmodeler
mivion/swisseph
leverich/mutilate
psifidotos/workflow-project
rafewenger/sharpiso
ulrichard/ftgl
AOKP/external_clang
count0/graph-tool
CTSRD-SOAAP/llvm
chirino/leveldb
CTSRD-SOAAP/clang
jiangmiao/node-curl
wg-perception/tabletop
Heeks/heekscad
Kangz/epyx
herumi/ate-pairing
waveto/node-crypto
amichaelt/BDSup2SubPlusPlus
deeplearningais/CUV
hanm/llvm
frankyeh/DSI-Studio
ldmt-muri/alignment-with-openfst
billybonks/LightRunner
ros/ros_comm
