SodiumFRP/sodium
wiped1/GeneticPainter
yhmtmt/aws
markrileybot/thrift-nano
pbek/QOwnNotes
surhudm/aum
vrpn/vrpn
Tomcc/dojo2D
gauss1314/flashtool
andydawson/stepps-prediction
italiancpp/yahtzee
bluebore/ToyDFS
valkjsaaa/RScheme-for-Mac
unnonouno/yamlcast
rohitgirdhar/Caffe_DepthRegression
openpad/openpad-server
Fossa/teleprescence
jeroenooms/V8
robhor/tcbvrp
mohamed-moanis/str-wars
libbitcoin/libbitcoin-node
Frank112/BP38Ergonomie
gameplay3d/GamePlay
lanyardtextile/cosmodon
GeoffreyBoom/OpenPewPewWow
Mooophy/159201
yxl/opencore-amr-js
mlimberto/APC_Project
cshimmin/hmet-fit
Quarx2k/android_device_asus_pf500kl
cessen/rune
patriciogonzalezvivo/piFrag
jturney/tensor
xushvai/xsvrd
electronifie/node-quickfix
tpaviot/smesh
DownloadMii/DownloadMii
jeromerobert/hmat-oss
ucfroboticsclub/ucf_robotics
ofloveandhate/bertini_real
thomaswatters/ucf_robotics
BlueBrain/music
eecs183/creatureTrainerAI
Cheukoin/cheukoin
ITLab-Vision/FDDB
dds-bridge/dds
revelator/The-Darkmod-Experimental
knorko/Multimedior
hyrise/sql-parser
MalteKurz/VineCPP
trillek-team/trillek-common
ipa320/cob_driver
fincs/picasso
n-west/gnuradio-volk
mru00/crane_gps_watch
stundenblume/woerdclock-software
d3roch4/LabEstoque
levjj/ualbertabot
Ianuarius/Puutarhapeli
ArrowganceStudios/Vinctus-Arce
markummitchell/engauge6
darydou/ahmi
Vegtam/Roguelike
trygogins/rosa-cloud
Merglyn/tiltmusic
ATetiukhin/Huffman
lortael/HDR_Display
iangray001/cse120-xmas
mrb2ej/SetOfLines_CPP
robotology-playground/idynutils
Scheik/ROS-Groovy-Workspace
sintegrial/qwtplot3d
gorillaking/FightingGame
arrayfire/arrayfire
davsuss/CS3824
Cmdu76/TiledMapEngine
robotology-playground/GYM
epam/nfstrace
luc-github/Repetier-Firmware-0.92
meng-han/uiucBioSensor
ajorians/FlowdockBot
ipa320/cob_object_perception
irrtoolset/irrtoolset
ipa320/cob_perception_common
obihann/DataStructures
bkloppenborg/arrayfire_benchmark
heavywatal/edal
brucelane/reymenta-mixnmap
gregoryyoung/fsprivateeye
mbedmicro/BLE_API
OsnaCS/codegolf
cameron314/concurrentqueue
facebook/proxygen
JeremyAnsel/xwa_ddraw_d3d11
cmbi/xssp
bianchini/Code
Ikarus76/UEJoystickPlugin
TheCoSMoCompany/biopredyn
cdkersey/Iqyax
Bradyta/MethodsAndToolsProject
