KABA-CCEAC/node-usb-detection
opendnssec/SoftHSMv2
fairlight1337/libcflie
Tomasu/LuaGlue
hluk/FakeVim
nstroustrup/lifespan
trendmicro/tlsh
arvidn/utrack
mperroteau/MusicTheory
alamatic/alamatic
colvars/colvars
Vbitz/Engine2D
ros-industrial/industrial_core
qtproject/qtserialport
Nevcairiel/lavfilters
qtproject/qtactiveqt
DaniBarca/GraphicPipeline
calref/cboe
steinwurf/kodo-ns3-examples
geenux/STS-simulator
kubohiroya/node-libpafe
ros-planning/moveit_ikfast
cyberdragon442/Mythical-Mod
dgobbi/vtk-dicom
rjeczalik/rapidjson
QtCurve/qtcurve-qt4
tomhrr/dale
jaredhoberock/bulk
ervanalb/noise
rowoflo/robotKin
nickguletskii/GLXOSD
Krozark/cpp-ORM
ubinity/webpcsc-firebreath
yankay/libchdfs
mc-b/microsrcp
KhronosGroup/webcl-validator
stan-dev/rstan
tu-darmstadt-ros-pkg/hector_localization
KnuthLohse/HFTStuttgartProg3
qtproject/qt-labs-qbs
bingmann/sound-of-sorting
nurupo/nfk-lobby
sgolodetz/whery
martinscheffler/qtentity
centaurean/sharc
realnc/qtads
obfuscated/codeblocks_sf
SimTk/openmm
rosskidson/ScaViSLAM_ros
skystrife/cpptoml
legatvs/cclive
NVlabs/moderngpu
harryhaaren/openAV-Sorcer
niwibe/phantompy
waynezhanghk/gactoolbox
alkedr/mtg
ForNeVeR/styx-m
UltimatumKang/android_device_samsung_smdk4412-qcom-common
kohler/lcdf-typetools
wuchen1106/g4sim
GillesDebunne/libQGLViewer
neubig/travatar
01org/wayland-fits
CmPA/iPic3D
tu-darmstadt-ros-pkg/hector_navigation
52North/IlwisCore
BerlinUnited/SimSpark-SPL
ponchio/untrunc
arborworkflows/Visomics
mastbaum/sxmc
Vylyb/CppAtemSwitcherPanel
52North/IlwisConnectors
happykevins/cocos2dx-ext
rafalrusin/xmlbeansxx
alimanfoo/vcfnp
tu-darmstadt-ros-pkg/hector_slam
OPM/opm-autodiff
xenris/liquid-wars-android
rmcantin/bayesopt
colorer/FarColorer
orocos-toolchain/utilmm
simongog/sdsl-lite
nemomobile/nemo-qml-plugin-dbus
nemomobile/cor
futuregrid/panda
ufz-vislab/VtkFbxConverter
teq85/dip_term_ocr
qtproject/qtpim
qtproject/qt
gobby/gobby
Macadamian/BB10
project-z/mutton
usagi/libWRP-SQLite3
GKIFreiburg/gki_robots
coreos/update_engine
haruneko/stand
brightray/brightray
mkosola/sp-rich-core
qtproject/qtwebkit
qtproject/qt-creator
