jherico/OculusSDK
ros-simulation/gazebo_ros_pkgs
blackberry/OData-BB10
ofb/c
libantioch/antioch
kikko/ofxEmbree
39dotyt/military-department-journal
masagroup/recastdetour
ValveSoftware/source-sdk-2013
strands-project/data_compression
UHHAnalysis/NtupleWriter
cms-analysis/HiggsAnalysis-CombinedLimit
pencil2d/pencil
ros/filters
ros/geometry_experimental
maciekgajewski/postgresbson
adhishm/dd2d_Matryoshka
ros-controls/ros_control
ros-controls/ros_controllers
PROJECT-CDMATH/CDMATH
rjpower/falcon
rbaumbach/Swizzlean
marsyas/marsyas
ZachHoefler/Text-Adventure
Francis1993Z/UltraShooter
GoogleChrome/ADBPlugin
truszkowski/raven-cpp
project-hatohol/hatohol
su2code/SU2
nerd-toolkit/nerd
Nightinggale/Medieval_Tech
fps/teq
bottlecaps-foundation/bottlecaps
rheit/zdoom
openclonk/openclonk
olav-st/screencloud
mjc-ermont/Cookie-Logger
goldcoin/gldcoin
SamVerschueren/beRail
frenchjam/DexSourceCode
martinmoene/lest
vltr/webkit-scheme-qt5.1
krzysztof-jusiak/di
gottcode/xfce4-whiskermenu-plugin
psi29a/thirdeye
santigimeno/node-pcsclite
eaburns/search
ch3m/moldynamics
named-data/NDNFS
martinmoene/EngFormat-Cpp
mpapierski/google-breakpad
uranusjr/Qelly
Ultimaker/CuraEngine
codyjackson/voxel_engine
melode11/CrazyBombman
gcanitezer/RF24Mesh
mattmason/cpp-stateless
pavoljuhas/libdiffpy
lvtk/lvtk
Tkachov/Square
neomilium/minotor
bjt42/softmpu
GBGamer/SLED
xoreos/xoreos
nasenbaer89/KRecipes2
opilar/fraction
miniBloq/v0.82
dzidzitop/libafc
jadesoul/libsoul
qtproject/qtdocgallery
TalkingData/game-analytics-cocos2dx
kor8der/SummerProject2013
larryprice/SteamGameMover
yutopp/rill
autosportlabs/RaceAnalyzer
susu/papyrus-war
stepping-stone/sepiola
quietust/dfhack-40d
pfultz2/ClangComplete
alanschlindvein/Anahy3
tjohnman/Obsession
locusf/bluewhale
tp7/masktools
Obijuan/openmr
h2gglobe/HiggsTo2photons
zach-capalbo/Kromophone
LubosD/darling-dmg
kaomoneus/avr-llvm
Desura/Desurium
medInria/dcmtk
nemomobile-packages/qtmozembed
cosmonaut/mddas
SublimeCodeIntel/patches
BlueBrain/Livre
mlba-team/open-lighting
thunderbug1/Spherebot-Host-GUI
SoylentGraham/ofxSoylent
marmalade/certified
gem-sw/GEMCode
zerovm/sphinx-port
