scharel/harbour-badvoltage
tyfkda/yalp
PixelRetroGames-org/PixelWorld-DuelMode
nguyenduong/spritebuilder_cocos2dx
Echsecutor/rootSolver
stevschmid/track-o-bot
puppetlabs/horsewhisperer
Ellon/rtslamros
mumble-voip/mumble-developers-qt
cms-externals/fastjet
lexxmark/QtCreator-JsExtensions-Plugin
lansdon/cpts483_drc
firmread/spark-OF-UDP
fwdcp/StatusSpec
dandrestor/bald-hamster
crosswalk-project/crosswalk-web-driver
VesperCommunity/vesper-libs
TeaSkyDev/Teelol
nemomobile/vault
Mooophy/Cpp-Primer
pothosware/pothos-library
pothosware/pothos-gui
GromeTT/KinectTracker
pothosware/pothos-python
BoostGSoC14/boost.http
yxl/emscripten-calligra-mobile
hf/leveldb-android
seagate/h-flat
clseitz/DesyAnalysis
AndreyMlashkin/ChmvLab1
LukasKalbertodt/lumina-sandbox
Seneda/ratslam
UCSD-AUVSI/Heimdall
torgnil/gunborg
gregorv/netsiege
ompl/omplapp
Mooophy/CLRS
jofroid/UVProfiler
weberr13/QueueNado
libavg/libavg
weberr13/DeathKnell
weberr13/StopWatch
igfuw/icicle
juda/DS2014
rpelger1004/Learning
m-a-d-n-e-s-s/madness
loganwu/ServerForMogan
rambs/MScPack
jmbjr/dbro
Grauniad/Call-Graph-Viewer
igfuw/libcloudphxx
siro20/dvbt-encoder
tewalds/morat
naver/arcus-c-client
brrcrites/GraphColoring
hmeyer/dcmtk
lettergram/OpenBKZ
adolby/Kryvos
RobotsWar/Plater
rospilot/rospilot_deps
bisdn/xdpd
unixpickle/analloc2
deannreid/TWD_Server_Missions
trapexit/mergerfs
joncampbell123/dosbox-x
oliver----/swig
NodeRT/NodeRT
elliotwoods/ofxDigitalEmulsion
cjlin1/liblinear
daniele-orlando/rz
SRombauts/UE4GitPlugin
heejungshim/WaveQTL
VariationalRegistration/VariationalRegistration
rdumitriu/geryon
luisenp/mdp-lib
pjuren/TinyTest
adrianomelo/uihelpers
nochowderforyou/clams
egraldlo/datastructure
khaledhosny/libmathview
28msec/zorba-archive-module
esoma/wicked
liquidbuffer/openrump
uProxy/obfuscation
emil-e/rapidcheck
pranjal-joshi/T-copter
veeti/vendace
realmonster/Gens-Atlas
gcartier/cordova-cef
28msec/gridfs-fuse
luebking/virtuality
sebkirche/treelist
notspiff/audioencoder.flac
jg-maon/Pendulum
cryptozoidberg/boolberry
merosss/VRepRosQuadSwarm
JonBons/core-framework-a3
pal-robotics/ceres_solver
seagate/kinetic-cpp-examples
HefnySco/MultiWii_DUE
