ccrma/chuck
LibreCAD/LibreCAD_3
ALPSCore/ALPSCore
polyhex-sampling/sampler
amarchen/CuteContacts-iOS
dwrensha/capnproto-java
G4m4/chartreuse
agrippa1994/DX9-Overlay-API
Valloric/ycmd
ucam-smt/ucam-smt
NoelMacwan/android_device_sony_nicki
naturalatlas/node-gdal
log2co/log2BGP
stefanv/scipy3
aporto/mariamole
hij1nx/ldb
albru123/android_device_htc_protou
hpicgs/glbinding
mozilla/angle
Mortis69/rendera
geodynamics/aspect
FormSeher/formseher
bisdn/rofl-core
diginatu/Viqo
corot/world_canvas
bluemellophone/pyrf
shnurf/silkcoin
OpenGamma/OG-Maths
syureyi/gitTest
codewalkerster/android_frameworks_native
matt-42/iod
tkonolige/dbignore
tux3/Evolve
stevenaubertin/IMN430
medvedevgroup/cnfind
jiz869/Game2
kobalicek/asmjit
EnergyCoin/energycoin
clseitz/Psi46testDesy
commontk/dcmjs
codewalkerster/android_frameworks_av
u12206050/Andrologists2014
codewalkerster/android_system_vold
seagate/kinetic-cpp-client
wuhongyi1977/ChgMangos_WoTLK
karlkleinpaste/biblesync
Comm512-1/Arma3Life
kero99/mangos_old
dubzzz/cuda-mathmodule-for-python
mujin/mujinvision
vasi/kdelibs
ICRS/OpenPilot-Clone
hengli/vmav-ros-pkg
Atom/atom-shell
b00902054/ntu-android-art
coderdj/libpbf
themalkolm/space-invaders
nutsforalmonds/RadChip
mapbox/node-s2
wagut/play
stevenremot/tlsd-prototype
FalconUA/Rocket-Barrage
felixendres/rgbdslam_v2
manasij7479/graph
nakatani-kazuki/CPP_study_201405
fizixx/redmon
OpenSCAP/scap-workbench
mosheshlomo/Engineering-Project-2014-15
mrts/ioc-cpp
Manuzor/UnitTestFramework
ricortiz/SOFAFramework
efcs/elib
28msec/zorba
paulhilbert/harmont
ricrpi/mupen64plus-video-gles2rice
ricrpi/mupen64plus-video-gles2n64
Kinoll/Hot-Tires
lenny93/TouchEnabler
micryon/AsiaCoinFix
capello/FSM
aduggan/rmi4utils
libretro/bsnes-mercury
BhavyaDyavarishetty/HPCG
dracolinux/DracoPKG
Pinoccio/hardware-pinoccio
vnaydionov/schedule-mami
tophmatthews/3DOT
L3K0V/fmi-commandline-utilities
ufna/VaOcean
laur4c/laberinto
ruslo/sober
SlimXperiments/hardware_qcom_camera
LukasKalbertodt/lumina
kr15h/ofxPiMapper
DanWatkins/Terrain3D
code-mancers/rbkit-client
rdpoor/mu
guyzmo/avr_nrf_ancs_library
achille-roussel/nanomsgxx
ni/VireoSDK
