azadkuh/gason--
vogel/injeqt
smallk/smallk
nsuke/protobuf-qml
micku7zu/QtOneFM
sdrobotics101/raspberry-pi
fmichonneau/phylobase
mda-ut/AquaTux
Maxomann/kgEngine
openigtlink/OpenIGTLinkSimulator
Sandern/lambdawars
ty4tw/MQTT-SN
oatemeal/RoW-Framework
NamelessRom/android_device_oppo_find7
rock-core/base-types
priorknowledge/loom
MammothCoin/MammothCoin
etherkit/Si5351Arduino
nandryshak/rl
dreal/drio
Spartan97/OpenGLGameTemplate
bmerry/ssbench
androidarmv6/android_device_htc_msm7x27-common
petergeoghegan/dbt5
robotology/kinectWrapper
open-eid/chrome-token-signing
ADyson/clTEM
derrickturk/libdca
libRocket/libRocket
malloc-free/zmq_over_sctp
mholo65/harbour-filters
JeffersonLab/libsolgem
wieden-kennedy/Cinder-KCB2
dreamworksanimation/openvdb
amvtek/GeoHealpix
openturns/openturns
elehack/mailtools
cvra/state-machine
ishigu/altis
penk/terrarium-app
hanjianwei/ACG-Localizer
ResonantHbbHgg/Selection
sachinthomaspj/android_device_htc_pico
tekezo/Karabiner
Ipewpewu/Project
priologic/easyrtc_ie_plugin
richardlayman/feather
ndanyliw/nanoquad
OSCES/OSCES-FRAMEWORK
zeromq/zmq-jni
autonohm/obviously
RedisDesktop/CrashReporter
AOSPXS/aosp_device_sony_nozomi
steinwurf/fifi-python
KitwareMedical/IntersonSDKCxx
Open-Transactions/opentxs-server
fredj/osrm
linuxdeepin/deepin-boot-maker
mauroc/squiddio_pi
personalrobotics/or_ompl
katyhuff/SeparationMatrix
trafodion/core
kilo88/Zed
vinzenz/libpypa
Hashcode/android_frameworks_av
kareth/helloworldopen2014
UbiquitousComputingSS14/HeartRateMonitor
Mkey-Android/android_device_zte_n909
mikefogg/BarcodeView
Pelagicore/common-api-dbus-tools
LibertaSoft/DatabaseAnime
woodenshark/Lightpack
LoneGazebo/Community-Patch-DLL
hak8or/Sodoku_Uni_Solver
jrl-umi3218/sch-visualization
npruehs/pinned-down-client-win8
leaningtech/cheerp-llvm
SCOREC/core
reikonakajima/Lensing
thirdwing/RcppMLPACK
jrl-umi3218/sch-core
leaningtech/cheerp-clang
coslyk/moonplayer
focs/svo_relocalization
TeamJB/linaro_hardware_qcom_camera
FrankenBit/googletest
CandyKat/device_asus_flo
cescofry/MarkdownToPlayground
Guh/guh
kn65op/guitar-learner
Ne88ie/Diverse_Keyword_Extraction
p12tic/compiz-mirror
spencerimp/LibsvmAndroidClassification
craigacgomez/platform_frameworks_av
mapbox/node-fontnik
craigacgomez/platform_frameworks_native
ptcryan/z80due
Speedy37/UDKImportPlugin
Logicalmars/llvm-parabix
doodlemeat/Mineralistic
