samiam123/VoodooNxg
TheWhisp/android_device_samsung_tass
adobe/webkit
travisdesell/wildlife_at_home
Sankore/Sankore-3.1
sebhtml/ray
strasdat/Sophus
goccy/gperl
openwebos/db8
CedricGuillemet/LibGizmo
esrlabs/AndroidTransporterPlayer
PSU-AVT/QuadLLFC
klnusbaum/UDJ-Desktop-Client
tahoe-lafs/pycryptopp
hpfem/hermes
dwattttt/marketsim
sslattery/Chimera
klorel/clusterisator
rhcad/touchvg
aras-p/glsl-optimizer
Neverlord/libcppa
bytefish/libfacerec
xyzzy-022/xyzzy
KhronosGroup/OpenCOLLADA
knolleary/pubsubclient
jrowberg/i2cdevlib
taskwarrior/task
adobe/brackets-app
WebKit/webkit
sunpinyin/sunpinyin
Twinklebear/LPCGame
arcemu/arcemu
mgyucht/Summer_2012
plasmodic/ecto_opencv
jubatus/jubatus
maidsafe/MaidSafe-Common
ScribbleJ/sjfw
windoze/Argos
chrisdew/protobuf
Forkk/MultiMC4
vslavik/winsparkle
crosslink/xlink
Kitware/ITK
rakshasa/libtorrent
rakshasa/rtorrent
OSLL/geo2tag
zhanlangsir/Qtqq
Kitware/CMake
openexr/openexr
wjwwood/serial
stevenlovegrove/Pangolin
Pulse-Eight/libcec
drhelius/Gearboy
zeromq/libzmq
jonnydee/nzmqt
mongodb/mongo-snippets
amplab/snap
Y-Vladimir/SmartDeblur
apavlo/h-store
NeoGeographyToolkit/StereoPipeline
eggplantbren/DNest3
xapian/xapian
QupZilla/qupzilla
whackashoe/cprocessing
hpcc-systems/GraphControl
hpcc-systems/h2h
noxrepo/nox
Valloric/YouCompleteMe
deviator/myinclude
Warzone2100/warzone2100
jaaro/Shuffla
TeamWin/Team-Win-Recovery-Project
TTimo/GtkRadiant
yetanothergeek/fxite
moses-smt/mosesdecoder
ModelSEED/MFAToolkit
sithhell/oclm
tklab-tud/umundo
FellowTraveler/Open-Transactions
tjanczuk/iisnode
mozart/mozart2
worldforge/cyphesis
faebser/DiplomPlanets
jreese/znc-push
BloodAxe/OpenCV-Tutorial
jseto/jrtti
openSUSE/zypper
t-crest/patmos-llvm
openSUSE/libzypp
kripken/BananaBread
adavydow/tms
Slicer/Slicer
johnwbyrd/logog
OpenCPN/OpenCPN
GilesBathgate/RapCAD
robertsj/libdetran
felis/USB_Host_Shield_2.0
d5/node.native
etr/libhttpserver
thanatosJSSE/Sipred
