spillz/codeblocks-python
fmatthew5876/stdcxx-bitops
Tuqz/helion
airdcpp/airgit
MrKepzie/Natron
mauios/swordfish
AOSPA/android_device_samsung_manta
google/libkml
Enelar/AX
RoyalCaliber/vertexAPI2
xbrukner/kontr-tests
sudnya/topcoder
stoneharry/Edge-of-Chaos
ancapdev/vpm
jlaine/qdjango
lxde/compton-conf
AndreaOrru/LaiNES
Whitehawkx/frameworks_av
zaqwes8811/in-the-vicinity-cc
androidarmv6/android_external_skia
PADrend/E_Rendering
xunzhang/paracel
AOSPA/android_dalvik
vhwanger/monolithic_pr2_planner
OmegaPhil/hardware-monitor-applet
TiloW/algo-engi
SlimRoms/device_lge_geeb
RcppCore/RcppArmadillo
jstnhuang/autocp
ethz-asl/ethzasl_msf
swfrench/convergent-matrix
POV-Ray/povray
tomopy/tomopy
wc-duck/dbgtools
MaxWayt/RType
megar/ARiseofWar
dcesini/Darwin
Jean-Emile/maven-resolver-cpp
Sample-Hold/Pushuino
Tibonium/GENeCIS
ricortiz/Cleaver
omnirom/android_device_samsung_n7000
ricortiz/Bender-SOFA
HNO3/SudaGureum
logicworldzju/X86Emulator
jrk-/x-choyce
jnory/DALM
GroupDenseKitchen/KitchenOccupation
OldFisher/lua-api-pp
datastax/cpp-driver
JoseExposito/ubuntuone-qt-files
mogemimi/pomdog
LibreOffice/libvisio
lintweaker/mpd-dsd-018
botonchou/libdnn
irenetung/DrawFreeGraphics
dimatteo/MitMonoJet
PonyEdit/PonyEdit
Biomechanical-ToolKit/BTKCore
gunrock/gunrock
MagicDevTeam/android_frameworks_av
mauios/hawaii-shell
RcppCore/Rcpp
rahul2605/file_read
frdeso/inf4000
Mahdi-Rom/android_hardware_qcom_display
nutils/libmatrix
johkelly/UtsuhoVania
matzke1/sawyer
Razish/OpenJK-Speed
Keeo/GreenBerry
bittorrent/bootstrap-dht
proog128/jswin
vyos/vyatta-cfg
Dazzozo/android_device_huawei_u8833
AOSPA/android_device_lge_mako
AOSPA/android_device_asus_flo
LibreOffice/libetonyek
SpineML/SpineCreator
VanirAOSP/hardware_qcom_media-caf
WalaWala/OwnGap
smanenfr/rp
vistle/vistle
VanirAOSP/external_skia
VanirAOSP/external_stlport
VanirAOSP/device_generic_goldfish
VanirAOSP/system_vold
realn/CodeBox
UPenn-SUSY/PennSUSYFrame
Jojendersie/Monolith
itbrobotics/slambot
ZheYuan/cczk
PADrend/MinSG
rgriege/RemoteRenderer
meson800/simpit-controller
omnirom/android_external_llvm
jordantucker/cmssw-usercode
waddlesplash/DolphinQt
penberg/hornet
simonsteele/pn
