gottcode/kapow
cogniteam/decision_making
Gnomescroll/Gnomescroll
guillaumecl/tmpc
andrej-fischer/EMu
Mindwerks/plate-tectonics
marumarumm1122/tool
nariakiiwatani/ofxAE
lindegroup/autopkgr
jkuhlmann/gainput
marxoft/qt-components-hildon
VanyaDNDZ/ErlSybase
SomethingExplosive/android_device_lge_mako
Embisto/ProjectWatchlist
GamerMan7799/Attacker-The-Game
avxsynth/avxsynth
attugit/archie
ModdedPA/android_external_clang
zeta0134/3ds-homebrew-browser
andschwa/uidaho-cs472-project2
omnirom/android_frameworks_av
bigfix/bfarchive
mkacz91/apricot
kevinortegren/zombieshroom
FlanFlanagan/Bright-lite
M-griffin/EtherTerm
Ewo-team/ewapps
richards-tech/RTIMULib-Arduino
eye3/nkit4nodejs
redpony/cdec
plexinc/breakpad
openx/python3-protobuf
cocos2d-x/cocos2dx-win8
Dazzozo/android_device_huawei_u8815
wdas/brdf
creationix/node-sdl
clintbellanger/flare
eyewriter/eyewriter
RuntimeCompiledCPlusPlus/RuntimeCompiledCPlusPlus
supercollider/supercollider
alanbriolat/clementine-subsonic
saimonfon/Imagine
spring/spring
inet-framework/inet
fenrus75/powertop
gameoverhack/ofxOpenNI
decster/jnicompressions
gamaral/marshmallow_h
idiap/bob
thomasmoelhave/tpie
texus/TGUI
dimitar-asenov/Envision
Traumflug/Generation_7_Electronics
cebix/macemu
keithw/mosh
H-uru/PlasmaShop
wg-perception/tod
blackberry/Box2D
ehebrard/Mistral-2.0
KDAB/GammaRay
triAGENS/ArangoDB
openSUSE/snapper
nolanbrown/Tesseract-iPhone-Demo
DataSoft/Nova
cryos/avogadro
spencerparkin/GAVisTool
linuxqq/libwebqq
tonioni/WinUAE
danmar/cppcheck
mheinsen/seec
0ad/0ad
roba269/wai
ProjectSkyfire/SkyFire_one
codebutler/firesheep
pgXplorer/pgXplorer
Jildor/ZoneLimit
Kitware/VTK
vslavik/poedit
MJRule/MotionProject
adaptivegenome/openge
MITK/MITK
carson/airconvision
hojonathanho/bulletsim
zussel/oos
shewu/h4ck4th0n
bubi-luka/BubiRacun
OpenNI/OpenNI
H-uru/libhsplasma
simio/H.VHS
pgriess/node-msgpack
dscharrer/InnoExtract
pism/pism
jieyu/maple
SamuelCho/Freespace-Open-Swifty
volund/mango
RhobanProject/Edu
romanbsd/spdy
mjhsieh/McBopomofo
kylemcdonald/ofxCv
voodootikigod/node-serialport
