DigitalPulseSoftware/NazaraEngine
TimSimpson/Macaroni
tjanczuk/httpsys
furious-luke/libhpc
tim-janik/rapicorn
LancePutnam/Gamma
Visomics/Visomics
INdT/Quasi-Engine
phalgun/amarok-nepomuk
svalaskevicius/ionPulse
lubosz/liblub
coderforlife/ms-compress
ntadej/vlc-qt
scriptum/Cheetah-Texture-Packer
sebhtml/RayPlatform
pololu/libpololu-avr
wetneb/copiste
katyhuff/cycstub
ncorgan/gnuradio
libretro/vba-next
danomatika/ofxLua
openBliSSART/openBliSSART
wg-perception/transparent_objects
jorgen/yat
hpfem/hermes-python
BeginnerSlob/TouhouTripleSha
mawww/kakoune
pedromanoel/EbitSim
akrennmair/newsbeuter
gplessis/dotdeb-nginx
Nils-TUD/NRE
lavv17/lftp
migashko/faslib
4gsim/4Gsim
happanda/Engine
slud/astar
abma/pr-downloader
hluk/CopyQ
mysmartgrid/chumby-controlpanel
patriciogonzalezvivo/ofxInteractiveSurface
YCAMInterlab/Duration
bskari/sqlassie
bbannier/ROOT
rtv/Stage
fangism/hackt
Naios/CataclysmScripts
InWorldz-Viewer/InWorldz-Viewer
wsong83/cpptcl
VoltDB/voltdb-client-cpp
plexydesk/plexydesk
dosshell/kaktus
setiQuest/SonATA
makerbot/MightyBoardFirmware
ibsh/is_KeyFinder
cocaine/cocaine-framework-python
metabrainz/libmusicbrainz
tvwerkhoven/FOAM
dmm/prasterblaster
snoplus/snogoggles
thesawolf/android_device_allwinner_ssa2
mytcg/GameCards
oangelo/SeriesAnalysis
mothur/mothur
ntadej/tano
sialiuk/TaskDispatcher
mediastandardstrust/superfastmatch
greg-hellings/sword
Hiroyuki-Nagata/JaneClone
aras-p/hlsl2glslfork
imageworks/OpenColorIO
fonsinchen/openttd-cargodist
iritkatriel/streamulus
worldforge/skstream
DrLabman/QMB
paul99/v8m-rb
bigz94/metoritewars
Henne/dosbox-svn
etexteditor/e
vossg/OpenSGDevMaster
openitg/openitg
kzahel/btlauncher
wavii/pfp
reefangel/Libraries
buildgen/buildgen
aarizaq/inetmanet-2.0
simplerr/Auto-Patcher-Dev
melges-morgen/gsoc-gcc-regex
bkaradzic/bgfx
pypt/fervor
STS-Dev-Team/android_frameworks_native
davidiw/Dissent
Illarion-eV/Illarion-Server
libcpu/libcpu
skyfox69/NifUtils
ethz-asl/ethzasl_sensor_fusion
dhu/conger
dzo/hardware_qcomm_media
H-uru/Plasma
dermesser/libsocket
TeamNyx/hardware_libhardware
