osen/mutiny
zeroreserve/ZeroReserve
TrueJournals/libEasyPTP
ruohoruotsi/Butterworth-Filter-Design
kmalloc/back-end-facility
CiFor/SMD_Building_project
archSeer/moon
geneotech/Augmentations
VRT-onderzoek-en-innovatie/tcp-intercept
iglesias/cgr_localization
nurupo/ProjectTox-Qt-GUI
dstockwell/blink
mickelson/attract
nesl/platform_frameworks_native
rvagg/node-libssh
Kinovarobotics/jaco-ros
qtproject/qt-mobility
Bar-ENSTA-Paristech/bar-software
UHHAnalysis/ZprimeAnalysis
deeplearningais/curfil
elador/FeatureDetection
cast0r/p1
adiesner/Fit2Tcx
mattmassicotte/three
seznam/fastrpc
fnordware/AdobeOgg
shephertz/AppWarpCocos2DX
fatinbrain/shoplist455
litespeedtech/openlitespeed
andrey-popov/single-top
mer-packages/libsignon
OpenSEMC/android_hardware_qcom_display-legacy
cybozu/yrmcds
steinwurf/kodo-c-bindings
kauzlari/sympler
jaredks/pyprimesieve
HSAFoundation/HSAIL-Tools
jimxl/qt-onvif-client
UHHAnalysis/SFrameAnalysis
dyne/TBT
razorih/GMF-Sandbox
uranusjr/SiloGraph
deeplearningais/ndarray
BoussaidMohamed/MARCS
blueantst/Script.NET
AlexeyG/GRASS
iclemens/sled-server
webOS-ports/luna-next
yugiohatemu/ForScience
UHHAnalysis/SFrameTools
credentials/silvia
Kst-plot/kst
quyse/inanity
Yaafe/Yaafe
bjornblissing/osgoculusviewer
shaunxcode/dtm
SlimRoms/hardware_qcom_media-caf
sintefmath/tinia
AudioProcessingFramework/apf
bbdevbe/eniv
yzf/Parser
openpeer/webrtc
pmed/v8pp
Expander/FlexibleSUSY
tristanbell/nao-autism
MiamiOH-CSE274/02_Cpp
gsarkis/libfi
j-jorge/bear
NodeFly/nodefly-uvmon
Metaswitch/libmemcached-upstream
dysonltd/gts
4ian/GD-Extensions
daniel-kun/omni
esrille/escudo
KenjiTakahashi/newsoul
superwills/Ice-OSurface
automatak/dnp3
themighty1/lpfw
root-mirror/root
jhaberstroh/collective-motion
ybcoin/ybcoin
Monnoroch/CppJni
joakimkarlsson/snowhouse
vteromero/algorithms
VolatileDream/whisper-composer
GameTechDev/OutdoorLightScattering
cosmoscoin/cosmoscoin
ShootSpacer/ShootSpacer
maidsafe/MaidSafe
MTG/gaia
maidsafe/MaidSafe-Encrypt
maidsafe/MaidSafe-Drive
maidsafe/MaidSafe-Network-Filesystem
maidsafe/MaidSafe-Passport
HSAFoundation/HSAIL-Instruction-Set-Simulator
libretro/bsnes-libretro-cplusplus98
MTG/essentia
maidsafe/MaidSafe-RUDP
ros-simulation/stage_ros
phisiart/ds15gl
