wnd-charm/wnd-charm
spk121/jozabad
dekalo64/Rline
opengeoscience/shiboken
offset/draw-it
dridk/freebox-desktop
dinhviethoa/libetpan.node
laurentkneip/opengv
catid/Snowshoe
Barbatos/BatailleSpatiale
rjpower/fastnet
stack-of-tasks/soth
bstroosnijder/KB06
xshi/dqm
Hyperz/qLiveStreamer
sudnya/video-classifier
PetterS/curve_extraction
stack-of-tasks/sot-core
Torkelz/Scrum_Breakout
rdnelson/lasm
parasti/OculusSDK-MinGW
ten-forward/bomberman
addictgamer/GEngine
Josh-Larson/CameraBoardAPI
cawka/ndnSIM-chronochat
chewing/windows-chewing-tsf
jparyani/pycapnp
ghostbar/powertop.deb
allan-simon/linthesia
BloodAxe/CloudCVBackend
Icinga/icinga2
stp/stp
GTCMT/ProjectTemplate
calccrypto/OpenPGP
aschroeder/agge
skylarbpayne/CESSnake
laurolins/nanocube
vrsys/avango
Wolframe/wolfclient
maliit/plugins
Grauniad/dev_tools
infinity0/certificate-transparency
Bertram25/OpenDungeons
DWARVES/Project-Warrior
andremedeiros/spyglass
sensorflo/cppkoans
sigrand/OpenNVR
openxc/vi-firmware
TopPairPlusGamma/TTgammaAnalysisScripts
darklukee/Monitor
HL2-Ghosting-Team/src
HITLabNZ/transform-flow
guruofquality/grex
spikegpu/SpikeLibrary
codexblack/golfu
yunkai/trafficserver
CaptChadd/Extremecoin
krrishnarraj/clPeak
Mahdi-Rom/android_frameworks_av
quackle/quackle
regiomontanus/FastPortfolioOptimizer
maliit/framework
jwhitmore/AutoPutty
HIT-SCIR/ltp-cloud-sdk
bavc/qctools
J-Team/platform_frameworks_native
EmbodiedCognition/QtVR
stammen/angleproject
kfreezen/temp_receiver
WizzerWorks/QtVp
Softcatala/corrector-ortografic
venam/MangaDL--CPP-GUI-Version-
epiasini/pymuvr
dbzhang800/QtXlsxWriter
embeddist/WIZ_Ethernet_Library
kuyur/unicue
nemomobile-packages/calligra
alejolp/extmodem
viranch/ztorrent
cmouse/yahttp
gpoo/poppler
nemomobile-packages/poppler
kknb1056/cbcanalysis
jorisv/PG
hsimpson/cordova-cef
yulyugin/u-search
dicroce/cppkit
bro/pysubnettree
thomasthorsen/toks
MateuszKubuszok/MasterThesis
eldridgejm/denali
Windfisch/muse
qhyccd-lzr/QHYCCD_Linux
GRIFFINCollaboration/detectorSimulations
wieden-kennedy/Cinder-OpenNI
nikberry/TTgammaAnalysisScripts
lovell/sharp
stephentu/silo
ksiazkowicz/lightbulb
samaaron/sonic-pi
