dansen/ccgui
zelus/play
ezibyte/EziSocial-Plugin
salpeev/LearnGL2
PowerDNS/pdns
scotthartbti/android_frameworks_av
Rexamine/stringi
Teuniz/EDFbrowser
bagnose/terminol
chenall/ALMRun
FastCode/NUClear
gcala/grooveoff
ZeusTeam/Zeus
chen3feng/thirdparty
ianmaclarty/lotech
craigsapp/humextra
seandepagnier/climatology_pi
QuLogic/jot-lib
tecknicaltom/tide
csete/stlm
santa01/rubik
Kernald/tt-rss-bb10
AlexLeSang/ECOHT-ANN
Baeumchen/Gunship-Battle
OpenANN/OpenANN
floe/tisch-core
namelessvoid/qrwar
m2ware/OliWeb
jschmidt42/nim
scanlime/zenphoton
rtbkit/rtbkit
kolibre/libkolibre-clientcore
kolibre/libkolibre-amis
kolibre/libkolibre-xmlreader
bmatheny/memkeys
Root-Box/frameworks_av
Tokutek/ft-index
slayoo/libcloudphxx
webinos/webinos-policy
aldebaran/mpc-walkgen
ros-drivers/velodyne
karepker/little-tsp
pepperouni/Helper
Rhoana/Mojo
facebook/mysql-5.6
orwell-int/server-game
wseemann/FFmpegMediaMetadataRetriever
fangism/libcxx
nemomobile/nemo-qml-plugin-email
nemomobile/nemo-qml-plugin-calendar
sifteo/qtxupdate
SiteView/eccmeteor
mloskot/json_benchmark
cocaine/cocaine-framework-native
Goles/cChord
fbergmann/libSEDML
LCLS/LTMDOpenMM
mozilla-b2g/device_generic_goldfish
rgbdemo/nestk
JohannesEbke/protobuf-zerocopy-compression
openigtlink/OpenIGTLinkIF
dartsim/dart
mjfrancis/GnoteOSX
mbasaglia/Qt-Color-Picker
alamaison/comet
nemomobile/transfer-engine
qtcn/tianchi
xLAva/JediOutcastLinux
ogdf/ogdf
haoxingeng/ise
ti6csb/OpenCL-Wrapper
fholler0371/program-to-go
vetter/shoc
oldnomad/fcardsaver
r-lyeh/tracey
VerKnowSys/Syndir
Discriminator/PDW
eigengo/akka-patterns
Mtsferreirasilva/HaxGames
DatawaveMarineScience/OpenSEA
aalto-speech/AaltoASR
smspillaz/yiqi
EDesignLabs/wordProblematator
rodstrom/yomibubble
cierelabs/json_spirit
KDr2/redis-leveldb
mshafae/CS484SampleCode
spencersalazar/chuck
GNOME/nemiver
openbabel/contributed
CurveBeryl/Joybox-Box2D
schulzch/qml-ogdf
Whitetigerswt/gtasa_crashfix
nemomobile/libngf-qt
stanleyhuangyc/ArduinoOBD
timowest/rogue
Mokosha/FasTC
cvilas/grape
tibordp/stutsk
krazey/KrayZMod
