panzi/VTFLib
mscdex/sipster
refreshx2/hrmc
Berulacks/north-american-bugfixes
Hibchibbler/Pteridophyta
eccoin/eccoin
simonask/w
shubhamjain0594/CS296_Project
jolyonb/deevolve
technobly/SparkCore-SD
SlimRoms/device_samsung_hlte
Riateche/toolwindowmanager
mapmapteam/mapmap
samdolt/PIC32_Cpp
trillek-team/trillek-vcomputer-module
visbtc/fair-coin
P-star/P-star
erenon/pipeline
kedebug/yohub
splunk/pion
chiku/mjwm
fingolfin/NormalizInterface
Dax89/PREF
fallahn/CHUF
qml-box2d/qml-box2d
jimbo00000/RiftRay
Rusk85/wastelanda23_addins
mapbox/node-zipfile
01org/parameter-framework-plugins-alsa
svn2github/farmanager
MattWesemann/Compiler
Kazade/delimit
raymond1860/idr
deejayy/hlds-v8
AndriusDap/SDL2
Pazyryk/EaDLL
jhanssen/jsh
cbrant/final_project
tcew/OCCA
coolprop/CoolProp
antmat/rediscpp
andrewlow/v8z
bat/bat
gihanmudalige/OPS
google/snappy
KanColleTool/kct-tool
zkl/spider
omar-moreno/svt-qa
thekidcoin/fluttercoin
jeyboy/palyo2
hempcoin-project/THC
girke-lab/fmcsR
reltham/OpenSpin
jam231/sia
findMF/findMFBase
findMF/findMFHCS
InfoSmart/InSource
ajg/synth
namecoin/libcoin
kmeisthax/icCanvas
gauteh/astroid
miguelmartin75/anax
loot/loot
ottok/mariadb-10.0
abbott221/robotRepo
mojocorp/gtl
EasyRPG/liblcf
opentk/rift
korroktheslavemaster/motion-simulation
zerotacg/wildstar-tools
gura-lang/gura
Calibri-Software/Calibri-Library
boss-developers/boss
liranbg/jceConnection
kaorut/tetengo2
DroidSim/platform_frameworks_native
Chabrier/plugins
EasyRPG/Editor-Qt
greboid/javalauncher
schwa-lab/libschwa
JoeButler99/Thoth
panopticoncentral/jsrt-wrappers
Kazark/conway-game-of-life-event-driven-in-cxx
schwa-lab/libschwa-python
Kosta-Github/cute
sethwalsh/Monitoring-Client
StevenHickson/PCL_Kinect2SDK
iiMaXii/MathGraph
anshumang/cp-snucl
Kitware/sprokit
wesnoth/wesnoth
mzueger/eeros-framework
samuelig/skia
hz-chen/lwt
bright-tools/ccsm
ambilight-4-mediaportal/AtmoWin
igororlov92/TrafficLight
gabrielbaca/roboticsProject
EScript/EScript
RoboJackets/igvc-software
