neiled/rogue
bjpirt/Mirobot-arduino
eddelbuettel/rquantlib
malcom2073/emstune
fzenke/auryn
AdrianArroyoCalle/azpazeta
DreamSourceLab/DSLogic
naphaso/tizen-vk-client
GT6310-GalaxyYoung-Developers/android_device_samsung_msm7x27a-common
OpenROV/openrov-software-arduino
gilgil1973/su
trainman419/fiducials_ros
jcaesar/openclonk
marbl/gingr
beniz/seeks
ampl/gecode
lubyk/xml
larroy/clearskies_core
falkTX/DPF
StephanDollberg/twistedcpp
ceres-solver/ceres-solver
sandeepmukherjee/WorkerThreadPool
gabraham/flashpca
LabAdvComp/udpipe
AnarManafov/PoD
ThirteenAG/limit_adjuster_gta3vcsa
stephenmathieson/node-sophist
credativ/kprinter4
Awesomez/SongTastePlayer
rafadaguiar/cpsc_221
mysensors/Raspberry
Sudo23/Infinitecoin-V2
samp-incognito/samp-streamer-plugin
ayebear/Cells
psi4/psi4public
Doom4535/Computer.class.repo
primejyothi/glyphRen
qtproject/qtwebsockets
r0mai/car-game
tike/GOnpp
synergiance/synerbot
usqcd-software/qdpxx
libattic/libattic
Pallevante/Iris
skasperski/navigation_2d
gregorylburgess/acoustic-deploy_C
robertoraggi/cplusplus
timstephens/Dorbot
maddinat0r/samp-streamer
emsec/ChameleonMini
mindastray/lincxx
samuelhj/BTAP_MCU-2014-01
daylen/stockfish-mac
NuriaProject/Network
OpenCVBlobsLib/opencvblobslib
CarVac/filmulator-gui
felixhekhorn/UiO-FYS4411
zapta/linbus
elmindreda/greg
firepick1/FireSight
dorkster/flare-engine-next
hjnilsson/rme
dixx/Die_Chroniken_eines_namenlosen_Spiels
Crypto-Expert/HoboNickels
benhj/teasafe
trquinn/changa
antlafarge/QtWebsocket
kokole/bo2_gsc_reader_v2
spark/thermostat
Metaswitch/homestead
GRIFFINCollaboration/GRSISpoon
C0deH4cker/SimpleGameEngine
highfidelity/hifi
molpopgen/libsequence
CardiacImagingCharite/MyoSeg
VikingScientist/LRsplines
Jason-lee-c/CocosBase
BlackBags/MonsterScramble
robocomp/robocomp
jhu-lcsr/lcsr_controllers
zycet/iTRLib
Seeed-Studio/TFT_Touch_Shield_V2
ruedigergad/SkippingStones
ufal/morphodita
chris5287/QMapControl
khaledhosny/ots
philippotto/GP2013
neurodroid/stimfit
ef-gy/libefgy
FairRootGroup/FairRoot
frobs/JvmLauncher
nekipelov/redisclient
supertuxkart/stk-code
core2062/CORE2014
andrew-pa/libqeg
gerbaudo/SusyCommon
mkovacs/xacto2d
macieks/Tiny2D
ef-gy/topologic
chsitter/arduino-makefile
