larspensjo/ephenation-client
victorparmar/zsearch
acm-uiuc/Kinect-Mapper
thaddeusdiamond/Social-Hierarchical-Learning
dslab-epfl/cloud9
memo/ofxMSAOpenCL
ignatz/rant
nathan-osman/NitroShare-Mac
c-abird/magnum.fe
kreczko/RooUnfold
OpenWebGlobe/DataProcessing
digital-phoenix/Boxing-Amoeba
feelpp/feelpp
ckormanyos/real-time-cpp
imvu-open/istatd
ace13/Kunlaboro
PySide/Apiextractor
dbtsai/libDAI
esrf-bliss/Lima
nemomobile/buteo-sync-plugins
nemomobile/buteo-syncml
allan-simon/cppcms-skeleton
SlimRoms/android_system_vold
andre-martins/TurboParser
SlimRoms/android_external_skia
colobot/colobot
THeK3nger/Wings-of-War
lordmulder/Simple-x264-Launcher
phatina/simple-mtpfs
ros/nodelet_core
ros-interactive-manipulation/pr2_object_manipulation
ros/class_loader
ros-interactive-manipulation/object_manipulation
fcitx/fcitx-libpinyin
ageric/livestatus
szym/barnacle
RecipientCollective/sonos
mozilla/Negatus
kamiljano/PCRemote
Emdek/plasmoid-adjustable-clock
smurav/db36
GarageGames/Torque3D
nemomobile/qmlmail
mgmarino/OrcaROOT
pmiddend/flake
lvklabs/chatbot
philipc/clang-ast
nemomobile/contextkit-nemo
ros-visualization/rviz
pkarasev3/kslice
Alir3z4/yoDownet
joaoleal/CppADCodeGen
campreilly/UnderSeaModelingLibrary
talisein/Horizon
flexible-collision-library/fcl
armstrtw/rcppbugs
bekaus/pgmlink
CDargis/Roto-Cal
karelklic/canal
lu-zero/bmdtools
airtrack/luna
maxdeliso/elevatorSim
mlalic/etfarduino
wisec/DOMinator
darvin/cockatrice
genome/tigra-sv
uricamic/flandmark
konnibe/LogbookKonni-1.2
TUM-I5/ASAGI
vancegroup/stlport-avr
mana/manamobile
lgics/cm_device_lge_p350
fclaude/libcds2
daniel-fanjul-alcuten/ice
celabtud/QUAD
loaden/qtcreator
ignatz/bitter
radekp/qt
merovingien/AIWar
soundcloud/soundcloud-win-sharing
keithmendozasr/flat8
clintbellanger/flare-game
sakindia123/android_device_htc_pico
eNoise/pichi
clintbellanger/flare-engine
paullouisageneau/TeapotNet
blackberry/OpenCV
PMBio/limix
ofZach/projectGeneratorSimple
nelkana/PurePlayer_As
SlimRoms/android_dalvik
sychev/catlooking
AgileManufacturing/HUniversal-Production-Utrecht
niXman/yas
olavolav/te-causality
acossette/pillow
zschoche/mlog
Yubico/yubikey-personalization-gui
pipacs/o2
NathanDM/kipi-plugins
