GPU-correlators/xGPU
exavideo/exacore
GameOfLife/WFSCollider
cloudera/impala
slowfrog/chickenpix
djasper/clang
millerjv/FacetedVisualizer
bayerj/arac
arcadia-xenos/progress-quest
Evervolv/android_system_vold
siwon/projetBomberman
Flusspferd/flusspferd
mani-monaj/grSim
tmolteno/necpp
joniz7/Multiplaya
d3cod3/GAmuza
openstreetmap/merkaartor
aospX/platform_external_llvm
esrf-bliss/Lima-tango
KenTiN/PolyPeer
enjalot/EnjaParticles
HachasyDados/HD-TCore
kotake/OpenCL
arcticdev/arcticdev
pagameba/node-mapserver
mozilla-b2g/android-hardware_legacy
pgiitu/BTech-Project-Robot-Localization-
dos1/kamerka
satoruhiga/ofxBt
maciek-slon/DisCODe
Evervolv/android_dalvik
jgehring/pepper
ieatlint/MagRead
AOKP/system_vold
skywalker239/lightning
skyhover/Deckard
pmatos/boomerang
hvdieren/swan
rong1129/android-binder-ipc
ManaPlus/ManaPlus
Glycaa/CrafTuX
psoetens/orocos-rtt
jcline/VideoCrumb
gatoravi/DNG_dev
sacarlson/MultiCoin
yosuke/OpenHRIAudio
Open-Turing-Project/turing-editor-qt
gaolinjie/colorful
android/platform_external_skia
macgitver/libGitWrap
yorikvanhavre/IfcOpenShell
pdpdds/CGSF
ehsan/ogre
zsiciarz/aquila
libretro/fba-libretro
evido/wotreplay-parser
UWB-Biocomputing/BrainGrid
Y-Less/YSI-Includes
ros-perception/image_pipeline
macgitver/libHeaven
makulik/sttcl
DDVTECH/mistserver
darwinop/webots-cross-compilation
AlexHomework/TRW
Wicker25/Rpi-hw
nemomobile/qtgrilo
svalat/svUnitTest
avakar/libyb
ros-perception/image_common
danielf/lib-puc-icpc
saleyn/erlexec
jinmei/queryperfpp
Nocte-/rhea
ros-perception/vision_opencv
AndresRicardoTorres/IPMPAIS
glastonbridge/SuperCollider-Android
tanjeff/agentXcpp
zerokol/eFLL
android/platform_external_icu4c
rdnelson/Libra
android/platform_external_protobuf
torarnv/sparsebundlefs
msftguy/ssh-rd
ostash/qt-creator-i18n-uk
imprudence/imprudence
nebirhos/yaml-cpp
esrf-bliss/Processlib
BrewPi/brewpi-avr
manudwarf/dbmaster
jmolloy/pedigree
Nerei/pcl
ObjectivitySRC/PVGPlugins
sofgame-plugin/psiplus-plugin
turtlebot/turtlebot_apps
pacs-course/pacs
WrinklyNinja/libloadorder
Eun/CWebSocket
steinwurf/external-gtest
StratusLab/benchmarks
zpp0/wsnsim-preprocessor
