YasserAsmi/lev
mbedded-ninja/MFixedPoint
tunabrain/tungsten
libertyernie/vba-wii
vashman/typesystems
andrealani/COOLFluiD
manasij7479/spider
jpuigcerver/fast_pca
Th30n/into-the-dungeon
mbedded-ninja/MClide
bigartm/bigartm
BinaryAnalysisPlatform/holmes
r-lyeh/attila
mbedded-ninja/MString
debian-lxqt/pcmanfm-qt
miquelramirez/LAPKT-public
AlisterT/openjazz
Chabrier/ibm2
jpaulm/cppfbp
jesterKing/CCSycles
custodian/harbour-systemmonitor
TheComet93/ontology
tmud/tortilla
vibraphone/smtk
mbedded-ninja/MHal
yoshimalucky/my_pcl_tutorial
AntiMoron/aMazing
mpavageau/MeasuringLUFS
zhufangzhou/RandomForest
evolutional/Chamois
Grumbel/flexlay
tjwoon/csZBar
mbedded-ninja/MOsal
trfd/CES
uProxy/uproxy-obfuscators
facebook/fatal
google/syzygy
npge/npge
spegelius/android_system_vold
bioidiap/bob.learn.boosting
mmaitre314/VideoEffect
DragonSpiritIndustries/Orion
AchimTuran/adsp.template
openhome/ohNetGenerated
PivotalRD/libhdfs3
jcnelson/fskit
Soomla/cocos2dx-profile
SuperScope/Dieseland
Garrett-R/evolved-dynamical-neural-network
orianagomez/cesfundauc_new
CtopCsUtahEdu/chill-dev
seninds/yeti
Ifsttar/Tempus
robotology/workspace-estimation
prakharjoshi/robocup-defence-darkterror
zaixingmao/samples-plots
mariokonrad/qtnavigator
liranbg/JceManager
NetworkAuditor/Server
hcs64/ww2ogg
stravinskii/compiladores-proyecto-1
kapouer/node-webkitgtk
arcan1s/awesome-widgets
markusmarx/qtejdb
marker68/simple-k-means
JeroenMathon/ColdFusion
tgockel/nginxconfig
Waseda-Sato-lab/ndn-mobility
ghorn/debian-coinor-ipopt
HenrikBengtsson/affxparser
fabric-engine/SpliceSoftimage
AOSPXS/aosp_hardware_libhardware_legacy
artus-analysis/Artus
davidsblom/FOAM-FSI
Bhaal22/md5-generator
naoa/groonga-normalizer-yamysql
stevotdo/ls_android_frameworks_av
ibab/lhcb-merge-event
chyh1990/protobuf-2.4.1
abria/TeraStitcher
tgockel/json-voorhees
Dev-Ghost/Mahdi_device_sony_taoshan
wadetb/tinyhci
svn2github/breakpad
Duduf-dev/Dutico
Farsyte/Toolkit
Bryce-Summers/ofxButterfly
libbitcoin/libbitcoin_server
jimbo00000/RiftSkeleton
lihw/tech
cs2103aug2014-t09-1c/main
nojima/nscheme
RocSolidProductions/Space-Shooter
bowkenken/star-snow-notes
sryabykin/AutobahnCpp
jackalstomper/kmath
Jinxit/annalisa
ProteinDF/ProteinDF
cs2103aug2014-w13-3c/main
tue-robotics/cb_base_navigation
