bbcrd/audiowaveform
kevinlekiller/cppnntp
winlinvip/simple-rtmp-server
northwoodspd/uia
robidouille/robidouille
QDeltaSoft/qradiopredict
KevinSupertramp/WakBox
laufersteppenwolf/android_frameworks_native
matteoserva/MegaFuse
CryptoBuck/CryptoBuck
hpicgs/cg2sandbox
KaiEkkrin/afk
svn2github/boost
matthieuriolo/psh
arash-ostadzadeh/QUAD
omnirom/android_external_webkit
lenky0401/fcitx-qimpanel-configtool
MatzeB/llvm-subreg-liveness
VanirAOSP/frameworks_native
flow123d/flow123d
svn2github/Tesseract
omnirom/android_hardware_qcom_media
omnirom/android_system_vold
PADrend/Rendering
PADrend/Util
riuson/lcd-image-converter
devernay/ublasJama
pierriko/atlaas
emmaai/fractalM
airdcnano/airdcnano
bigfatbrowncat/zetes-examples
qtproject/qtandroidextras
Orange-OpenSource/mod_dup
TheKK/openGL-homework
andystanton/glfw-skeleton
sschaetz/aura
gviau/sketch-3d
lucastheis/cmt
orocos/orocos_kinematics_dynamics
thedeann/rpg_quest
eddelbuettel/rcppziggurat
farcost/ourtrack
hkeeble/torcs-adaptive
obe1line/scxml-designer
timschmidt/pstoedit-lmn-laser
facebook/hhvm
DanNixon/UrabeVocalSynth
nw2s/b
ve3wwg/wee
omnirom/android_frameworks_native
unball/ieee-very-small
atks/vt
TakashiSasaki/ns3-abe
jeffh/JKVValue
infinidb/infinidb
mulhearn/hxx
slimek/Caramel
Fabio-Varesano-Association/freeimu
mer-packages/qtbase-eglfsvb
omega-hub/omegaOsg
percona/percona-xtradb-cluster
alvarokas/TTT_Baxter
MichaelRFairhurst/wake-compiler
IkeLevens/drogon_interface
chewing/chewing-editor
CaterHatterPillar/dv2549
sajmoon/cprog13
Youka/SSBRenderer
dominikbelter/HandEstimator
armstrtw/Rblpapi
psi-plus/psi-plus-snapshots
lazerwalker/capybara-touch
manimaul/MX-Tides-iOS
TEAM-Gummy/android_frameworks_av
BucknellMARC/MicroMouse-Sim
wieden-kennedy/Cinder-KCB
jeroendoggen/jenkins-test
astralien3000/aversive--
TEAM-Gummy/android_device_lge_mako
uesoft/AutoPHS
TEAM-Gummy/platform_frameworks_native
gvozdarev-sa/encLoader
MSOpenTech/KinectCommonBridge
akrah/TKDetection
d-led/picojson_serializer
IPNL-CMS/MttTools
devgeekco/duplicate_file_finder
retf/Boost.Application
sintefmath/FRView
rahuliyer/dropbox-cpp
MiamiOH-CSE274/06_BST_Lab
robocyte/RoboStruct
xiehuc/llvm-pred
Karsten1987/task_velocity_damping
proycon/ticcutils
Lavesson/t-unit
VeselovAlex/MyTBS
joshuajnoble/ofxKinectCommonBridge
MiroK/eikonal
mntone/RtmpClient
