shasheene/kartBattle
Nico60/hardware_qcom_media
igprof/igprof
lenky0401/fcitx-qimpanel
kohler/click
v8/v8-git-mirror
SeniorProjects-CS-Illinois/USGS2012
xtuml/models
Cantera/cantera
zaolin/tpmcrypt
efferreiram/datastruct
Inglenookians/Project-Inglenook
edoren/STP
KoheiIzumi/One_Legged_Robot
geodynamics/pylith
matthewnourse/r17
kitizz/nutmeg
MicroMagnum/MicroMagnum
jeremyong/Selene
angrydino/android_frameworks_native
lion0738/android_frameworks_av
hpicgs/glraw
chebee7i/DTS
peryaudo/Peryan
magiraud/vidjil
dagix5/android_frameworks_native
a45154630/LoneSurvivor
saivan/CubeSat
daforsbe/pacman3d
Softcatala/Catalanitzador
bytemaster/fc
profanum429/v800_downloader
ratcage/rat
Ritaja/BlueCompiler
mmvlad/simplerpgcocos
nickbabcock/EECS381StyleCheck
JAOSP/aosp_device_lge_mako
AlexDM0/s4u
Frankenhooker/FCore
jensa/cplusplus
gofigure2/GoFigure2
upndwn4par/android_frameworks_native
KonstantinChizhov/Mcucpp
yinqiwen/ardb
JPNaude/Qtilities
mysensors/Arduino
CrazyCoder/coolreader-kindle-qt
Nehmulos/media-u
KDAB/Charm
carrotsrc/rackoonIO
ikegami-yukino/madoka-python
tum-vision/tum_simulator
odashi/Ckylark
archeos/cloudcompare-archeos
openwebos/luna-sysservice
strosek/vecomp
google/certificate-transparency
Xazax-hun/CppQuery
aszkid/FSIA
mrts/dbc-cpp
Distrotech/bind10
dicksonleong/GagBook
Oslandia/SFCGAL
TessaBarton/radcal
lackoatya/Arena
ros-industrial/abb
kiml/PSOC_programmer
inisider/Nanomite-Updater
MultiSight/ffmpeg
yujinrobot/kobuki_core
maartendamen/py-openzwave
Spiralwise/lucid-engine
otland/forgottenserver
dkwasny/KwazCollections
AOSPXS/aosp_frameworks_native
EternalWind/The-Dark-Crystal
merijntestroote/modern-openZWave
anhero/JsonBox
ekenn003/AnalysisTool
tracebox/tracebox
fluffels/straylight
LaTruelle/Geac
ericjang/svd3
boborama/StenoLite
djbutler/figleaf
jmoon018/PacVim
ckw-mod/ckw-mod
mgerhardy/simpleai
The-Ancile-Project/device_moto_shamu
rbmj/wpilib
eightnoteight/x-thesaurus
tankorsmash/BiochRL
runys/ClickColor
nemomobile/nemo-keepalive
c2s/C2Serve
namuol/jv8
NativeScript/android-runtime
sfotis/geom
ericprud/SWObjects
xin3liang/platform_external_protobuf
