kumagi/nanahan
Jason-lee-c/CocosWidget
Anon0/dalvik
protomouse/mpd
priseborough/InertialNav
Team-Hydra/android_device_moto_shamu
jpmerc/rosWS
robertknight/qt-mustache
lindenlab/3p-cef3
Doxito/Ri-Core_Privado
worldforge/ember
mozilla-b2g/hardware_qcom_display
syntheticpp/dartruntime
Whales/Cataclysm2
roxlu/video_capture
SlimRoms/hardware_ril
snap-stanford/snap
fablabbcn/Smart-Citizen-Kit
CueMol/cuemol2
robotology-playground/wholeBodyInterface
awishnick/Ruffian
F1ash/qt-virt-manager
mmilata/znc-otr
FastMacro/FastMacro
panzi/Yakuake
FloodProject/flood
jklimke/libcitygml
thomasplain/arkanoids
MEPP-team/MEPP
UdeM-LBIT/PolytomySolverDistance
boostorg/move
AlekSi/google-breakpad-mirror
nathanpc/pinned
Chris--B/ConwayGoL
ElwingGit/GCW0_REminiscence
TeamLe-Shop/zordzman-plus-plus
forGGe/fast-gys
Davidbrcz/header-expander
ABBAPOH/Andromeda
sunfish-shogi/sunfish3
jetty840/Sailfish-MightyBoardFirmware
boostorg/convert
OpenParsec/openparsec
OPM/dune-cornerpoint
boostorg/phoenix
jpriebe/ti.dfp
tue-robotics/tue_config
iprafols/cross_correlations
Constellation/iv
kbinani/libvsq
kisli/vmime
CS179F/shell
jarrettchisholm/glr
kariminf/JapKatsuyou
pimms/legendofstealth
Kra1o5/android_device_huawei_u8833
ArchaeaSoftware/cudahandbook
thejohnfreeman/autocheck
racklin/moedict-desktop
ReadyTalk/avian
ksundberg/CS5500
seank/freeems-loader
rdfhdt/hdt-cpp
dgiannakop/Arduino-CoAP
uboot/stromx
google/google-api-cpp-client
arsf/lag
tundra/plankton
gigablast/open-source-search-engine
OSVR/OSVR-Unreal
amanieu/asyncplusplus
jancarlsson/snarklib
MagicDevTeam/android_frameworks_native
lukeweber/libjingle-override
vashman/smart_stream
auscoin/maples
AOKP/hardware_qcom_media-caf-7x30
boostorg/function
dune-project/dune-common
Blahord/Rabsg
Exeter-College-Game-Development/ECGame
OPM/opm-upscaling
charlesw/tesseract-ocr-dotnet
MoKee/android_hardware_qcom_media-caf-new
ChaosBelcebub/PooSweeper
MoritzWillig/NeptunJS
qtproject/installer-framework
smithlabcode/zagros
zonca/mbpol_openmm_plugin
nilium/libsnowball
iamantony/GreyToColor
brandonto/sdl-space-shooter
alanbortu/tle
jfoote/vulture
AIRLab-POLIMI/C-SLAM
mkottman/lqt
twig/dcxdll
tmbo/Roomplanner
boostorg/intrusive
bkaradzic/bx
