biaobiaoqi/CPractice
AngryPowman/ZeusMud
omnirom/android_device_lge_mako
ascheglov/json-cpp
ptitSeb/mupen64plus-pandora
InvictusInnovations/keyhotee
jackun/USBqemu-wheel
ebertolazzi/Splines
GNOME/anjuta-extras
eecsninja/duinocube
vikaspachdha/der_artikel
clnznr/advancedprogramming
luspi/photoqt-dev
mouda/Steven
kartorz/alphadict
OTL/cv_camera
dberg/c4
CarCode/Cocoa-OCPN
Termites/EggWatcher
maniac103/ems-collector
InsightSoftwareConsortium/ITK
HighlandersFRC/2014-cpp
alkedr/abyss-player
cutepig123/GeneralUtility
mntone/Data.Amf
joshpeterson/DevelopingConcurrentSoftware
mattgodbolt/seasocks
pimms/scrap
Freschmushroom/IRNU
citibob/glint2
dobyrch/termboy
redpaperheart/Cinder-CanonSdk
rbock/sqlpp11-connector-sqlite3
jhu-lcsr/orocos_barrett
rasmith/RayTracerX
mattstevens/xcode-googletest
MiamiOH-CSE274/07_Heap_Lab
jobe-m/ownkeepass
kaomoneus/llvm.stepan.dyatkovskiy
atuleu/debian-openni2
shuttie/libimghash
spott/petsc-cpp
g3tsum/android_device_lge_geeb
pietdaniel/jrpg
iglesias/cgr_graphlab
ardneran/Engine
FernandoTorres/NEAT
andremussche/UltraVncAsDll
nemomobile/statefs-providers
pershoot/android_device_lge_mako
fsecilia/dipstick
mweschler/SPEng
GenaBitu/OpenStrategia
jbeezley/libncpcolor
mduffor/tedit
torunar/sve
bkarak/fuzzer-fat-fingers
WhiteVoidia/2d-lighting-engine
SergeyReznik/et-engine
google/capsicum-test
gahansen/Albany
doughague/torpy
simonccarter/sta
thestk/stk
LCAS/bayestracking
Garciat/IS220
thestk/rtaudio
Polydash/Gomez
quepas/Stormy
pawelostrowski/ucc
nemomobile/statefs-qt
uwsbel/implicit-beams-gpu
ipop-project/ipop-tincan
scottmishra/creative_interactive_gesture_camera
blackducksw/ohloh_api
jkrmc12/INF3320-Group-1
Doodle3D/print3d
Ryp/GLShaderDev
isundil/WebServer
brutski/snowcrash-dot-net-wrapper
AndroidDeveloperLB/AndroidJniBitmapOperations
betterhours/SelectiveScroll
radekludacka/lfc-analyzer
QingYun/tracer
spencerparkin/ChineseCheckers
DanielChappuis/reactphysics3d
dicarlolab/archconvnets
merovigiam/PRJ_KART
rogerwang/breakpad
diffpy/libdiffpy
openpeer/op-old
simtr/The-Powder-Toy
SIPfoundry/sipxecs
NeuralSandwich/graphics-programming
Railstars/Aegaeon
BlueDragon747/Blakecoin
MOBle/Quaternions
SIPp/sipp
scrawl/particleuniverse
widelands/widelands
