CartesianCo/argentum-firmware
simpla-fusion/SimPla
corvette-berkeley/shadow-execution
faketooth/MySQL5.6
hbirchtree/jason
nihilus/ScyllaHide
INait/sdl_opengl
rdm-dev/meta-jens
bboczula/med
cyj0912/EasyFlow
lctseng/NCTU-103-1-NP
sjbiwa/bwos
ImpalaToGo/ImpalaToGo
matszpk/clgpustress
vimal-manohar91/kaldi-git
fire/tinch_pp
KangLin/rabbitim
dubhater/vapoursynth-mvtools
Microsoft/diskspd
bluecataudio/plugnscript
XadillaX/thmclrx
spotify/JniHelpers
localz/Spotz-iOS-Examples
bioinformatics-centre/bayesembler
29jm/Kloggr-Qt
Ivanlh20/MULTEM
KDAB/KDReports
linzj/gen-trace
Maximus5/Far3bis
bakercp/ExperimentalMedia2013
xiyanxiyan10/acm
DevZupa/PlotManagement
L3Robot/ulavalSFM
bvlundberg/csci
NilsBrause/waylandpp
RTS2/rts2
svn2github/libtorrent-1_0_x
etkirsch/EMC
apolukhin/Boost.DLL
caskdata/tigon
godlikepanos/anki-3d-engine
Perpixel/Doom3
cms-bph/BToKstarMuMu
katakumpo/kde-workspace
kolab-groupware/kdepimlibs
mali/kdevelop
ReadyTalk/webrtc
awslabs/aws-sdk-arduino
fnk0/MarcusGameEngine
Maximus5/FarPlugins
HackHerz/pusher
SuperV1234/cppcon2014
codelegend/algorithm-compiler
gideros/giderosplugins
robkingalex/android_device_lge_geehrc
realXtend/tundra-urho3d
sluzynsk/360Controller
moemao/newSimCode
sean-dougherty/neat
totemstech/neuraln
collegeteamAS/comp-projects
kobolabs/qtmultimedia
Arezou-gh/Stokes_hp
trilinos/trilinos
SeisComP3/seiscomp3
MattDeanMPhys/Cancer
vashman/streamlog
jevinskie/dagger
wzyuliyang/CNCJOB
Adjective-Object/cSpectrum
ane-community/cryptopp-ane
zhou-/Poker
vaibhavpandeyvpz/apkstudio
bitsofmymind/elements
pdrobek/Polcoin-1-3
hiroMTB/dial_composer
shonumi/gbe-plus
celeron55/buildat
tue-robotics/ed
AsheeshR/gaze-io-system
cole-trapnell-lab/cufflinks
kaukeb/ARToolkitPlus
EducationalTestingService/python-zpar
thp/billboard
naoyam/tapas
ILab-Compiler/tasks
malensek/3RVX
go3k/LiveRefresh
LSST/meas_multifit
matthewhanson/gippy
LSST/meas_extensions_multiShapelet
code-iai/iai_kinect2
Microsoft/StorScore
nbouteme/OpenGL-Demo
tkmc/486
geni-lab/ros_pololu_servo
ShevaXu/libde265-hack
start-x/startx-src
wxLauncher/wxlauncher
KoKuToru/gTox
