ajhalme/coop-agents
lucasfacchini/appStore
manjaro/manjaro-settings-manager
plotly/arduino-api
Menetekel/Missionfile_Chernarus
mfontanini/libtins
MagicDevTeam/android_hardware_qcom_media-caf
joeferner/node-oracle
ak239/graphics
matlo/GIMX
adarob/eXpress
trailofbits/pe-parse
s3fs-fuse/s3fs-fuse
hapyrus/mysql-replication-listener
portalmod/mod-utilities
fermathproject/fermath
STS-Dev-Team/platform_frameworks_av
mback2k/wiasane
kentdlee/CoCo
joeferner/node-java
davetcoleman/baxter_cpp
FGRE/steins-gate
FGRE/nptools
FGRE/libnpa
FGRE/libnpengine
ras0219/alphacomplex
usagi/virtual-keyboard-prototype-1
2DaT/Obxd
loveunk/ICNCache
DarkHobbit/chronoline
MagicDevTeam/android_hardware_qcom_media
alanspencer/ImageStackTransmogrifier
futr/imo2
mirrors/blink
pacerom/frameworks_native
chenxiaolong/CM_frameworks_native
y-higuchi/ramcloud
darrenmothersele/cyril
char-lie/bigint
benrussell/x-httpd
omnirom/android_device_lge_gee-common
reverbrain/rift
gnzlbg/scattered
hunter-packages/gtest
ideawu/ssdb-rocks
segrax/DrCreep
hogliux/bomutils
jdierkse/fast_tv_grab_nl
spark/core-firmware
erengy/taiga
SAnsell/CombLayer
weltyc/ntest
svn2github/OpenTTD
notspiff/audiodecoder.stsound
ppettersson/ManaShell
ICGog/Flowlessly
gapchan89/CTPico
openpeer/op-stack-cpp
openpeer/op-services-cpp
awong-dev/ndk
pboechat/roadnetworkgenerator
MickaelG/tomate_cpp
TeamNostalgia/android_frameworks_av
gpakosz/Assert
bwrsandman/ReconStruct
kremius/karya-valya
lrmcfarland/CartesianSpace
eLearner-Network/Typographer
Svalorzen/AI-Toolbox
zeromq/zmqpp
AntonBikineev/bessel-derivatives
tobiasrausch/delly
dbzhang800/QtMail
talllguy/Project5
TwoOfDiamonds/Mage_Dodge
kosmaks/drill
tohu/lookin
kevoree/kevoree-cpp
sirherrbatka/nocturn
djeedjay/DebugViewPP
hyrise/bencho
GasperPaul/Pentago
eshlyapin/tripgame
mer-hybris/qt5-qpa-hwcomposer-plugin
fallahn/sfml-tmxloader
Etskh/jotun
KitKatXperience/platform_device_lge_mako
typemytype/booleanOperations
webOS-ports/webos-keyboard
ComPWA/ComPWA
gaeltp3/Harzard_Projekt
pkambadu/AMD
cloudera/impala-udf-samples
mikelima/quandoparte
UMN-CMS/ZFinder
RcppCore/RcppEigen
ericniebler/range-v3
Hello71/zopfli
pacerom/frameworks_av
fahadash/data-eater
