neuroprod/npDeferredS
yudjin87/carousel
nerdvegas/vfxgal
ethz-asl/ethzasl_ptam
rbei-etas/busmaster
blizzlikegroup/blizzlikecore
visionmedia/node-jscoverage
faithandbrave/OvenToBoost
duartej/AnalysisVH
jsummers/tweakpng
adiesner/GarminPlugin
Mobots/mobots
drowaudio/drowaudio
CGRU/cgru
nemomobile/voicecall
SimonRit/RTK
CingProject/Cing
Mononofu/CryptoChrome
walterdejong/oolib
samstyle/Xpeccy
bzar/qtpndman
mapbox/tilelive-s3
ddemidov/vexcl
gnuradio/gnuradio
ryanmelt/qtbindings
FreeRDP/FreeRDP-WebConnect
Evervolv/android_frameworks_native
Gnurou/tagainijisho
bolero-MURAKAMI/Sprout
wchristian/ogldev
chandlerc/llvm-hacking
timbaker/pzworlded
katyhuff/cyder
berenm/libgtulu
thejoshwolfe/grinch
rsdn/avalon
macBdog/game
polotek/libxmljs
slayoo/icicle
lukeweber/webrtc-src-override
mrts/test-cpp
cuda-geek/parallel-radix
licq-im/licq
Alalf/SCFF-DirectShow-Filter
scim-im/scim
wxphp/wxphp
wITTus/Brute-Force-Game-Engine
LASzip/LASzip
rgmelko/Graphs
ewxrjk/rsbackup
schuay/picmi
hkrn/MMDAI
Malvineous/libgamegraphics
Ignotus/kdots
sakhnik/gpwsafe
mbunkus/mkvtoolnix
naito/ecell3_models
blueboy/portalzero
FahmiA/Flat-World
tgoyne/aegisub
Mezomish/juffed
LORDofDOOM/MMOCore
S1lv10Fr4gn4n1/Physical.Simulation.Tool
Zeex/sampgdk
reaDIYmate/avr-libraries
paulhoux/Cinder-Samples
shaybarak/HQMP
bigmc/bigmc
robinst/taglib-ruby
TooTallNate/node-iOS
ekg/vcflib
zotero/zotero-standalone-build
CalVR/calvr_plugins
CalVR/calvr
nitram2342/degate
makerbot/Miracle-Grue
rdp/virtual-audio-capture-grabber-device
otcshare/automotive-message-broker
ukoethe/vigra
eurotech/edc-examples
jtalbot/riposte
mheinsen/seec-clang
hanm/clang
scummvm/scummvm-tools
themaw/ofxLivedrawEngine
cubicdaiya/dtl
OpenChemistry/avogadrolibs
rgmelko/1D_NLC
rousseau/fbrain
jsmeredith/EAVL
stefanocasazza/ULib
NickHardeman/ofxBullet
RagingBigFemaleBird/sgs
fhunleth/hollowcore-h264
unitpoint/objectscript
lukemetz/Sapling
KDAB/KDSoap
sashman/terrain_generator
g1257/dmrgpp
royshil/SfM-Toy-Library
