nemomobile/statefs-contextkit
DayZMod/DayZ
TeamPlaceholder/android_device_lge_gee-common
SINTEF-Geometry/GoTools
mer-packages/qtlocation
mer-packages/qtfeedback
dstenb/tegel
ambrop72/aprinter
sgraham/cmdEx
timmb/EnsembleVisualization
udan11/samp-plugin-sql
links234/Framework
mer-packages/qtsvg
spencerrecneps/coin
mer-packages/qtscript
mer-packages/qtpim
mer-packages/qtjsbackend
mer-packages/qtmultimedia
mer-packages/qtgraphicaleffects
Skyyrunner/ChartedWaters
SaSteDD/ees_StegStef
gintenlabo/etude
helloIAmPau/node-rtc
mer-packages/qtsensors
luptiwahyu/taj-mahal-3d
Elv13/sflphone-kde
claytronics/visiblesim
mer-packages/qttools
matt-42/cuimg
mer-packages/qtbase
andyras/dynamix
mer-packages/qtdeclarative
mer-packages/qt3d
mer-packages/qtwayland
XimingCheng/HEVCAnalyzer
irruputuncu/HyriseVisualizer
mhogomchungu/qCheckGMail
metatangle/sts
jperkin/node-openzwave
stablecoin/StableCoin
Netflix/NfWebCrypto
Marvincin/ProyectoCpp
skooter500/BGE
congdanhqx/gauth
allenh1/p2os
Distrotech/poppler
h2gglobe/h2gglobe
libbi/LibBi
krishauser/RobotSim
zgmnkv/zwave4j
krishauser/KrisLibrary
jhu-lcsr-forks/rtt_ros_integration
Distrotech/llvm
verateam/vera
stangirala/PFinder
amarini/QuarkGluonTagger
lbproductions/psnewmodel
nemomobile-packages/messagingframework
wojdyr/xylib
rescrv/HyperLevelDB
apex-hughin/LyX
LukaszRados/PotatoDefense
shadow-robot/sr-contrib
2code4one/onii
jbboehr/libmustache
TingPing/hexchat-javascript
muddafudda/MEMECoin
webinos/webinos-certificateHandler
blackberry/BES10-Cascades
OPM/opm-material
trungtle/smokedesigner
robin-raymond/zsLib
LindleyLentati/TempoNest
atowers-devs/atowers
xtuple/qt-client
iptux-src/iptux
srv/libfovis
beasly/ViMuc
webinos/webinos-api-deviceStatus
sbc100/naclports
pingdynasty/OwlSim
mer-packages/qtdocgallery
hskim08/TapIt2
galaxy001/pirs
nzjrs/opencv
v3ga/murmur
bcohen/sbpl_manipulation
qtproject/qtfeedback
AcumenDev/DB
DolbyLaboratories/caf-platform-frameworks-av
strymon/spl
Lapayo/SAMPHP
temper8/FBReader-Tizen
GenslerAppsPod/avro-nodejs
Ortofta/SilicaNote
meta-qt5/qtdeclarative
reverbrain/elliptics-fastcgi-old
svenstaro/dwarf_fortress_unfuck
communi/libcommuni
nbarriga/sparcraft
