larsys/markov_decision_making
paktinat/STau
wKich/s-orbit
subotto/subtracker
FrodeSolheim/fs-uae
AlexanderDilthey/MHC-PRG
sailfish-sdk/libsailfishapp
limelight-stream/limelight-android
dvbuntu/ogre
libretro/libretro-3dengine
SquadCollaborativeRobotics/global_planner
miska/HungerMeter
peria/arctan
FRC2994/Robot-2014
osmehlik/l-systems-vis
Sheph/airforce
ekrona/ekrona
deiv/kdeconnect-pkg
patrickelectric/predator
oniongarlic/harbour-yradio
seagullua/ADLib
jfomhover/ArduSat-utils
fabric-engine/lldb
sillsdev/grind
omuses/hqp
maritimecoin/marinecoin
janbar/cppmyth
FastQuake/E410
sgould/drwn
wantnon2/3DToolKit-for-cocos2dx
CryptoBubble/radioactivecoin
Giemsa/oreore
log4cplus/log4cplus
ibmdb/node-ibm_db
xiangxw/ThinDict
vjaunet/QUADCOPTER
holland01/bspviewer
chadwickj/Cybersonics103
sz3/turbolib
SCIInstitute/ImageVis3D
johnwbyrd/superpawn
andrej-fischer/cloneHD
humboldt-xie/xb
berkus/dir_monitor
sn0w75/MikuMikuPenguin
mucbuc/twice-size
larics/assisi-playground
2sin18/hactar
aam/oracledart
ibawt/ev
jluukko/fuelpad
RSATom/WebChimera
portown/capture
robotology/icub-main
fourtytwo42/42
FRC2539/command-based
thedmd/cmake-hacked
Fynx/BTech
kunitoki/juced
JosephP91/curlcpp
team3130/Robot-2014
QuentinFiard/GooglifyCMake
hildensia/playalong
ppwwyyxx/speaker-recognition
melizalab/jill
bq-rk3066/android_device_bq_rockchip-common
sowbug/happynine
richfitz/forest
JohnLeM/BasexCPPAPI
n8armstrong/cs3600
realXtend/tundra
ForNeVeR/mithgolizer
hoelzro/harbour-sudoku
OpenMS/OpenMS
JeffersonLab/g4sbs
nadiahpk/settlement-time-game
CopernicaMarketingSoftware/PHP-CPP
Dazzozo/android_external_webkit
thieman/korhal
nathanjsweet/nodehun
KyleSanderson/SteamWorks
MaratMir/DiskArcher-backup-utility
djvergad/dash
NextRPG/Xihad
HaikuArchives/BeSpider
irods/irods_resource_plugin_s3
start-jsk/denso
Zaela/ZEQClient
ericgopak/Mortal-Coil
ComputationalRadiationPhysics/scatteralloc
tjohnw/Vectron
nikolovp/RayTracedChessGame
Devianttwo/Electric
stichnot/subzero
lijie/dogrun3
porglezomp/graphicsmath
navrkald/regularConvertor
leduyvu/RacerMouse
lasserre/JAGUAR
AlbericTrancart/doom
