nuridol/scummvm-kor
macroevolution/bamm
bazald/carli
kylemcdonald/ofxBlackmagic
MiamiOH-CSE274/Vise
fireco007/foobarLyrics
bsutherland/JuceOPLVSTi
robotology/ycm
iszczesniak/sdi
Universefei/podofomemo
Adelier/fast-exponentiation-algs
pfs/sm_cms_das
nekko1119/AnimalShogi
vivkin/gason
tagcoin/tagcoin
trimpsyw/taint
craflin/libnstd
mandraWorks/xWebProcessor
erget/UltraPilot
Soomla/cocos2dx-store-example
bronevet/sight
detrout/qt-gstreamer
iodoom-gitorious/raynorpats-glsl_iodoom3
zerebubuth/planet-dump-ng
DronMDF/upp11
omnirom/android_external_clang
ivandmitrievsky/graphcut
winglot/WEngine
jerem3189/ChatReparti
khertan/Tirelire
seb-m/CryptoPill
kckrepo/kck-repo
VSRonin/CLOModel
seznam/mcache-client
armills/agocontrol
brick-lang/kiln
RGLab/COMPASS
anrieff/trinity
stxxl/stxxl
WagicProject/wagic
AndSt/MolSim
Squadron6/Squad604
cefsharp/cef-binary
masamitsu-murase/seven_zip_ruby
MonaSolutions/MonaServer
Deadspeller/AntInt
GSDan/CSCGAMES2013
xzfantom/homebrewery
Metaswitch/clearwater-snmp-handlers
boxerab/GDCM
megawidget/ebb
matemat13/Spektrograf
loretoparisi/EssentiaTouch
traviscj/overly-ambitious-isqo
sportngin/objective-ci
bmerry/mlsgpu
getgearbox/gearbox
netinept/CSC-525-Computer-Graphics
ITensor/ITensor
retroware/micronau
aamlima/TowerDefense
hroest/openms
desysusy/DesySusy
mcdonamp/smorgasbord
HipGISAXS/HipGISAXS
omnirom/android_device_htc_m7-common
kylehuff/libwebpg
SlimSaber/android_external_stlport
bright-tools/coverage
torch/cutorch
torch/cunn
tum-uav/cvt_ros
h13i32maru/navyjs
jlblancoc/mrpt
bro/time-machine
noorus/nil
nicopauss/LFLL
omnirom/android_device_samsung_aries-common
portalmod/mda-lv2
epipolarna/ExtrapolateAndConquer
RichieSams/thehalflingproject
CenturyWarDesign/Intelligent_Arduino
cmc-msu-ai/lspl
davidok8/AKAZE
diffpy/pyobjcryst
mcproxy/mcproxy
ElCapitan2/Frontier_Navigation
lxde/lxqt-globalkeys
romanandreev/FindMin
goddardl/gander
dag10/EventLCD
neiser/PiGLET
devernay/openfx-misc
henry4k/apoapsis
Dolnor/EAPD-Codec-Commander
chrkl/xtreemfs
socam/meegotouch-systemui
socam/lipstick-socam
cablelabs/QtRUIBrowser
skji/miwu
