ClimateGlobalChange/tempestremap
ChaiScript/ChaiScript_Extras
cloudius-systems/seastar
rock-planning/planning-bfsf
gpertea/stringtie
draupnergraphics/touchgfx-open-repository
bioidiap/bob.learn.em
lab-of-the-future/future_engine
onenorth/onibot
VerySleepy/verysleepy
MultiSight/vakit
CandyDevices/device_motorola_shamu
macaw-movies/macaw-movies
ia-toki/tcframe
AMDmi3/libbinbuf
ethz-asl/kindr_ros
LuminanceHDR/LuminanceHDR
DaikiMaekawa/quadrotor_navigation
oscar-broman/SKY
jgeudens/GraphViewer
solusipse/web-to-webm
kursof/abramyan
documentcloud/pdfshaver
Elephly/MagicRealm
meshadaptation/pragmatic
sweeneychris/TheiaSfM
XPIR-team/XPIR
yanyiwu/simhash
yanyiwu/nodejieba
vroad/node-ndll
alexanderBaranov/OOP
nenetto/NPTrackingTools
falltergeist/falltergeist
falltergeist/libfalltergeist
tue-robotics/amigo_whole_body_controller
Brazilian-Institute-of-Robotics/simulation-rock_gazebo
bachp/alljoyn_core
cryptogenicbonds/CryptoBullion-CBX
rr1706/vision2015
hawaii-desktop/hawaii-system-preferences
GraphKit/graphkit
redpaperheart/Cinder-Wax9
dato-code/GraphLab-Create-SDK
cdaylward/nosecone
HSAnet/glimpse_client
Ra1nWarden/Online-Judges
g-jackson/cs4098
johnmcfarlane/crag
laurb9/tiny_scope
RCOS-Grading-Server/HWserver
VFR-maniac/VapourSynth-FFT3DFilter
google/REAPER
OtterBrowser/otter-browser
primiano/platform_frameworks_av
VFR-maniac/VapourSynth-TNLMeans
ComputationalRadiationPhysics/alpaka
Wohlstand/PGE-Project
ryantmer/LyricsSearch
BOINC/boinc
susy2015/SusyAnaTools
xin3liang/platform_external_chromium_org_third_party_webrtc
zaqwes8811/io-async-parallel
FRC1280/FRC1280RecycleRush
broadinstitute/firepony
bicyclestudio/AwaKinG
madeso/ride
arangodb/arangodb
webOS-ports/luneos-components
xsmart/opencvr
nitroshare/nitroshare-desktop
lazychords/lazychords-lib
sysint64/e2dit
GarCoSim/TraceFileSim
TheoKanning/Chess-AI
Hourglass-Resurrection/Hourglass-Resurrection
personalrobotics/owd
flax-lang/flax
toeb/cmakepp
google/kythe
Dehaku/Galaxy
SCIInstitute/Cleaver2
requimrar/flax-lang
Kavignon/MontrealGameJam-SoulCrusher
kwek20/StrategyGame
rime/librime
Kazakuri/Shinjiru
LeifNode/Novus-Engine
nwjs/blink
PurpleI2P/i2pd
XAMPP/Mt
SSS-XY-D-Lab/CPyCompiler
horn-point-lab/moos-ivp-hpl
malek0512/2014_2015_ricm4_cannon_ball
neloe/MongoDB-Cpp
plusEight/rshell
Hummingbird-Framework/Hummingbird-SFML
theyamo/CheeseCutter
the-darkvoid/BrcmPatchRAM
the-darkvoid/OS-X-Fake-PCI-ID
maxmods/wx.mod
