dicksonleong/Quickddit
r9y9/SPTK
aozturk/AMS
osmcode/node-osmium
oswjk/unitmaster
Ensembl/WiggleTools
UncleSniper/giasm
Skyyrunner/PlantSim
luo-chengwei/MyTaxa
google/liquidfun
MatthieuBizien/neural_networks
AndreaOrru/Utopia
mauios/greenisland
segmentedbit/impro-assignment
RazorLove/pennies
stubma/cocos2dx-better
CatalystApps/Cocos2dxGAFPlayer
mashiro/rabbit
philiphubbard/Agl
hamidr/AIMA-CPP
jeremyhansen/rooksguide-cplusplus
KiCAD/kicad-source-mirror
GrayFace/wog
fix8/fix8
Yangqing/caffe
VanirAOSP/art
sdemyanov/ConvNet
walling/node-rsvg
wangli1426/Claims
naphaso/zql
santazhang/memdb
SlimRoms/android_art
romainfrancois/Rcpp98
shendurelab/LACHESIS
mackorone/mms
js-platform/node-webrtc
ouroboros-project/ouroboros
DirtyHairy/node-libxl
mloskot/qt-creator-plugin-boostbuild
Whitehawkx/frameworks_native
OpenKinect/libfreenect2
greenheartgames/greenworks
DimiL/nfcd
defunctzombie/libuv.js
ioquake/launch
libfann/fann
Mordonus/Shooter-2d-game
Bur0k/D45az
ah450/RiSC-16-Simulator
MarcW2345/madn
kenowessels/AVPRG-Synthesizer
muhdmirzamz/Mazel
simonspa/pxar
webOS-ports/webapp-launcher
Pakkumanhakkers/pakkuman
wangkuiyi/mapreduce-lite
ikolesov/CarreraSlice
melode11/FastDTW-x
clementine-player/Clementine
omnirom/android_device_samsung_i9100
YonseiCTE/ICPC
ProjectSkyfire/SkyFire_5xx
minamiyama1994/FTMP
pcolby/pcp-pmda-cpp
libclsph/libclsph
mdevlamynck/nvidia-monitor
stack-of-tasks/sot-state-observation
scottgw/eveqs
pal-robotics/play_motion
team-diana/diana-messenger
otherlab/hollow
vitamin-caig/zxtune
LeapMotionRV/Badaboum
piotrdz/queues
HaikuArchives/Paladin
node-xmpp/node-stringprep
microhh/microhh
ThomasHabets/simple-tpm-pk11
PersonifyInc/webrtc
masimun/AMFBach
jtreanor/LPmade-Python
metherealone/threadpool11
MegaGlest/megaglest-source
isamu/rocksdb-ruby
GustavPersson/miniature-dubstep
Sasurai/Dodge
NetClean/videoplayer
jp90/srcParallel
Naftoreiclag/Libirid
BytecodeMe/device_lge_mako
ShinyROM/android_platform_frameworks_native
dubotics/urc2014
tresorit/zxcppvbn
chrzhang/Data-Structures-and-Algorithms
OHSystem/ohsystem
fofoni/openwar
Distrotech/icu
alex-caelus/kryptan
Pixinger/arma3-coop-persistent-campaign
Rapptz/sol
