kalxas/gnorasi
ninsun/ningeProject
Metalab/ctrl-cut
evincarofautumn/protodata
visualfc/liteide
ParanoidAndroid/android_external_skia
FaerieFrOSt/Compact
maxrd2/subtitlecomposer
OSSIA/Score
jrlewis/qtcreator
jonstewart/fsrip
benMcChesney/ofxKinectSDK_FaceTracking
strattonbrazil/Sunshine
studentkittens/Freya
legnaleurc/qbtd
peterxsu/Stratego-with-Basic-AI
smirn0v/objclint
Neoracle/DymonRepo
murank/TortoiseGitMod
statismo/statismo
Oxyd/APNS
alexhairyman/scrummy
dribbroc/HONEI
anoopjohn/gphpedit
petersimonsson/libqatemcontrol
BristolTopGroup/NTupleProduction
bytemaster/mace
griffinmilsap/hitest
AXR/browser
CPqD/nox13oflib
Morwenn/POLDER
naoyam/physis
amireh/grind
karuiwu/reparse
MooseTheBrown/psmoveinput
wo3kie/AssocVector
Krigu/Gaze
ronchaine/Wheel
klangfreund/Choreographer
mapu/llvm
mozilla-servo/rust-azure
tjhladish/dengue
sfu-group6/talkingcalendar
antonbarty/cheetah
robinvierich/fydp
CBA2011/WASABIQtGui
dailin/wesnoth_ios
vslavik/xmlwrapp
TooTallNate/node-vorbis
jktjkt/trojita
harrism/hemi
monettenom/parseus
JodiTheTigger/game-in-a-box
mvallebr/ZorbaJavaWrapper
hobu/spiritcsv
shaldoney/Alkoool
anttisalonen/freekick3
SuperV1234/SSVOpenHexagon
patrickdemond/Alder
biolab-unige/nifti2dicom
libgdx/fbx-conv
basvodde/filezilla
chrislu/schism
priomsrb/lighttasks
certik/csympy
microcai/llvm-qbasic
specialunderwear/socket.io.stresstest
joshcates/ITKParticleShapeModeling
vinc/purplehaze
ros/diagnostics
iHateInventNames/synergy-through-usb
wdavidw/node-sigar
tarasko/edba
allan-simon/tatoebacpp
lisitsyn/tapkee
toshic/libelliptics_proxy
jakobkroeker/HMAC
HellicarAndLewis/MulticolouredMagic
BaiduCC/BGCC
francisengelmann/FabScan100
OpenHEVC/openHEVC
HessiJames/soundkonverter
jonstewart/liblightgrep
flavio/qjson
dannyedel/dspdfviewer
Themaister/RetroArch-Phoenix
GoldenCheetah/GoldenCheetah
sans-sense/queralyzer
krig/koi
dozeo/screengrabber
Hawk777/ssl-refbox
jthornber/thin-provisioning-tools
vle-forge/packages
Jeaye/JeayeSON
MarkEMarkEMark/G35-MEO-Programs
puku0x/cvdrone
monocasual/giada
rillian/webrtc
SuperV1234/SSVStart
kadavros/stx
