ros/ros_tutorials
plfs/plfs-core
SlimRoms/device_samsung_aries-common
SlimRoms/device_samsung_i9100
cusplibrary/cusplibrary
gregorburger/CityDrain3
bjorn/qml-box2d
melor/node-posix
laanwj/bitcoin-qt
nickorr/BaseElements-Plugin
muhku/FreeStreamer
rug-compling/alpinocorpus
cmwslw/nxt-plus-plus
Slicer/SlicerExecutionModel
cbonsig/openclock
HIT-SCIR/ltp
kallaballa/Janosh
wezm/node-genx
aportale/qtouchandlearn
BlzFans/wke
WaliDev/WALi-OpenNWA
hmbl9r/OpenPuush
cyclus/cyclus
openigtlink/OpenIGTLink
bcdev/s3-synergy
harmattan/unrestricted-system-ui
vectorstorm/vectorstorm
msoos/cryptominisat
makrohn/polymorphable
qterminal/qterminal
ccny-ros-pkg/mav_tools
actian-geospatial/ogr-ingres
lianliuwei/chromium_base2
mc-suchecki/Imagine
nemomobile/heliumreborn
typester/Data-MessagePack-Stream
mingchen/protobuf-ios
Evervolv/android_hardware_qcom_camera
quark-zju/lrun
Evrytania/LTE-Cell-Scanner
niadam/android_device_notionink_adam_common
godexsoft/x2d
jasmarc/mRVM
mfragkoulis/PiCO_QL
steinwurf/cxx-gauge
yavdr/vdr-plugin-restfulapi
roa/beliskner_client
knu/ruby-unf_ext
sboli/twmn
herumi/mie
is06/Invisible-Spirit
easterbunny273/Project-Cube
jorisv/RBDyn
commontk/PythonQt
anarsoul/gmenu2x-zipit
bpiwowar/kqp
obiou/FPL
Subsentient/wz2100legacy
nemomobile/lipstick
OP2/OP2_ROSE_Fortran
ahom/gw2DatTools
edward-murrell/mogvert
Loki-Astari/ThorsSerializer
joeferner/wxNode
matthewfl/ilang
portaloffreedom/ThinkZone
gemrb/gemrb
linuxmuster/linuxmuster-linbo
armstrtw/CppBugs
guanix/arduino-nrf8001
laumaya/GLC_lib
apreiml/genieutils
skristiansson/clang-or1k
AOKP/external_skia
yiannist/llvm
clahey/viba
OPM/opm-porsol
stanionascu/qsmart-tv
lawrence-iviani/QT_tone_generator
ahorn/libse
phensley/python-smhasher
strk/gnash
eerolanguage/clang-interpreter-runtime
nemomobile/libcommhistory
Lexicality/Wulf2012
ironsteel/cegui
InspireBrowser/Inspire
Hackeridze/Qtnp
XelaRellum/rapidshell
QupZilla/qupzilla-plugins
ktf/igprof
FishingCactus/Rockete
richardghirst/PiBits
karadoc/Civ4-K-Mod
brezerk/q4wine
openwebos/configurator
serge1/ELFIO
bakwc/SeaCraft
cocaine/cocaine-plugins
davidm/luacom
