rogerwang/node-webkit
nwjs/nw.js
Atom/atom-shell
facebook/hhvm
Valloric/YouCompleteMe
keithw/mosh
Swordfish90/cool-retro-term
Swordfish90/cool-old-term
wkhtmltopdf/wkhtmltopdf
bjorn/tiled
paralect/robomongo
facebook/proxygen
zealdocs/zeal
dropbox/pyston
TTimo/doom3.gpl
