repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
Ardillo/NOT-Face-Recognition,C++,0.923077,1,0,0.227954,5.500000,2.500000,1,1328,0.000000,0,0,1,1,1
trailofbits/mcsema,C++,0.865990,3,1,0.154176,23.750000,4.375000,1,4337607,0.051289,395,1,1,1,1
libretro/prosystem-libretro,C++,0.848485,1,0,0.344900,5.500000,0.333333,1,4708,0.000000,2,0,1,1,1
cjxgm/vimlight,C++,0.694444,1,0,0.089875,20.142857,1.714286,1,1728,0.000000,3,0,1,1,1
plasma-umass/coz,C++,0.864865,1,0,0.184776,12.500000,0.125000,1,9441,0.028427,224,1,1,1,1
WPI-RAIL/carl_safety,C++,1.000000,2,1,0.265467,6.666667,0.666667,1,667,0.000000,0,1,1,1,1
leaningtech/cheerp-libcxx,C++,0.996901,3,0,0.152022,27.452829,0.000000,1,321715,0.963807,17,1,1,1,1
mike-ferenduros/ComicTagImporter,C++,0.900826,1,0,0.042790,15.000000,1.000000,1,22535,0.000000,10,0,1,1,1
Tylemagne/Gopher,C++,0.000000,1,0,0.143813,11.000000,5.333333,1,550,0.000000,43,0,1,1,1
synthicity/urbanaccess,C++,0.921569,2,1,0.303118,6.000000,0.500000,1,10596,0.010120,36,1,1,1,1
banterle/piccante,C++,0.956989,1,0,0.270177,35.428570,0.142857,1,87967,0.001893,43,1,1,1,1
fb-datax/omnis-weblib,C++,0.500000,2,0,0.170097,8.000000,2.000000,1,2819,0.000000,3,1,1,1,1
graphitemaster/neothyne,C++,0.989130,1,1,0.069311,89.142860,4.857143,1,19049,0.302170,15,1,1,1,1
janelia-flyem/libdvid-utils,C++,1.000000,1,0,0.207511,5.250000,1.250000,1,3188,0.000000,0,0,1,1,1
kwkelly/invmed_rewrite,C++,1.000000,2,0,0.197743,6.875000,0.000000,1,5830,0.595614,0,1,1,1,1
ThibaultReuille/graphiti,C++,0.957447,1,0,0.035113,13.777778,0.888889,1,11874,0.000000,35,0,1,1,1
kehlert/gpu_examples,C++,0.913580,1,0,0.223013,26.000000,1.000000,1,153769,0.859832,1,1,1,1,1
fwbuilder/fwbuilder,C++,0.990901,3,0,0.159453,46.729412,0.023529,1,352619,0.238161,7,1,1,1,1
mrpt-ros-pkg/mrpt_navigation,C++,0.833333,2,0,0.360311,2.980392,0.137255,1,4058,0.080768,6,1,1,1,1
monestereo/JuceStandalonePluginTemplate,C++,0.392857,1,0,0.333518,18.500000,2.000000,1,1233,0.000000,1,0,1,1,1
RuWhyNot/stealthgame,C++,0.940741,1,0,0.465744,16.299999,1.300000,1,8648,0.000000,0,0,1,1,1
revbayes/revbayes,C++,0.865510,6,0,0.107747,58.731342,0.925373,1,4571378,0.051959,22,1,1,1,1
jonathan-beard/templatedLockFreeFIFOQueue,C++,0.812500,1,0,0.150146,38.500000,0.166667,1,2045,0.111561,4,1,1,1,1
v4r-tuwien/v4r_ros,C++,0.872727,2,0,0.248591,4.888889,0.333333,1,26219,0.068070,0,1,1,1,1
fundamental/rtosc-tutorial,C++,0.933333,1,0,0.101690,4.800000,0.200000,0,3030,0.689313,0,0,1,1,1
WCSim/WCSim,C++,0.971831,8,0,0.172028,4.649123,1.105263,0,10221,0.000000,5,0,1,1,1
SkyFire/MTA,C++,0.900857,7,0,0.245423,78.918922,0.000000,1,754178,0.028862,2,1,1,1,0
tri-star/tigrep,C++,0.882353,1,0,0.085789,42.000000,8.000000,1,1144,0.489655,0,1,1,1,1
Mati365/Potato3D-Engine,C++,0.870968,1,0,0.032417,23.333332,0.333333,0,5375,0.027219,0,0,1,1,1
sequencing/NxTrim,C++,0.818182,2,0,0.047287,10.000000,1.666667,1,1285,0.000000,21,1,1,1,1
ccera/motica2D,C++,0.953846,1,0,0.230350,25.500000,1.000000,1,9735,0.000000,0,0,1,1,1
Fallingsheep1985/0.14_DamYouSteam_Multi,C++,0.100000,2,0,0.014236,114.000000,1.000000,0,18859,0.000000,1,0,1,1,1
thlorenz/v8-profiling,C++,0.990155,17,0,0.151663,13.808219,0.000000,1,926415,0.012080,15,1,1,1,1
josephlewis42/UDenverQGC2,C++,0.932794,12,0,0.099468,68.942307,0.000000,1,599306,0.001768,0,1,1,1,0
mapcrafter/mapcrafter,C++,0.958333,1,1,0.231738,41.884617,1.730769,1,18443,0.025264,162,1,1,1,1
LCLS/ProtoMol,C++,0.982422,2,1,0.177452,5.631579,0.578947,1,47568,0.014927,0,1,1,1,1
qtproject/qtwebengine,C++,0.978182,10,0,0.261486,51.869564,0.086957,1,41191,0.192627,37,1,1,1,1
kelsieflynn/digia-qt,C++,0.957757,59,0,0.212093,397.294128,0.029412,1,4571968,0.188988,1,1,1,1,1
Cryptokronzer/Assignment1,C++,0.000000,3,0,0.103448,6.000000,2.000000,1,81,0.000000,0,1,1,1,1
Greg-Griffith/ECCoin,C++,0.954839,1,0,0.073936,12.000000,0.333333,1,105278,0.043945,2,1,1,1,1
Alprog/Judy,C++,0.885417,1,0,0.141739,9.230769,0.230769,1,144458,0.469085,3,1,1,1,1
UbuntuSTE/android_frameworks_native,C++,0.920771,49,0,0.200081,162.632355,0.000000,1,111108,0.104464,0,1,1,1,1
Grumbel/tinygettext,C++,0.826087,3,0,0.204377,1.658537,0.024390,1,2267,0.472381,17,1,1,1,1
gin0606/cocos2dx-WebView,C++,0.888889,2,0,0.141361,31.000000,8.000000,1,1227,0.000000,22,1,1,1,1
zeux/leveldb,C++,0.954887,5,0,0.132287,1.930233,0.023256,1,21331,0.060569,4,1,1,1,1
purpleKarrot/Fidler,C++,0.803922,1,1,0.221335,42.000000,9.000000,1,3226,0.000000,2,1,1,1,1
hzeller/rfid-access-control,C++,1.000000,1,0,0.166195,54.285713,0.714286,1,6638,0.000000,21,0,1,1,1
cookingclub/polarity,C++,0.872727,6,0,0.028378,32.714287,0.142857,1,6026,0.125592,1,1,1,1,1
vgvassilev/clang,C++,0.915592,29,0,0.296393,600.909119,0.000000,1,919467,0.033036,0,1,1,1,1
ptal/expected,C++,0.888889,3,0,0.119809,15.400000,0.450000,0,8665,0.234780,51,1,1,1,1
eidheim/Simple-WebSocket-Server,C++,1.000000,1,0,0.098490,13.800000,1.200000,1,1288,0.000000,92,0,1,1,1
majidiust/TCS_Sensor,C++,0.966667,1,0,0.030987,6.000000,0.333333,1,8503,0.064480,0,1,1,1,1
emaste/llvm,C++,0.990537,42,0,0.228973,649.298767,0.000000,1,961158,0.039130,0,1,1,1,1
stevenhao/pls,C++,1.000000,2,0,0.057404,18.000000,4.666667,0,1488,0.000000,0,0,1,1,1
yedf/handy,C++,0.900000,1,0,0.035978,6.857143,0.142857,1,3180,0.049852,19,1,1,1,1
ucxpresso/nano51822,C++,0.906863,1,0,0.148642,34.857143,0.142857,1,109013,0.000000,42,0,1,1,1
datamicroscopes/common,C++,0.600000,1,1,0.081390,30.000000,0.555556,1,6369,0.087802,12,1,1,1,1
plaidfluff/whatwesaidwillbe,C++,1.000000,1,0,0.056727,5.285714,1.285714,1,1343,0.000000,0,0,1,1,1
octoblu/alljoyn,C++,0.948027,3,0,0.312442,6.857143,1.285714,1,261735,0.505746,26,1,1,1,1
matrixx/TrulyYours,C++,1.000000,2,0,0.189956,4.428571,0.571429,1,1485,0.000000,3,1,1,1,1
STEllAR-GROUP/miniapps,C++,0.955556,3,0,0.257884,15.500000,1.000000,0,6114,0.000000,2,0,1,1,1
torrentpier/ocelot,C++,0.952381,2,0,0.113987,6.857143,1.857143,1,15670,0.000000,5,1,1,1,1
ua-i2cat/liveMediaStreamer,C++,0.969388,3,0,0.161846,62.272728,3.818182,1,11829,0.029219,10,1,1,1,1
MintcoinCommunity/mintcoin,C++,0.964286,6,0,0.095131,8.230769,0.923077,1,77958,0.063865,6,1,1,1,1
redxdev/shogun,C++,0.882353,1,0,0.013120,11.500000,1.166667,1,5791,0.178196,0,1,1,1,1
flysight/flysight-viewer-qt,C++,0.875000,2,0,0.355602,26.400000,5.200000,1,16250,0.000000,6,1,1,1,1
oneliefleft/nil,C++,1.000000,1,0,0.451007,110.500000,4.000000,1,2434,0.000000,0,0,1,1,1
IJHack/qtpass,C++,1.000000,3,0,0.098061,19.500000,2.375000,1,2775,0.000000,190,1,1,1,1
stellar/stellard,C++,0.898721,3,1,0.251929,191.243896,3.853659,1,470791,0.082536,276,1,1,1,1
vgvassilev/llvm,C++,0.991572,41,0,0.231667,677.299377,0.000000,1,879901,0.038580,0,1,1,1,1
FGRE/libnpengine-new,C++,1.000000,1,0,0.143193,25.400000,1.600000,1,4012,0.000000,15,0,1,1,1
gumb0/cpp-instagram,C++,0.898305,1,0,0.011052,26.000000,0.666667,1,2630,0.043160,3,1,1,1,1
SergNikitin/img_glypher,C++,0.916667,1,0,0.101962,36.666668,4.333333,1,2363,0.070950,0,1,1,1,1
devernay/openfx-supportext,C++,0.827586,2,0,0.140672,29.428572,0.142857,1,12532,0.000000,2,1,1,1,1
jayelliott/money_pit,C++,0.908046,1,0,0.194962,22.142857,0.285714,1,7610,0.163930,0,1,1,1,1
KateAdams/LuaPP,C++,0.666667,3,0,0.022761,4.454545,0.090909,1,1361,0.000000,1,1,1,1,1
gunmetal313/boomerang_decompiler,C++,0.891156,2,0,0.101069,15.837838,0.000000,1,252153,0.620418,1,1,1,1,1
ksperis/node-rados,C++,1.000000,1,0,0.048154,11.857143,2.142857,1,1262,0.000000,15,0,1,1,1
xqwen/fmeqtl,C++,1.000000,2,0,0.074410,9.000000,2.000000,1,4106,0.000000,2,1,1,1,1
oyranos-cms/icc-examin,C++,0.867925,1,0,0.141899,12.547619,0.023810,1,36446,0.012875,3,1,1,1,1
xin3liang/platform_frameworks_rs,C++,0.960526,7,0,0.152657,32.599998,0.000000,1,70691,0.012507,0,1,1,1,1
SEDS/PinPP,C++,0.924528,4,0,0.211253,16.750000,0.062500,1,9729,0.040845,23,1,1,1,1
MiniblockchainProject/Minerd,C++,0.740741,3,0,0.219820,4.204545,0.022727,1,14218,0.068972,0,1,1,1,1
shailensobhee/roofline-plotter,C++,0.962963,3,0,0.143039,16.000000,0.000000,1,10091,0.634926,0,1,1,1,1
lewy20041/xbmc-gotham-libmedia-lewy,C++,0.861452,43,0,0.209138,440.896545,0.000000,1,2297745,0.047479,0,1,1,1,1
td2sk/platform_frameworks_native,C++,0.921109,54,0,0.199087,177.492752,0.000000,1,112084,0.104052,0,1,1,1,1
tumi8/vermont,C++,0.977041,6,0,0.227767,8.736842,0.035088,1,45078,0.031638,33,1,1,1,1
OpenDungeons/OpenDungeons,C++,0.969014,7,0,0.165269,32.902779,8.583333,1,106553,0.079191,65,1,1,1,1
hzeller/gcode-multi-shell-extrude,C++,0.909091,1,0,0.110684,28.333332,0.500000,0,5298,0.097168,15,0,1,1,1
fastbird/fastbirdEngine,C++,0.881235,1,0,0.075971,7.000000,1.000000,1,63145,0.025408,10,1,1,1,1
wdas/ptexutils,C++,1.000000,2,0,0.064909,6.000000,1.500000,1,2838,0.000000,34,1,1,1,1
floyd-m-chitalu/cprintf,C++,0.272727,2,0,0.322632,23.666668,1.777778,0,2366,0.115465,4,1,1,1,1
spiderxl/numxl-sdk-c,C++,0.176471,1,0,0.573171,25.000000,1.000000,0,2305,0.088312,0,0,1,1,1
nlgcoin/guldencoin,C++,0.965409,3,0,0.039518,4.888889,0.444444,1,210140,0.077000,7,1,1,1,1
OtimizationAndControl/SistemasdeControle,C++,0.838235,2,0,0.068585,19.333332,1.111111,0,8520,0.000000,0,0,1,1,1
octopus-prime/hessian,C++,0.534591,1,0,0.190904,110.000000,3.000000,1,4779,0.301804,1,1,1,1,1
xin3liang/platform_ndk,C++,0.926491,11,0,0.162917,54.214287,0.000000,1,775118,0.038650,0,1,1,1,0
Df458/DFEngine,C++,0.921875,1,0,0.011628,14.000000,2.000000,1,7413,0.000000,0,0,1,1,1
Distrotech/libsigcxx2,C++,0.789474,8,0,0.090154,2.936170,0.000000,1,25206,0.691386,0,1,1,1,1
xin3liang/platform_external_libcxx,C++,0.997051,3,0,0.154711,29.384615,0.000000,1,306429,0.962344,0,1,1,1,1
mbroadst/qamqp,C++,0.977273,2,1,0.042884,7.756757,0.621622,1,5692,0.217214,37,1,1,1,1
duilib/duilib,C++,0.472973,2,0,0.086531,5.600000,0.600000,1,63482,0.024183,744,1,1,1,1
pabigot/qcustomplot,C++,0.989011,2,0,0.327018,20.590908,0.136364,1,20431,0.098723,0,1,1,1,1
yusiwen/mpd,C++,0.907649,2,0,0.171326,56.750000,0.000000,1,83593,0.446871,0,1,1,1,1
chetui/libvsf,C++,0.950413,1,0,0.276973,36.000000,1.000000,1,32075,0.207340,1,1,1,1,1
rainers/mago,C++,0.753086,1,0,0.078331,5.574074,0.055556,1,98158,0.015501,8,1,1,1,1
b-adkins/ros_pomdp,C++,0.903226,1,0,0.467186,18.916668,2.166667,1,4853,0.087389,1,1,1,1,1
PaulMWatt/Alchemy,C++,0.666667,1,0,0.324105,19.125000,4.000000,1,17362,0.000000,5,0,1,1,1
CreativeInquiry/digital_art_2014,C++,0.982699,2,0,0.010790,73.500000,0.500000,1,658780,0.000000,50,1,1,1,1
nighelles/Waves,C++,0.880597,1,0,0.014829,160.000000,28.000000,0,6771,0.000000,1,0,1,1,1
alexDarcy/consume-abook,C++,0.500000,2,0,0.063063,12.000000,5.500000,1,418,0.000000,0,1,1,1,1
jungleji/android_frameworks_av,C++,0.844345,13,0,0.287705,56.072464,0.000000,1,459316,0.027299,0,1,1,1,1
jungleji/android_frameworks_native,C++,0.922105,52,0,0.197002,166.478256,0.000000,1,115057,0.101047,0,1,1,1,1
beru/sakura,C++,0.030806,1,0,0.221566,12.666667,5.000000,0,153095,0.000000,0,0,1,1,1
jacksonGross/UniLife,C++,0.851299,4,0,0.301509,71.333336,13.666667,1,424845,0.013433,2,1,1,1,1
tazzledazzle/UW-CSS,C++,1.000000,1,0,0.261254,3.866667,0.333333,1,14208,0.000000,0,0,1,1,1
Sunhick/Dicomkitpp,C++,0.947368,1,1,0.207733,7.800000,0.400000,1,1210,0.000000,1,1,1,1,1
ElephantsGroup/cpp_conversions,C++,0.000000,2,0,0.000000,7.000000,1.000000,1,3,0.000000,0,0,1,1,1
michbr/ray,C++,0.923077,2,0,0.309083,28.500000,0.750000,1,260972,0.003943,2,1,1,1,1
arke-industries/Utilities,C++,0.576923,1,0,0.085273,15.062500,0.062500,1,5978,0.002961,0,1,1,1,1
macro32/wellington,C++,0.938547,1,0,0.071120,74.625000,4.375000,1,39173,0.422367,0,1,1,1,1
myst6re/vincent-tim,C++,1.000000,1,0,0.149041,16.000000,1.333333,1,1961,0.030802,0,1,1,1,1
spillerrec/AnimeRAster,C++,1.000000,1,0,0.204677,12.666667,1.333333,1,6202,0.063018,2,1,1,1,1
ManuelSchneid3r/albert,C++,1.000000,1,0,0.308734,34.714287,2.714286,1,4886,0.000000,563,0,1,1,1
dlarudgus20/IkhWinLib2,C++,0.476562,1,0,0.358014,18.000000,1.000000,1,6725,0.000000,1,0,1,1,1
xin3liang/device_generic_goldfish,C++,0.882759,22,0,0.139318,4.571429,0.000000,1,40481,0.053883,0,1,1,1,1
DraconicEnt/KGE,C++,0.870968,1,0,0.329899,6.500000,0.750000,1,18339,0.011665,0,1,1,1,1
serdmanczyk/GardenSpark,C++,0.857143,2,0,0.182548,2.625000,0.125000,1,9001,0.000000,6,1,1,1,1
katyhuff/MktDrivenInst,C++,0.750000,2,0,0.202050,8.640000,0.200000,1,2182,0.385350,1,1,1,1,1
joshbainbridge/Craft,C++,0.925926,1,0,0.065004,10.166667,0.333333,1,2129,0.000000,0,0,1,1,1
rahulroot/Uva,C++,0.738938,1,0,0.015207,37.250000,7.750000,1,12962,0.000000,0,0,1,1,1
xzero/libxzero,C++,0.962751,1,1,0.191615,58.625000,1.125000,1,32918,0.149551,5,1,1,1,1
dafrito/luacxx,C++,0.977273,1,0,0.115682,19.666668,0.023810,1,21924,0.037525,55,1,1,1,1
SIPp/polycom-sipped,C++,0.811047,4,0,0.235605,14.766667,0.000000,1,141661,0.512283,3,1,1,1,1
TheLastCylon/kiss-smpp,C++,0.705882,1,0,0.159555,5.666667,1.000000,1,2722,0.000000,2,0,1,1,1
PrivacySolutions/i2pd,C++,0.937500,2,0,0.073874,88.812500,4.625000,1,34049,0.017115,302,1,1,1,1
PR2/pr2_gripper_sensor,C++,1.000000,3,0,0.322844,3.625000,0.875000,1,2914,0.000000,0,1,1,1,1
endlessm/xapian-glib,C++,0.804348,2,0,0.330889,24.200001,1.200000,1,5575,0.000000,4,1,1,1,1
leapmotion/autowiring,C++,0.759923,2,1,0.202176,204.913040,20.652174,1,405165,0.061050,96,1,1,1,1
ros-teleop/teleop_twist_joy,C++,1.000000,2,0,0.319838,15.000000,6.000000,1,171,0.000000,8,1,1,1,1
vgough/encfs,C++,0.952381,2,1,0.212332,3.116279,0.825581,1,10442,0.000000,528,1,1,1,1
Yelp/MOE,C++,0.800000,4,1,0.368903,97.500000,12.200000,1,30443,0.000000,700,1,1,1,1
KCL-Planning/VAL,C++,0.976562,3,0,0.138916,3.333333,1.000000,1,49867,0.046173,8,1,1,1,1
nemomobile-graveyard/mcompositor,C++,0.976471,3,0,0.155575,34.325001,0.000000,1,22782,0.346796,0,1,1,1,1
adei-kit/kitcube-tools,C++,0.894640,1,0,0.194857,7.728814,0.067797,1,291020,0.060961,1,1,1,1,1
komby/RFShowControl,C++,0.843750,2,0,0.327879,9.333333,0.250000,1,4256,0.000000,10,1,1,1,1
waTeim/node-julia,C++,0.984848,1,1,0.005386,39.857143,1.142857,1,5981,0.000000,56,1,1,1,1
droidjam/platform_frameworks_native,C++,0.920601,50,0,0.199943,185.671875,0.000000,1,111115,0.104505,0,1,1,1,1
actor-framework/actor-framework,C++,0.960843,3,0,0.267901,52.625000,2.500000,1,33350,0.000000,752,1,1,1,1
zachriggle/ida-splode,C++,0.864407,1,0,0.328158,9.000000,0.500000,1,4815,0.000000,87,0,1,1,1
robotology-playground/mex-wholebodymodel,C++,0.942857,2,0,0.365225,6.750000,2.375000,1,3742,0.000000,2,1,1,1,1
ticapix/pulseview,C++,0.984615,3,0,0.214017,29.392857,0.035714,1,14070,0.304340,0,1,1,1,1
fire/QtCreatorSourceCodeAccess,C++,0.800000,3,0,0.399281,4.428571,0.857143,1,175,0.000000,19,1,1,1,1
kirbyherm/root-r-tools,C++,0.917812,8,0,0.213321,252.736847,0.000000,1,1999670,0.021553,0,1,1,1,1
ddbruce/i2c-controlled-led-driver,C++,0.500000,2,0,0.479167,33.000000,1.000000,1,180,0.000000,0,1,1,1,1
Soomla/soomla-cocos2dx-core,C++,0.814815,2,0,0.253636,17.666668,0.222222,1,3279,0.000000,14,1,1,1,1
servo/skia,C++,0.969847,11,0,0.062730,54.189999,0.160000,1,1263362,0.094453,21,1,1,1,1
UCSD-E4E/BBB_SACP,C++,0.607143,1,0,0.295285,18.250000,0.500000,1,4269,0.186037,0,1,1,1,1
jgarzik/moxiebox,C++,0.800000,1,0,0.110095,20.285713,2.285714,1,2543,0.008484,33,1,1,1,1
servo/rust-azure,C++,0.940789,9,0,0.149071,12.542857,1.742857,1,62390,0.011854,26,1,1,1,1
tomas-rampas/forex-connect-py,C++,0.886364,1,0,0.118366,36.000000,1.000000,1,5061,0.000000,5,0,1,1,1
loikled/linespace,C++,0.958333,2,0,0.221210,24.000000,11.000000,1,23080,0.000000,0,1,1,1,1
MediaArea/MediaInfoLib,C++,0.921277,1,0,0.138646,53.093021,0.046512,1,186192,0.000000,17,0,1,1,1
qtproject/qtwebchannel,C++,0.933333,3,0,0.318915,4.558140,0.023256,1,3928,0.264561,5,1,1,1,1
denkhaus/bitsharesx,C++,0.974359,6,1,0.012844,694.000000,0.000000,1,276930,0.141775,0,1,1,1,1
qmlc/qtdeclarative,C++,0.722911,49,0,0.267734,129.960785,0.313725,1,550034,0.301202,7,1,1,1,1
moneymanagerex/wxSqlitePlus,C++,0.984127,1,1,0.132305,22.250000,3.750000,1,32074,0.000000,9,1,1,1,1
fagg/matlab-zmq,C++,0.626667,2,0,0.179600,21.166668,4.666667,1,4176,0.000000,2,1,1,1,1
robotology-playground/codyco-isir,C++,1.000000,3,0,0.243990,13.000000,0.125000,1,1534,0.000000,1,1,1,1,1
RobertLuptonTheGood/afw,C++,0.969101,11,0,0.289900,41.232876,0.000000,1,68051,0.074991,1,1,1,1,1
MarcosAlfonso/Realtime-Rendering,C++,0.953488,1,0,0.370519,16.333332,13.666667,1,3600,0.000000,4,0,1,1,1
SapphireAgate/android_platform_frameworks_native,C++,0.917004,14,0,0.205255,7.420290,0.000000,1,112441,0.131552,0,1,1,1,1
gentryx/libgeodecomp,C++,0.959528,1,0,0.069083,44.386364,0.068182,1,94612,0.024905,5,1,1,1,1
versatran01/bluefox2,C++,0.842105,1,1,0.574322,63.000000,1.500000,0,13667,0.000000,4,0,1,1,1
playgameservices/cpp-android-basic-samples,C++,0.936275,4,0,0.196010,2.900000,0.400000,1,32776,0.104875,40,1,1,1,1
phantom-code/airwave,C++,0.962963,1,0,0.184642,25.000000,3.500000,1,5349,0.000000,62,0,1,1,1
davidsheffield/HcalClosureTest,C++,0.850000,1,0,0.107560,26.833332,0.500000,0,4909,0.226117,0,0,1,1,1
LastProject/LastEngine,C++,0.872340,1,0,0.060264,7.571429,1.000000,1,2417,0.000000,3,0,1,1,1
jarrah-95/TOCpp,C++,0.857143,1,0,0.055690,31.000000,1.000000,1,1580,0.000000,1,0,1,1,1
pauldb89/OxLM,C++,0.969140,3,0,0.242392,25.608696,0.086957,1,230689,0.239068,20,1,1,1,1
robotology-playground/kdl_codyco,C++,0.965517,1,1,0.289070,11.850000,0.150000,0,8449,0.127358,2,0,1,1,1
qmlc/qmlc,C++,0.850962,3,0,0.151886,21.375000,4.125000,1,55576,0.004228,81,1,1,1,1
robotology/codyco-modules,C++,0.959184,6,1,0.275546,90.583336,2.750000,1,95944,0.049655,9,1,1,1,1
starschema/virtdb-fdw,C++,0.833333,2,0,0.055801,24.125000,4.500000,1,1751,0.309307,5,1,1,1,1
Project-OSRM/osrm-backend,C++,0.932530,2,1,0.174242,94.125000,6.839286,1,66648,0.420024,1070,1,1,1,1
Kurento/kms-elements,C++,0.494118,3,0,0.090994,13.128205,0.025641,1,29125,0.016426,13,1,1,1,1
yb-kim/osSim,C++,0.893939,1,0,0.205313,7.000000,0.500000,1,5760,0.000000,0,0,1,1,1
powertab/powertabeditor,C++,0.983114,1,1,0.229321,31.784313,3.372549,1,53037,0.072877,84,1,1,1,1
bbatton/Unified-Epoch-Project,C++,0.142857,1,0,0.027047,13.714286,2.571429,1,1500,0.000000,2,0,1,1,1
embeddist/WIZ_Ethernet_Lib_IDE1.5.7,C++,0.916667,1,0,0.253123,5.000000,1.000000,1,4398,0.000000,3,0,1,1,1
gtorrent/gtorrent-gtk,C++,1.000000,5,1,0.087532,222.666672,36.666668,1,6389,0.000000,31,1,1,1,1
manuelreif/PP,C++,1.000000,1,0,0.283474,98.000000,1.000000,1,2891,0.000000,1,0,1,1,1
openuasl/openuasl-server,C++,0.821429,2,0,0.033913,58.000000,6.000000,0,1111,0.000000,2,0,1,1,1
TEAM-Gummy/android_device_oppo_msm8974-common,C++,0.765625,3,0,0.375625,48.166668,0.666667,1,23712,0.000000,0,1,1,1,1
Spirit-Blood/frameworks_av,C++,0.854791,21,0,0.289523,71.337349,0.000000,1,447748,0.026909,0,1,1,1,1
notlion/Cinder-NanoVG,C++,0.714286,1,0,0.049960,7.777778,0.777778,1,1182,0.000000,30,0,1,1,1
tgreener/MOG1-GameServer,C++,0.979592,1,0,0.076141,25.000000,5.500000,0,3782,0.000000,0,0,1,1,1
mirandaconrado/task-distribution,C++,0.954545,1,0,0.186782,95.000000,0.500000,1,1700,0.000000,0,0,1,1,1
PartyAtDansRadio/PadRadio,C++,1.000000,1,0,0.236721,3.428571,2.428571,1,1981,0.000000,1,0,1,1,1
buckyoung/CS1567,C++,0.687500,1,0,0.223034,17.333332,2.333333,0,17168,0.000000,0,0,1,1,1
jimbo00000/KinectWithOpenGL,C++,0.714286,1,0,0.107765,9.000000,0.500000,1,2368,0.000000,1,0,1,1,1
Ybalrid/OculusSDK,C++,0.953020,1,0,0.168381,3.000000,1.000000,1,53766,0.033989,0,1,1,1,1
overwolf/simple-io-plugin,C++,0.966667,2,0,0.157919,2.571429,0.428571,1,1939,0.000000,0,1,1,1,1
IgorMakarenko/Algorithms,C++,0.235294,2,0,0.182306,6.400000,0.000000,1,2425,0.549644,0,1,1,1,1
jmc-88/tint3,C++,0.955556,4,0,0.123631,8.604938,0.049383,1,8963,0.000000,3,1,1,1,1
robotology-playground/kdl_format_io,C++,0.942857,2,1,0.069939,6.100000,0.050000,1,26941,0.908491,0,1,1,1,1
SGL-UT/GPSTk,C++,0.954698,14,0,0.353645,37.131313,0.020202,1,214699,0.000000,19,1,1,1,1
Spirit-Blood/frameworks_native,C++,0.922105,49,0,0.196906,161.176468,0.000000,1,115154,0.100992,0,1,1,1,1
lambdafu/grakopp,C++,0.888889,1,1,0.116192,73.000000,1.000000,1,2616,0.276882,9,1,1,1,1
highfidelity/StackManagerQt,C++,1.000000,4,0,0.096374,16.750000,3.875000,1,1912,0.000000,4,1,1,1,1
eswick/clang-logos,C++,0.932775,24,0,0.295754,571.857117,0.000000,1,803503,0.028300,14,1,1,1,1
petcomputacaoufrgs/hidracpp,C++,1.000000,4,0,0.063021,19.375000,1.000000,0,3433,0.000000,0,0,1,1,1
pfultz2/Fit,C++,0.697368,1,1,0.258120,28.875000,1.125000,0,5493,0.465318,265,0,1,1,1
maelvalais/supervclimso,C++,0.739130,1,0,0.208719,49.000000,16.000000,1,30947,0.000000,0,0,1,1,1
iihe-cms-sw/IIHETree,C++,0.952381,1,0,0.060049,12.000000,3.000000,0,5324,0.000000,0,0,1,1,1
Olster/ModServer,C++,0.906250,2,0,0.229700,4.727273,0.000000,1,92743,0.683864,0,1,1,1,1
MoKee/android_hardware_qcom_media-legacy-old,C++,0.569444,21,0,0.165857,2.204082,0.020408,1,49961,0.089170,0,1,1,1,1
Metaswitch/clearwater-app-servers,C++,1.000000,3,0,0.523329,33.000000,8.000000,1,378,0.621693,0,1,1,1,1
sialan-labs/limoo,C++,0.957143,1,0,0.147582,8.333333,1.000000,1,17856,0.000000,13,0,1,1,1
tjhei/deal.II,C++,0.827790,6,0,0.243502,126.768845,0.000000,1,1348037,0.174422,0,1,1,1,1
jhodapp/av,C++,0.850924,15,0,0.293196,75.159416,0.000000,1,438103,0.027548,0,1,1,1,1
BBN-Q/libaps2,C++,0.969697,3,0,0.292974,14.734694,0.428571,1,6238,0.000000,1,1,1,1,1
ThomasLengeling/KinectPV2,C++,0.000000,1,0,0.218189,17.625000,1.625000,1,11789,0.000000,93,0,1,1,1
jgh-/VideoCore,C++,0.867647,2,0,0.196489,34.083332,7.250000,1,7692,0.000000,515,1,1,1,1
LRN/gst-avsynth,C++,0.882353,3,0,0.241756,29.000000,0.000000,1,6393,0.732078,5,1,1,1,1
VruiVTK/VolumeViewer,C++,1.000000,2,0,0.216496,8.000000,0.833333,1,6891,0.000000,0,1,1,1,1
marbl/parsnp,C++,0.915842,1,1,0.121089,9.250000,0.875000,1,77912,0.013521,8,1,1,1,1
02JanDal/LogicalGui,C++,0.900000,1,1,0.270500,7.000000,0.400000,1,814,0.307568,0,1,1,1,1
facebook/thpp,C++,0.900000,2,0,0.189751,2.500000,0.500000,1,2272,0.159341,140,1,1,1,1
stack-of-tasks/eigenpy,C++,0.652174,1,0,0.140465,6.333333,0.666667,1,1614,0.000000,2,0,1,1,1
