repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
jgrowl/webrtc,C++,0.936846,44,0,0.168234,176.866669,0.000000,1,653278,0.147944,0,1,1,1,1
SwissTPH/openmalaria,C++,0.962406,1,1,0.089145,20.799999,0.400000,1,140635,0.014474,11,1,1,1,1
rohitgirdhar-cmu-experimental/caffe-3dobjdet,C++,0.966667,6,1,0.200561,147.833328,0.000000,1,60553,0.685543,0,1,1,1,1
holger-seelig/titania,C++,0.243730,1,0,0.282245,72.137932,0.379310,1,275088,0.009945,3,1,1,1,1
multitheftauto/mtasa-blue,C++,0.909539,8,0,0.243719,106.157898,0.065789,1,1426659,0.114259,126,1,1,1,1
dmlc/cxxnet,C++,0.986301,2,0,0.161488,23.000000,3.636364,1,11619,0.000000,1013,1,1,1,1
flvi0/RHaPSODIES,C++,1.000000,1,0,0.191281,12.142857,0.357143,1,3268,0.000000,0,0,1,1,1
simulationcraft/simc,C++,0.948529,25,0,0.118299,259.938263,0.000000,1,187918,0.000000,53,1,1,1,0
FFTEAM/FFTEAM-MP3-Martii,C++,0.873061,10,0,0.124693,87.920631,0.000000,1,212980,0.009918,0,1,1,1,0
plv8/plv8,C++,1.000000,3,1,0.112604,2.941176,0.029412,1,4817,0.000000,242,1,1,1,1
PPCDroid/external-astl,C++,0.625000,2,0,0.167232,16.000000,0.000000,1,1782,0.721187,0,1,1,1,1
flagage/volleyclubstats,C++,0.326733,2,0,0.172979,5.500000,2.583333,1,17890,0.000000,1,1,1,1,1
StephenAOSP/device_moto_shamu,C++,0.779661,15,0,0.217555,21.600000,0.000000,1,107936,0.065225,0,1,1,1,1
TeXworks/texworks,C++,0.963855,1,0,0.024802,7.250000,1.450000,1,238044,0.000000,44,0,1,1,1
Chilledheart/crashpad,C++,0.860963,2,0,0.287878,54.142857,0.000000,1,40344,0.463615,0,1,1,1,1
AOSP-Nexus/android_device_lge_mako,C++,0.519481,31,0,0.110685,37.939396,0.000000,1,78905,0.397075,2,1,1,1,1
Bionus/imgbrd-grabber,C++,1.000000,1,1,0.047549,4.137931,0.137931,1,40352,0.000000,78,1,1,1,1
SOKP/external_skia,C++,0.974610,14,0,0.061797,126.693069,0.000000,1,1210600,0.099002,0,1,1,1,1
omnirom-mt6589/android_frameworks_native,C++,0.915751,9,0,0.151338,7.692308,0.000000,1,189593,0.116415,0,1,1,1,1
Wolfgange3311999/Mine-DS,C++,0.934426,3,0,0.052131,13.250000,0.500000,1,3195,0.000000,5,1,1,1,1
qextserialport/qextserialport,C++,0.965517,3,0,0.258842,2.073770,1.516393,1,3555,0.000000,37,0,1,1,1
devsisters/goquic,C++,1.000000,2,0,0.120478,92.000000,1.000000,1,3167,0.000000,299,1,1,1,1
WheretIB/nullc,C++,0.759494,2,0,0.057840,4.482759,0.017241,1,96678,0.099039,6,1,1,1,1
purine/purine2,C++,0.990741,1,0,0.075311,100.000000,7.000000,1,16291,0.482586,235,1,1,1,1
OpenZWave/open-zwave,C++,0.960699,2,0,0.253639,26.600000,6.600000,1,59719,0.034623,170,1,1,1,1
sippet/webrtc,C++,0.930099,36,0,0.162504,130.392853,0.000000,1,557519,0.191251,0,1,1,1,1
sippet/talk,C++,0.900943,19,0,0.197653,62.849998,0.000000,1,103884,0.000943,0,1,1,1,0
