davetcoleman/rviz_visual_tools
tarosuke/RWM
zhanxw/rvtests
Reactive-Extensions/RxCpp
exg/rxvt-unicode
daniele-orlando/rz
wKich/s-orbit
bcdev/s3-synergy
s3fs-fuse/s3fs-fuse
AlexDM0/s4u
tomyri/Sabas
Saccubus/Saccubus
actnet/saedb
safeapp/safe
quesnel/safihr
kingsfordgroup/sailfish
steffen-foerster/sailfish-barcode
sailfishos/sailfish-browser
jetty840/Sailfish-G3Firmware
jetty840/Sailfish-MightyBoardFirmware
sailfish-sdk/sailfish-qtcreator
skvark/SailKino
fk-lx/SailshotMe
hvellyr/sairy
steinwurf/sak
jhellrung/sake
beru/sakura
ptrv/SaM-Designer
GregoryFaust/samblaster
portown/same
Zeex/samp-plugin-jit
Zeex/samp-plugin-profiler
udan11/samp-plugin-sql
maddinat0r/samp-streamer
samp-incognito/samp-streamer-plugin
maddinat0r/samp-tsconnector
Zeex/sampgdk
Lapayo/SAMPHP
polyhex-sampling/sampler
contradict/SampleReturn
zaixingmao/samples-plots
m1ari/Sandals
JXS2012/sandbox
gnu-sandhi/sandhi
Sandshroud/Sandshroud
sandstorm-io/sandstorm
Sankore/Sankore-3.1
lukemetz/Sapling
HEROES-GSFC/SAS
Metaswitch/sas-client
devttys0/sasquatch
mgreter/sass2scss
benlabs/sassena
pbrunet/satueur
SaturnSDK/Saturn-SDK-IDE
phs/sauce
sauerbraten-fork/sauerbraten-fork
jhu-dvrk/sawIntuitiveResearchKit
matzke1/sawyer
garlick/sbig-util
bcohen/sbpl_manipulation
nerdling/SBSAT
asidhu/sbu-igvc-2014
sansumbrella/sc-Choreograph
supercollider/sc3-plugins
bra-ket/Scacchiera
scafacos/scafacos
scalegraph/scalegraph
scalien/scaliendb
scantailor/scantailor
OpenSCAP/scap-workbench
openpreserve/scape-xcorrsound
ComputationalRadiationPhysics/scatteralloc
gnzlbg/scattered
strasdat/ScaViSLAM
rosskidson/ScaViSLAM_ros
ricortiz/SCCD
laosunhust/SceCells
davidgraeff/scenecontrol
Mathieu-Geisert/SceneViewer
Alalf/SCFF-DirectShow-Filter
jrl-umi3218/sch-core
jrl-umi3218/sch-visualization
benni0815/SchafKopf
IMPOMEZIA/schat
vnaydionov/schedule-mami
Lirrec/SchiffbruchEngine
chrislu/schism
BLesnau/school
ipa320/schunk_modular_robotics
fzi-forschungszentrum-informatik/schunk_svh_driver
ethz-asl/Schweizer-Messer
SCIInstitute/SCI-Solver_FEM
nourani/ScientificQuantities
scifio/scifio-imageio
scim-im/scim
stefanv/scipy3
SCIInstitute/SCIRun
strands-project/scitos_drivers
OSSIA/Score
