carlosbollero/Laberinto
d3roch4/LabEstoque
SCIEG/LabRetriever
meshula/LabSound
labust/labust-ros-pkg
udp/lacewing
shendurelab/LACHESIS
arsf/lag
aeheathc/LaharPlot
vitormota/LAIG-2013-2014
AndreaOrru/LaiNES
lama-imr/lama_utilities
LamaUrbain/LamaMobile
boostorg/lambda
Sandern/lambdawars
lordmulder/LameXP
Hirato/lamiae
lammps/lammps
ludamad/lanarts
tranvictor/landlord
CerberusDev/LandscapeEditor
MichaelSp/Langunator
loreglean/lantern
miquelramirez/LAPKT-public
lasvegasrc/Las-Vegas-Reconstruction
ros-perception/laser_filters
ros-perception/laser_geometry
Lasercake/Lasercake
rdnelson/lasm
LASvalidator/LASread
Georacer/last_letter
LastProject/LastEngine
LASzip/LASzip
blumu/latexdaemon
LatiumCoin/Latium
ioquake/launch
scalability-llnl/LaunchMON
Nevcairiel/lavfilters
verma/laz-perf
Squirtle/lazy-newb-pack-qt
lazychords/lazychords-lib
matthiasvegh/LazyIterator
JHoldener/lc3sim
lessmoon/lcc
Inria-Asclepios/LCC-LogDemons
riuson/lcd-image-converter
kohler/lcdf-typetools
lcm-proj/lcm
jhu-lcsr/lcsr_controllers
happycube/ld-decode
hij1nx/ldb
micnews/ldbcmp
nathanpc/leafIRC
szchkt/leaklog
fredericgermain/LeakTracer
leodemoura/lean
madinka/learn
Learn-Algorithm/Learn-Algorithm
salpeev/LearnGL2
rpelger1004/Learning
ledger/ledger
0xd34df00d/leechcraft
ziyeqinghan/leetcode
kunth/Leetcode
linyvxiang/leetcode-me
metacpp/LeetCpp
vladkrylov/LeetechParallel
pimms/legendofstealth
StanfordLegion/legion
maximaximal/legui
Singular/LELA
noam-io/lemma-qt
miguelchavez/lemonpos
Mystler/Lemuria
reikonakajima/Lensing
islog/leosac
praveenster/leplib
martinmoene/lest
YasserAsmi/lev
hjwdzh/level-set
zeux/leveldb
hf/leveldb-android
wmorgan/leveldb-ruby
logicchains/Levgen-Parallel-Benchmarks
jasn/lexer_generator
BenHanson/lexertl
radekludacka/lfc-analyzer
nicopauss/LFLL
hfinkel/lfort
ALSchwalm/lfpAlloc
lavv17/lftp
weritos666/LG_Optimus_L7II_CyanogenMod_11
Sude-/lgogdownloader
umanovskis/lgp-decrypto
ibab/lhcb-merge-event
skimmy/lib-bio
danielf/lib-puc-icpc
accphys-collab/lib-tracy
googlei18n/libaddressinput
dzidzitop/libafc
