iagui005/CS179F-Threads
lilott8/CS220_Final
brrcrites/CS220_Framework
johnsogg/cs2270
basheersubei/CS251
shubhamjain0594/CS296_Project
udacity/cs344
CerebralStorm/CS3505
robz/CS354R-Project2
n8armstrong/cs3600
danieljordan10/cs371p-darwin-tests
SUMDude21/cs378-assignment_2
davsuss/CS3824
rsacksteder/CS383Project
g-jackson/cs4098
jhawz/cs420-project
vancezuo/cs473-vision
mshafae/CS484SampleCode
bmitzel/cs486asgt2
ksundberg/CS5500
ksundberg/CS6300
vsrz/CS699
netinept/CSC-525-Computer-Graphics
GSDan/CSCGAMES2013
bvlundberg/csci
srios8/CSCI-21-SPRING-2014
iangray001/cse120-xmas
zhtlancer/cse502-prj
rigelgjomemo/csfv
bitbouncer/csi-kafka
mercviper/CSLabs
jihwankim/CSM
hirokiu/csn_raspi
jimloco/Csocket
cpalone/csolve
Adjective-Object/cSpectrum
mattibickel/csql
certik/csympy
tjwoon/csZBar
fruit-bat/ct-mame4allSdl2
Riouken/cTab
TRIQS/cthyb
commontk/CTK
ampas/CTL
evilncrazy/ctoml
gapchan89/CTPico
Metalab/ctrl-cut
RomanKubiak/ctrlr
V02460/CTT
correlllab/cu-droplet
correlllab/cu-droplet-sim
saivan/CubeSat
cjcliffe/CubicSDR
sean-dougherty/cuda-edu
dubzzz/cuda-mathmodule-for-python
gravitino/cudadtw
ArchaeaSoftware/cudahandbook
EasonLiao/CudaTree
CueMol/cuemol2
cole-trapnell-lab/cufflinks
matt-42/cuimg
kflog-project/Cumulus
torch/cunn
Ultimaker/CuraEngine
deeplearningais/curfil
cloderic/curi
JosephP91/curlcpp
groxar/curoy
McMasterGameDesignAssociation/CurrentVersion
vashman/curses_stream
mvpete/cursive
patriciogonzalezvivo/cursoOF
mtytel/cursynth
PetterS/curve_extraction
cusplibrary/cusplibrary
kenshinthebattosai/customBotConsole
zdawson/cuTAES
Kosta-Github/cute
cutechess/cutechess
amarchen/CuteContacts-iOS
cloose/CuteMarkEd
nemomobile/cutes
rpetersburg/CutFlow-RP
Kreogist/Cuties
torch/cutorch
systemics/cuttlefish
deeplearningais/CUV
OTL/cv_camera
simwah/cv_wasteland_chernarus
CVC4/CVC4
puku0x/cvdrone
Eun/CWebSocket
Vision4UAV/cvg_ardrone2_ibvs
takamin/cvImagePipeline
epoyraz/CVL
U-MA/cvrp
cwrucutter/cwrucutter_core
DjLysy/CvStereo
tum-uav/cvt_ros
steinwurf/cxx-gauge
