ccoffing/OcherBook
orocos-toolchain/ocl
jrprice/oclgrind
oclint/oclint
sithhell/oclm
antimatter15/ocrad.js
wanderwaltz/OCSquirrel
js-ojus/oct
Faerbit/octo-avenger
GRIS-UdeM/Octogris
OctoMap/octomap
aarnt/octopi
OTL/oculus
Instrument/oculus-bridge
ands/OculusMeetsAR
andreasmuller/OculusRiftWorkshop2014
jherico/OculusSDK
parasti/OculusSDK-MinGW
guybarnahum/ocv
blackberry/OData-BB10
OData/odatacpp-client
Dienert/oddci
boostorg/odeint
headmyshoulder/odeint-v2
mirror/odin
undertheapi/OdinZ80
Opendigitalradio/ODR-DabMod
Opendigitalradio/ODR-DabMux
OctaForge/OF-Engine
oftc/oftc-ircd
Virako/ofw
nariakiiwatani/ofxAE
ofTheo/ofxAppGLFWWindowMulti
admsyn/ofxAudioUnit
kylemcdonald/ofxBlackmagic
vanderlin/ofxBox2d
underdoeg/ofxBoxModel
satoruhiga/ofxBt
NickHardeman/ofxBullet
Bryce-Summers/ofxButterfly
ofZach/ofxCef
kylemcdonald/ofxCv
elliotwoods/ofxDigitalEmulsion
kikko/ofxEmbree
kylemcdonald/ofxFaceTracker
underdoeg/ofxFenster
patriciogonzalezvivo/ofxFX
lumoslabs/ofxGeneric
satoruhiga/ofxGwen
bakercp/ofxHTTP
patriciogonzalezvivo/ofxInteractiveSurface
bakercp/ofxIO
bakercp/ofxJSONRPC
joshuajnoble/ofxKinectCommonBridge
elliotwoods/ofxKinectForWindows2
benMcChesney/ofxKinectSDK_FaceTracking
tado/ofxLiquidFun
themaw/ofxLivedrawEngine
danomatika/ofxLua
danomatika/ofxMidi
memo/ofxMSAOpenCL
morethanlogic/ofxMtlMapping2D
charlesveasey/ofxMultiGLFWWindow
obviousjim/ofxOculusDK2
andreasmuller/ofxOculusRift
gameoverhack/ofxOpenNI
kr15h/ofxPiMapper
arturoc/ofxPlaymodes
neilmendoza/ofxPostProcessing
patriciogonzalezvivo/ofxPTAMM
sosolimited/ofxSoso
SoylentGraham/ofxSoylent
kikko/ofxSpine
TonicAudio/ofxTonic
obviousjim/ofxTriangle
rezaali/ofxUI
tangrams/ofxVectorTile
elliotwoods/ofxXimea
OpenGamma/OG-Maths
ogdf/ogdf
FirstTimeInForever/ogl_win
wchristian/ogldev
matus-chochlik/oglplus
actian-geospatial/ogr-ingres
dvbuntu/ogre
duststorm/OgreCrowd
TUW-GEO/OGRSpatialRef3D
ufz/ogs
boltonli/ohbee
blackducksw/ohloh_api
mucbuc/ohm
google/ohmu
openhome/ohNet
openhome/ohNetGenerated
openhome/ohSongcast
OHSystem/ohsystem
gyf1214/OI
OpenImageIO/oiio
quyse/oil
dsw/oink-stack
