gorillabuilderz/gb-arduino-libs
shonumi/gbe-plus
NewbiZ/gbemu
gcblue/gcblue
Pala4/gCellV0
stolenjs/gcfinal
gameclosure/gcif
Gonger96/GCL
avasyukov/gcm-3d
hzeller/gcode-multi-shell-extrude
bdoin/GCompris-qt
ElwingGit/GCW0_REminiscence
4ian/GD
4ian/GD-Extensions
victorlevasseur/GD-Widgets-Extension
OSGeo/gdal
aashish24/gdal-svn
DavidPH/GDCC
boxerab/GDCM
robly18/GDD
zhengxwen/gdsfmt
finnstr/gdx-liquidfun-extension
libgdx/gdx-realsense
BuffBuff/GE-Architecture
LaTruelle/Geac
cms-externals/geant4
coryb/gearbox
drhelius/Gearboy
ampl/gecode
PeterTh/gedosato
dannyvai/geekconX-2014
GameEngineKoblenz/GeKo
umlaeute/Gem
jsturdy/gem-daq-code
gem5/gem5
gem-sw/GEMCode
Metaswitch/gemini
gemrb/gemrb
UIUCSinhaLab/GEMSTAT
linzj/gen-trace
Tibonium/GENeCIS
cutepig123/GeneralUtility
Traumflug/Generation_7_Electronics
PySide/Generatorrunner
incmve/generic-rfbox
foobar27/generic_format
flo2k/GenericExpressInstanceParser
Gooseguy/GeneticEvolution
wiped1/GeneticPainter
addictgamer/GEngine
apreiml/genieutils
genn-team/genn
realmonster/Gens-Atlas
OSLL/geo2tag
otherlab/geode
kateyy/geohazardvis
amvtek/GeoHealpix
kuno/GeoIP
tue-robotics/geolib2
sfotis/geom
ros-planning/geometric_shapes
ros/geometry
ros/geometry_experimental
toi333/GeometryLib
dfm/george
Kaldie/GeRoBot
rdumitriu/geryon
tranfuga25s/gestotux
getdnsapi/getdns-node
collin80/GEVCU
bschwind/gfk
cmkuo/ggAnalysis
rstudio/ggcomp
uysalere/ggks-multiSelect
luksamuk/ggsc
ghost-kit/GHOST
jadhachem/ghost-wanderer
monocasual/giada
UncleSniper/giasm
gideros/giderosplugins
cripplet/giga
hydroponica/gil
manisandro/gImageReader
matlo/GIMX
auxten/gingko
marbl/gingr
matthewhanson/gippy
feldkamp/giraffe
liuml07/giri
egeorg/gist-prototype
AGWA/git-crypt
morgantegigante/git-er-done
gavinp/git.webkit.org
i-am-l/GithubProductBacklog
lheric/GitlHEVCAnalyzer
syureyi/gitTest
qba10/GjeTeA
endlessm/gjs
jacobsa/gjstest
GKIFreiburg/gki_navigation
