geodynamics/pylith
pmneila/PyMaxflow
epiasini/pymuvr
diffpy/pyobjcryst
jmendeth/PyOpenNI
osmcode/pyosmium
plasm-language/pyplasm
Mindwerks/pyplatec
jaredks/pyprimesieve
bluemellophone/pyrf
victor-gil-sepulveda/pyRMSD
PySide/PySide
cmr/pyspades
dropbox/pyston
bro/pysubnettree
eamsen/pythia
boostorg/python
alextsui05/python-console
tpeng/python-crfsuite
pyqt/python-qt5
phensley/python-smhasher
catsop/python-sopnet
EducationalTestingService/python-zpar
blankwall/Python_Pin
openx/python3-protobuf
Orochimarufan/PythonQt
huqinghua/pyui4win
tpetmanson/pyvabamorf
mugwort-rc/pyXerces
mkoppanen/pzq
timbaker/pzworlded
Normo/Q2_QuickQuizzer
fer-rum/q2d
q4m/q4m
brezerk/q4wine
nu774/qaac
mbroadst/qamqp
fuCtor/QAMQP
legnaleurc/qbtd
sladage/qca
qcad/qcad
mhogomchungu/qCheckGMail
codestation/qcma
MrPoxipol/qcodedesk
stolowski/QComicBook
Iryaz/QComTerminal
bavc/qctools
pabigot/qcustomplot
aparent/QCViewer
wang-bin/qdevicewatcher
joudinet/qdftgraph
open-eid/qdigidoc
jlaine/qdjango
usqcd-software/qdpxx
uranusjr/Qelly
open-eid/qesteidutil
mgsxx/QEverCloud
qextserialport/qextserialport
jpec/Qfacture
SeregaGomen/QFEM
opengisch/QField
ethz-asl/qgc_asl
opengisch/QGIS-Mobile
pzorin/qgo
Bradbev/qgrep
mavlink/qgroundcontrol
lagner/QGumboParser
hzeroo/QHBot
Dax89/QHexEdit
azadkuh/qhttp
qhyccd-lzr/QHYCCD_Linux
easymodo/qimgv
flavio/qjson
mcallegari/qlcplus
cptG/qling
Hyperz/qLiveStreamer
candycode/qlua
chris5287/QMapControl
pmauduit/QMapfileEditor
DrLabman/QMB
royvegard/qmidiarp
qml-box2d/qml-box2d
marxoft/qml-browser
grassator/qml-commonjs
schulzch/qml-ogdf
qmlc/qmlc
nemomobile/qmlmail
nemomobile/qmlmusicplayer
nemomobile/qmlpinquery
Swordfish90/qmltermwidget
bobo1993324/qmlTrojita
zaps166/QMPlay2
qmule/qmule
QNapi/qnapi
genpfault/qndview
pasnox/qodeedit
pbek/QOwnNotes
qpdf/qpdf
Kampfgnom/QPersistence
cajus/qpid-cpp-debian
