kripken/box2d.js
digital-phoenix/Boxing-Amoeba
enlight/boxteroids
Frank112/BP38Ergonomie
BPanther/bpanther-neutrino-mp
ashamin/Bpde
canboat/BR24radar_pi
adobe/brackets-app
crosswalk-project/brackets-crosswalk
adobe/brackets-shell
sebjameswml/brahms
UWB-Biocomputing/BrainGrid
robvanoostenrijk/BrcmPatchRAM
wdas/brdf
twitter/BreakoutDetection
primiano/breakpad
BrewPi/brewpi-avr
maximweb/brewslave
brian-team/brian2genn
KnowSheet/Bricks
chaabaj/BricksVM
suokko/BridgeClock
bright-dev/bright
Henne/Bright-Eyes
FlanFlanagan/Bright-lite
Atom/brightray
theJ8910/Brimstone
bro/bro
google/brotli
AXR/browser
shotgunsoftware/browser-plugin
isis-project/BrowserAdapter
isis-project/BrowserServer
tagged/bruce
sutaa12/BrushToothGame
wITTus/Brute-Force-Game-Engine
vtyulb/BSA-Analytics
pkok/bsc-pga
TheBB/BSGUI
libretro/bsnes-libretro
libretro/bsnes-libretro-cplusplus98
libretro/bsnes-mercury
jbenet/bson-cpp
holland01/bspviewer
vzaccaria/bsvc-2.1-macosx
lubyk/bt
samuelhj/BTAP_MCU-2014-01
BTAS/BTAS
Fynx/BTech
pgiitu/BTech-Project-Robot-Localization-
Biomechanical-ToolKit/BTKCore
kzahel/btlauncher
cms-bph/BToKMuMu
cms-bph/BToKstarMuMu
JeffersonLab/BubbleEx
DanNixon/BubbleScopeCL
bubi-luka/BubiLink
bubi-luka/BubiRacun
leag37/BuffaloEngine
celeron55/buildat
buildgen/buildgen
mgian/bulbcalculator
jaredhoberock/bulk
blackberry/Bullet
onedayitwillmake/BulletHaven
hojonathanho/bulletsim
thirtythreeforty/bullycpp
bundy-dns/bundy
rmohr/burg
DeKugelschieber/BurningByte
rkburnside/BURNOUT
izvolov/burst
eklavyamirani/BusinessCardReader
rbei-etas/busmaster
spenap/butaca
nemomobile/buteo-mtp
nemomobile/buteo-sync-plugins
nemomobile/buteo-sync-plugins-social
nemomobile/buteo-syncfw
nemomobile/buteo-syncml
Boberito25/ButlerBot
ruohoruotsi/Butterworth-Filter-Design
Dgzt/buttonfootball
utexas-bwi/bwi_guidance
sjbiwa/bwos
ir0n1e/BWplus
nicolaprezza/BWTIL
bkaradzic/bx
losalamos/Byfl
ofb/c
DerMichiDa/c-1415
netarc/c-arel
ivan-uskov/C-labs
AIRLab-POLIMI/C-SLAM
udoprog/c10t
rpav/c2ffi
c2s/C2Serve
dberg/c4
etcenter/C4
mfirmin/c5sc
