rorywalsh/cabbage
christopherpoole/CachedParameterisation
kempj/cacpp
falkTX/Cadence
modsim/CADET
dalerank/caesaria-game
DolbyLaboratories/caf-platform-frameworks-av
Yangqing/caffe
rohitgirdhar-cmu-experimental/caffe-3dobjdet
chyh1990/caffe-compact
yunmingzhang17/caffe-opt
sunkaianna/caffe-win64
happynear/caffe-windows
terrychenism/caffe-windows-cudnn
joeppereira/caffe_1367
rohitgirdhar/Caffe_DepthRegression
sanjeev87/CaffeDissimilarityProject
ruipimenta/caffetransposedinnerproductlayer
rhdunn/cainteoir-engine
rhdunn/cainteoir-gtk
MutantStargoat/calacirya
calaos/calaos_base
calaos/calaos_installer
calband/calchart
Flick1/Calculator
Lowess/Calculatrice
adiknoth/calf
Calibri-Software/Calibri-Library
Grauniad/Call-Graph-Viewer
jbenden/call-rating
nemomobile-packages/calligra
harshitamistry/calligraRepository
kenrobbins/caltrain_runner
CalVR/calvr
CalVR/calvr_plugins
ros-drivers/camera1394
Josh-Larson/CameraBoardAPI
Dorregaray/camerahal
maelvalais/cameroa
goord/Camgen
hengli/camodocal
tegesoft/camp
cvra/can-bootloader
safetydank/canabalt-bluegin
karelklic/canal
canboat/canboat
CANBus-Triple/CANBus-Triple
MattDeanMPhys/Cancer
indutny/candor
djyt/cannonball
jmarshall/cansam
staropram/cantcoap
Cantera/cantera
mscdex/cap
jonigata/caper
sandstorm-io/capnproto
dwrensha/capnproto-java
google/capsicum-test
quandtm/Capstone
portown/capture
lazerwalker/capybara-touch
r0mai/car-game
slimek/Caramel
condo4/carbudget
card-io/card.io-dmz
card-io/card.io-iOS-source
CardiacImagingCharite/CardiacPerfusion
jackolney/CareCascade
pycage/cargodock
WPI-RAIL/carl_moveit
WPI-RAIL/carl_safety
falkTX/Carla
bazald/carli
graehl/carmel
yudjin87/carousel
ikolesov/CarreraSlice
lrmcfarland/CartesianSpace
9miao/CartoonHouse
InfoAG/CAS-Netzwerk
casadi/casadi
weicao/cascadb
blackberry/Cascades-Community-Samples
blackberry/Cascades-Samples
tech-team/case-finder
kripken/cashew
jetimms/cashflow
brownie/cashlib
Bioconductor-mirror/casper
spatial-computing/CASPER
FellowshipOfTheGame/Castella
CastXML/CastXML
Whales/Cataclysm
TheDarklingWolf/Cataclysm-DDA
Whales/Cataclysm2
Naios/CataclysmScripts
Softcatala/Catalanitzador
philsquared/Catch
SeanCline/CatchVsTestAdapter
tokjun/CatheterMatchRegistration
shadowcomer/CatLing
