smealum/SPACECRAFT
freundlich/spacegameengine
bzar/spacerocks
NightCreature/SpaceSim
NoxHarmonium/spacestationkeeper
jorisv/SpaceVecAlg
nbarriga/sparcraft
m-mcgowan/spark-flashee-eeprom
ptroja/spark-navigation
firmread/spark-OF-UDP
synox/spark-transport-display
technobly/SparkCore-SD
madsci1016/Sparkfun-MP3-Player-Shield-Arduino-Library
Sparkiy/sparkiy-client
torarnv/sparsebundlefs
alberthdev/spasm-ng
kbatoev/SpbSU-Homeworks
gabime/spdlog
romanbsd/spdy
ppwwyyxx/speaker-recognition
mtop/speciesgeocoder
npotts/SpectralSignalHound
hanzz/spectrum
gibsjose/Spectrum
zeehio/speech-tools
speedcrunch/SpeedCrunch
noisymime/speeduino
matemat13/Spektrograf
mweschler/SPEng
NIRALUser/SPHARM-PDM
sphere-group/sphere
thunderbug1/Spherebot-Host-GUI
zerovm/sphinx-port
zkl/spider
surevine/spiffing
PetterS/spii
spikegpu/SpikeLibrary
kshyatt/Spin-Models-on-GPU
EsotericSoftware/spine-runtimes
SpineML/SpineCreator
juanprietob/SPINEUtilsCxx
boostorg/spirit
djowel/spirit_x3
hobu/spiritcsv
strymon/spl
fabric-engine/SpliceAPI
fabric-engine/SpliceMaya
fabric-engine/SpliceSoftimage
fabric-engine/SpliceStandalone
ebertolazzi/Splines
klaus-steiner/SplotsVideoRecorder
localz/Spotz-iOS-Examples
leadedge/Spout2
spring/spring
kfc35/SpringDB
renemilk/springlobby
tizbac/SpringMapConvNG
rszimm/sprinklers_pi
andyjost/Sprite-3
nguyenduong/spritebuilder_cocos2dx
frank-y-liu/SPRNT
Kitware/sprokit
Metaswitch/sprout
bolero-MURAKAMI/Sprout
r9y9/SPTK
andremedeiros/spyglass
hyrise/sql-parser
bskari/sqlassie
KDAB/sqlate
larroy/sqlite3pp
bingmann/sqlplot-tools
rbock/sqlpp11
matthijs/sqlpp11-connector-postgresql
rbock/sqlpp11-connector-sqlite3
OHDSI/SQLRender
mosling/SQLReport
webyog/sqlyog-community
Squadron6/Squad604
jonigata/squall
Tkachov/Square
blackball/SquaredCirclePattern
felakuti4life/squeakEngine
mauroc/squiddio_pi
jsalvado/SQuIDS
pfalcon/squirrel-lang
shadow-robot/sr-contrib
shadow-robot/sr-ros-interface
shadow-robot/sr-ros-interface-ethercat
shadow-robot/sr-taco
shadow-robot/sr-teleop
shadow-robot/sr_ur_arm
HL2-Ghosting-Team/src
jp90/srcParallel
hglm/sre
dreal/SReach
ipa320/srs_public
oscjohnson/SSAO
bmerry/ssbench
Youka/SSBRenderer
ideawu/ssdb
