cms-ttH/BEAN
j-jorge/bear
hasherezade/bearparser
vinniefalco/Beast
bechu/BeBlob
arq5x/bedtools
arq5x/bedtools2
apitronics/Bee
tonercloud/beertent
jonathon-love/BEESTS
libretro/beetle-bsnes-libretro
libretro/beetle-gba-libretro
libretro/beetle-lynx-libretro
libretro/beetle-ngp-libretro
libretro/beetle-pce-fast-libretro
libretro/beetle-pcfx-libretro
libretro/beetle-psx-libretro
libretro/beetle-supergrafx-libretro
libretro/beetle-vb-libretro
libretro/beetle-wswan-libretro
kemerelab/BehavioralVideo
champson/beignet
roa/beliskner_client
bempp/bempp
joelgwebber/bench2d
google/benchmark
StratusLab/benchmarks
hyrise/bencho
ricortiz/Bender-SOFA
SamVerschueren/beRail
PawelLyskawinski/bernkastel
tapir-dream/berserkJS
ofloveandhate/bertini_real
stransky/berusky2
blackberry/BES10-Cascades
HaikuArchives/BeSpider
AntonBikineev/bessel-derivatives
bigfix/bfarchive
kn65op/BFIOCL
mkurdej/bft
BaiduCC/BGCC
skooter500/BGE
bkaradzic/bgfx
andrewssobral/bgslibrary
eddelbuettel/bh
ddast/bibf
karlkleinpaste/biblesync
louiz/biboumi
joefutrelle/bic
karlmoritz/bicvm
bigartm/bigartm
char-lie/bigint
bigmc/bigmc
kaneplusplus/bigmemory
hadley/bigvis
mpadge/bike-correlations
microcai/bilibili_player
thp/billboard
bstock92/BilliardBuddy
zer0main/bin_game_mvc
HaronK/BinaryDigger
ManiacalLabs/BinaryEpochClock
boostorg/bind
Distrotech/bind10
vikstrous/binder_full_of_elves
binspector/binspector
gt1/biobambam
tankorsmash/BiochRL
BioFoV/BioFoV
hadzim/BioFW
TheCoSMoCompany/biopredyn
sdsc/biotools-roll
biotracking/biotrack
agronick/BIR
jimmiebergmann/Bit-Engine
SijmenHuizenga/BitBot
minium/bitcoin-api-cpp
laanwj/bitcoin-qt
sipa/bitcoin-seeder
etotheipi/BitcoinArmory
bitcoinxt/bitcoinxt
mrk21/bitfield
rawler/bithorde
bitleu/bitleu
Neozaru/bitmonero-qt
arq5x/bits
Ziftr/bitshares
denkhaus/bitsharesx
bitstar/bitstar
ignatz/bitter
nicola-gigante/bitvector
bkchain/bkchaind
junggang/blackbags
DarthTon/Blackbone
mckelley3v/BlackBox
timrwood/blackcat
3Hren/blackhole
luigi1015/BlackJackStrategy
adhishm/blackout
Blackvoxel/Blackvoxel
