BlueDragon747/Blakecoin
tbeu/Blat
mbedmicro/BLE_API
zhanggyb/BlendInt
latufla/BLight
Tw1ddle/Blind-Crossword-3D
dstockwell/blink
crosswalk-project/blink-crosswalk
Modanung/blipnblup
bobfeldbauer/blitz
blizzlikegroup/blizzlikecore
paperManu/blobserver
sirnfs/BlockBasedMotionEstimation
m-bra/Blocks
bmteam/blowmorph
b-steiner/blubbengine2
bluecherrydvr/bluecherry-client
Ritaja/BlueCompiler
versatran01/bluefox2
locusf/bluewhale
lu-zero/bmdtools
HaikuArchives/Bme
xunchangguo/BMX
BNUACM/bnuoj-backend
BNUACM/bnuoj-vjudge
wuan/bo-tracker
kokole/bo2_gsc_reader_v2
idiap/bob
bioidiap/bob.blitz
bioidiap/bob.core
bioidiap/bob.ip.base
bioidiap/bob.ip.flandmark
bioidiap/bob.ip.optflow.hornschunck
bioidiap/bob.learn.activation
bioidiap/bob.learn.boosting
bioidiap/bob.learn.em
bioidiap/bob.learn.libsvm
bioidiap/bob.learn.linear
bioidiap/bob.learn.mlp
kaorut/bobura
ousnius/BodySlide-and-Outfit-Studio
soraphis/Boids-MPI
Lokidottir/boiled-plates
BOINC/boinc
HSA-Libraries/Bolt
Bombermaaan-R/bombermaaan-r
ten-forward/bomberman
teamBICYCLE/Bomberman
CPI4Admin/BomberMan
hogliux/bomutils
Microsoft/bond
u-n-k-n-o-w-n/BonDriverProxy_Linux
PhoenixClub/bones
bongger-project/bongger
michaelcontento/bono
treecode/Bonsai
barthez/book-recognition-with-surf
cryptozoidberg/boolberry
typemytype/booleanOperations
k06a/boolinq
Boomaga/boomaga
pmatos/boomerang
gunmetal313/boomerang_decompiler
spillerrec/BooruSurfer2
svn2github/boost
blackberry/Boost
Manu343726/boost-biicode
toonetown/boost-ext
olk/boost-fiber
alexrj/Boost-Geometry-Utils
muit/Boost-Mangos
alexanderkjeldaas/boost-mirror
halex2005/boost-nowide
Klumhru/boost-python-bullet
Neverlord/boost.actor
BoostGSoC13/boost.afio
retf/Boost.Application
apolukhin/Boost.DLL
BoostGSoC14/boost.http
ndarray/Boost.NumPy
bytemaster/Boost.RPC
ignatz/boost_mongo
ryppl/Boost2Git
dculibrk/boosted_pooling
dai1975/BootesDances
bittorrent/bootstrap-dht
onyx-intl/booxsdk
hirishh/BorzoCoin
bosch-ros-pkg/bosch_drivers
boss-developers/boss
shumatech/BOSSA
espacee/BossBrawl
randombit/botan
ane-community/botan-crypto-ane
citic/botNeumann
bottlecaps-foundation/bottlecaps
bendudson/BOUT
BenLangmead/bowtie2
robrix/Box
blackberry/Box2D
