ufoai/ufoai
gardoll/ufreasi
uspgamedev/ugdk
sriemer/ugtrain
themoos/ui-moos
northwoodspd/uia
dpjudas/uicore
andschwa/uidaho-cs472-project2
andschwa/uidaho-cs472-project3
adrianomelo/uihelpers
cchriste/uintah
felixhekhorn/UiO-FYS4411
meng-han/uiucBioSensor
sfwa/ukf
pnlbwh/ukftractography
m1ari/UKHASnet-bot
UKHASnet/UKHASnet_Firmware
elenasa/ULAM
L3Robot/ulavalSFM
stefanocasazza/ULib
tilal6991/Ultimate-Download-Manager
esnme/ultramemcache
erget/UltraPilot
Ultraschall/Ultraschall-Hub
Francis1993Z/UltraShooter
andremussche/UltraVncAsDll
ros-drivers/um6
Elv13/Umbrello-ng2
vladimir-ch/umeshu
octopuscabbage/UMKC_Summer_Robot_2014
vt4a2h/uml-tool
tklab-tud/umundo
mistic100/UMWP-Autochanger
officinerobotiche/uNav_PID_Tuner
gnramos/UnB-SCR
rpereyra14/UNC-Waves
updatenode/unclient
bengardner/uncrustify
ayebear/undeadmmo
campreilly/UnderSeaModelingLibrary
uji-ros-pkg/underwater_simulation
Kolyunya/Unet
gkovacs/unetbootin
russjr08/Unexpected-Crab
miun/ungraph
kuyur/unicue
bbatton/Unified-Epoch-Project
jacksonGross/UniLife
it-workshop/UniSched
oswjk/unitmaster
boostorg/units
mnmlstc/unittest
MorleyDev/UnitTest11
Manuzor/UnitTestFramework
SmartStepGroup/UnitTestingCpp
PokemonNXT/Unity
hamaxx/unity-2d-for-xmonad
guilhermeanselmo2/Universales
Jacob843/Universe
ProjectUniversityCoin/UniversityCoin
david-sabata/UniversityRacer
boostorg/unordered
jerrun/Unreal4
harmattan/unrestricted-system-ui
langelog/untitled
ponchio/untrunc
landr0id/Up
3breadt/UPB-ADT-Automata-Tools
Intrepid/upc2c
coreos/update_engine
updraft/updraft
David-Hanna/UPEIGame
jotaraul/upgmpp
wghost/UPKUtils
Uplimg/Uplimg
intel-iot-devkit/upm
medoc92/upmpdcli
DronMDF/upp11
medoc92/upplay
uProxy/uproxy-obfuscators
ursine-paw/upSL
ginuerzh/uqq
DanNixon/UrabeVocalSynth
synthicity/urbanaccess
aldebaran/urbi
dubotics/urc2014
ros/urdfdom
bobo1993324/uReader
glynos/uri
Ironholds/urltools
UniversityRadioYork/ury-playd
felis/USB_Host_Shield_2.0
jackun/USBqemu-wheel
usc-clmc/usc-clmc-ros-pkg
uscauv/uscauv-ros-pkg
tklab-tud/uscxml
GiacomoSguazzoni/usercode
sixie/UserCode
okdevdo/UserLib
chaosmailorg/UserManagementBackend
