rdfhdt/hdt-cpp
jasonbarnes/he
Davidbrcz/header-expander
r-lyeh/heal
emeryberger/Heap-Layers
wittenbe/Hearthstone-Image-Recognition
intimates/heartlink
UbiquitousComputingSS14/HeartRateMonitor
CapnBry/HeaterMeter
neilogd/HecticGameJam3Game
tu-darmstadt-ros-pkg/hector_gazebo
tu-darmstadt-ros-pkg/hector_localization
tu-darmstadt-ros-pkg/hector_navigation
tu-darmstadt-ros-pkg/hector_quadrotor
tu-darmstadt-ros-pkg/hector_slam
Heeks/heekscad
Heeks/heekscnc
waddlesplash/Heidi
UCSD-AUVSI/Heimdall
shaih/HElib
GaloisInc/helib-demos
Tuqz/helion
HelioScan/HelioScan
HeliumProject/Helium
helium/helium-arduino
nemomobile/heliumreborn
BlueBrain/Hello
splhack/Hello-LWF-Cocos2d-x
splhack/Hello-LWF-UIKit
kareth/helloworldopen2014
hellox-project/HelloX_Kernel
pepperouni/Helper
harrism/hemi
HephaestusVision/hephaestus
herbstluftwm/herbstluftwm
hpfem/hermes
Deuchnord/Hermes
hpfem/hermes-examples
hpfem/hermes-legacy
hpfem/hermes-python
hpfem/hermes-tutorial
octopus-prime/hessian
wchan/HestonCUDA
ilyakorsunsky/heuristics2012
XimingCheng/HEVCAnalyzer
HexaMonkey/hexamonkey
Nocte-/hexanoise
TingPing/hexchat-javascript
strobejb/HexEdit
hobu/hexer
amonchakai/HFRBlack
KnuthLohse/HFTStuttgartProg3
amonchakai/Hg10
facebook/hhvm
chregu/hhvm-newrelic-ext
PocketRent/hhvm-pgsql
highinit/hiaux
kkapsner/hiddenMarkovModel
petcomputacaoufrgs/hidracpp
highfidelity/hifi
ctrlaltdavid/hifi-cas
cms-analysis/HiggsAnalysis-CombinedLimit
h2gglobe/HiggsTo2photons
florianhauer/HighDimMSP
cms-tau-pog/HighPtTau_539
hakase-labs/hikari
hillstoneUnited/hillstoneUnited
teragonaudio/HiLoFilter
HipGISAXS/HipGISAXS
r3dunlop/HiPPOGRIFF
jart/hiptext
redis/hiredis-node
griffinmilsap/hitest
Hiwr/hiwr_opencv_detector
Matherunner/hl-test
HSAFoundation/HLC-HSAIL-Development-LLVM
deejayy/hlds-v8
EdgeCast/hlo
aras-p/hlsl2glslfork
Liron88/HM-16.2
jakobkroeker/HMAC
hMailServer/hMailServer
jeromerobert/hmat-oss
psenna/HMAX_C
beniz/hmdp
cshimmin/hmet-fit
goinvo/hMixer
commonsmachinery/hmsearch
lcferrum/hmtsu
emeryberger/Hoard
Crypto-Expert/HoboNickels
sivaramambikasaran/HODLR
HeimdallTeam/Hoe3D
babcca/hole
otherlab/hollow
fhunleth/hollowcore-h264
BinaryAnalysisPlatform/holmes
gnzlbg/hom3
xzfantom/homebrewery
Homer-Conferencing/Homer-Conferencing
