hmeyer/dcmtk
commontk/DCMTK
r4d2/dcpu-cc
Zardoz89/dcpu_vm
hakuch/Dcpu16Universe
dekz/dcrypt
dcs-bios/dcs-bios-arduino-library
NeckbeardedLoser/dcss-detumblrfied
twig/dcxdll
adhishm/dd2d_Matryoshka
unc-compgeom/DDAD
digitaldestructo/DDConvexHull
dds-bridge/dds
adobe/dds2atf
LiquidityC/deadgaem
malakdecaen/DeadNation
tjhei/deal.II
teamMadScientist/DeathCurtain_prototype
weberr13/DeathKnell
ghorn/debian-coinor-ipopt
jspricke/debian-openni
atuleu/debian-openni2
percona/debian-percona-galera-3
percona/debian-percona-server-5.6
vzaccaria/debug.hxx
djeedjay/DebugViewPP
multiworldtesting/decision
cogniteam/decision_making
skyhover/Deckard
unknownworlds/decoda
linuxdeepin/deepin-boot-maker
Naios/DeepshjirRepack
jolyonb/deevolve
nitram2342/degate
Kazade/delimit
tobiasrausch/delly
delphes/delphes
jaylawhorn/delphes-dihiggs
wangyanxing/Demi3D
csgo-data/demoinfogo-linux
marblar/demon
veltzer/demos-linux
eldridgejm/denali
tjhladish/dengue
amiraa127/Dense_HODLR
start-jsk/denso
cyang1/depixelize
neovim/deps
vikaspachdha/der_artikel
AlexShafranov/derplanner
bintrue/design-patterns-play
deskvox/deskvox
encukou/desmume
libretro/desmume-libretro
opencog/destin
Desura/desura-app
lindenlab/desura-cef1
Desura/Desurium
rmjarvis/deswl_shapelets
clseitz/DesyAnalysis
desysusy/DesySusy
GRIFFINCollaboration/detectorSimulations
Grauniad/dev_tools
simplerr/Devbox
vcappello/deved
joshpeterson/DevelopingConcurrentSoftware
irkit/device
CandyKat/device_asus_flo
matthiasvp/device_flo
mozilla-b2g/device_generic_goldfish
Chad0989/device_htc_vigor
VanirAOSP/device_lge_g3-common
ronasimi/device_lge_gee-common
SlimRoms/device_lge_geeb
Rlasalle15/device_lge_hammerhead
AICP/device_lge_hammerheadcaf
BytecodeMe/device_lge_mako
matthiasvp/device_mako
The-Ancile-Project/device_moto_shamu
CandyDevices/device_motorola_shamu
Cpasjuste/device_nvidia_s8515
SlimRoms/device_samsung_aries-common
SlimRoms/device_samsung_d2lte
SlimRoms/device_samsung_hlte
Root-Box/device_samsung_i9100
Root-Box/device_samsung_jf-common
VanirAOSP/device_sony_qcom-common
devicehive/devicehive-cpp
m-mizutani/devourer
devsim/devsim
Pinenats/dex
frenchjam/DexSourceCode
mifki/df-twbt
mifki/df-webfort
Df458/DFEngine
quietust/dfhack-40d
cpraveen/dflo
eddieaili/dfs
utwente-fmt/dftcalc
csteifel/dgal
