DGtal-team/DGtal
kerautret/DGtal-forIPOL
kerautret/DGtal0.6-ForIPOL
DGtal-team/DGtalTools
iangodin/dhcpdb
sit/dht
krzysztof-jusiak/di
ros/diagnostics
hiroMTB/dial_composer
team-diana/diana-messenger
tomaszmrugalski/dibbler
Sunhick/Dicomkitpp
haibinpark/DictionaryOnline
zenithzephyr/didftp
dixx/Die_Chroniken_eines_namenlosen_Spiels
emeryberger/DieHard
SuperScope/Dieseland
vslavik/diff-pdf
osherson/diffmo
diffr/diffr-c
Twinside/DiffTimeline
kelsieflynn/digia-qt
digistump/DigiFi
CreativeInquiry/digital_art_2014
CiaranDeasy/diglett_cave
ptomulik/dimbo
crondaemon/dines
AlexandrShestakov/Dione
teq85/dip_term_ocr
FreeCX/diploma
faebser/DiplomPlanets
fsecilia/dipstick
berkus/dir_monitor
H-uru/dirtsand
maciek-slon/DisCODe
MaratMir/DiskArcher-backup-utility
Microsoft/diskspd
rbewley4/dispatcher
TACC/DisplayCluster
c42f/displaz
DeDiS/Dissent
mblsha/dist-clang
DISTORTEC/distortos
DISTRHO/DISTRHO-Ports
Ne88ie/Diverse_Keyword_Extraction
diyiot-tools/DIYiotSketch
tau0/djvu-manifest
tau0/djvu.js
jerome-quere/djyayo
jamescoxon/dl-fldigi
CriDos/DLLCollector_recode
OpenSecurityResearch/dllinjector
stulp/dmpbbo
g1257/dmrgpp
zhchbin/DN
eggplantbren/DNest3
gatoravi/DNG_dev
automatak/dnp3
Zeeee/DNS-replication
MikeL83/Doc-Scanner
Sasurai/Dodge
pgarnaut/dodgy_hacks
ChuangTseu/DogeGL
lijie/dogrun3
Tomcc/dojo
Tomcc/dojo2D
l-korous/dolfin-windows
mirror/dolphin-emu
waddlesplash/DolphinQt
SoarGroup/Domains-DiceiOS
wisec/DOMinator
contactless/domoticz
mgsg/domoticz-sonos-plugin
AlbericTrancart/doom
raynorpat/Doom3
TTimo/doom3.gpl
cybercatalyst/dooropener
timstephens/Dorbot
libretro/dosbox-libretro
Henne/dosbox-svn
joncampbell123/dosbox-x
r-lyeh/dot
gplessis/dotdeb-nginx
amaork/douban_read_notes_to_markdown
bos/double-conversion
BSVino/DoubleAction
leonardo2d/douml
DownloadMii/DownloadMii
dail8859/DoxyIt
falkTX/DPF
01org/dptf
xshi/dqm
muupan/dqn-in-the-caffe
benlau/dquest
dracolinux/DracoPKG
wojtex/dragon
DragonBones/DragonBonesCPP
dragonfly-msg/dragonfly
phoboz/dragonscurse
roa/dramaqueen
