kami-/admiral
tfiner/adobe_asl
fnordware/AdobeOgg
GeReV/adonit_linux
mihaescu/ADS
AchimTuran/adsp.template
andrewdavidsmith/adssrc
WuMRC/advanced-imaging
schuylerdaddy/AdvancedOS_Shell
clnznr/advancedprogramming
klay2000/ADVENTURE-2
alexmalkov/adventure-game
enjalot/adventures_in_opencl
NetjerDjehuty/AdvGfx
Railstars/Aegaeon
tgoyne/aegisub
Aegisub/Aegisub
AeroQuad/AeroQuad
aerospike/aerospike-client-nodejs
ams2378/aes_core
xilabs/Aether
HenrikBengtsson/affxparser
KaiEkkrin/afk
Arthmoor/AFKMud
LSST/afw
jaredhoberock/agency
jackburton79/agent
Menooker/AgentGo
tanjeff/agentXcpp
aschroeder/agge
nicholascgilpin/AggieSnap_28
philiphubbard/Agl
KoffeinFlummi/AGM
mce35/agocontrol
hpfem/agros2d
vikiboy/AGV_Localization
HotKeyIt/ahkdll
darydou/ahmi
SmirnoffYM/AI-simulator
Svalorzen/AI-Toolbox
mikeswanson/Ai2Canvas
AbiWord/aiksaurus
mrquincle/aim_modules
hamidr/AIMA-CPP
maxperiod/aiongrindmeter
accesio/AIOUSB
benkuper/AIR-NativeExtensions
carson/airconvision
airdcnano/airdcnano
Sheph/airforce
airdcpp/airgit
phantom-code/airwave
AIUR-group/AIUR
merovingien/AIWar
alexiswolfish/AiVDJ
interactive-matter/aJson
davidok8/AKAZE
eigengo/akka-patterns
kolab-groupware/akonadi
akumuli/Akumuli
alacarte-maps/alacarte
alamatic/alamatic
gahansen/Albany
ManuelSchneid3r/albert
PaulMWatt/Alchemy
HeimdallTeam/Alcominance
jottinger/alcyone
patrickdemond/Alder
keithw/alfalfa
nattee/algo-class
TiloW/algo-engi
boostorg/algorithm
codelegend/algorithm-compiler
mrts/algorithm-utils-cpp
Mystelven/algorithmeGraphique
vteromero/algorithms
IgorMakarenko/Algorithms
Ra1nWarden/Algorithms_And_Data_Structures
matheussampaio/algoritmos-avancados
Ingener74/Algoritms-Patterns-Tests
PoolC/algospot
ikicha/AlgoStudy
carpe-noctem-cassel/alica
AliceStats/Alice
AliceO2Group/AliceO2
glenfe/align
ldmt-muri/alignment-with-openfst
shaldoney/Alkoool
Factoid/alleg-core
AllegianceZone/Allegiance
rlam1/Allegro_pong
octoblu/alljoyn
bachp/alljoyn_core
FelixPetriconi/AllocatorBuilder
ManiacalLabs/AllPixel
robotpy/allwpilib
chenall/ALMRun
ComputationalRadiationPhysics/alpaka
ras0219/alphacomplex
kartorz/alphadict
