sjewo/readstata13
julianadenauer/readytocloud
mikael-s-persson/ReaK
jupacaza/real-mad-vision
ckormanyos/real-time-cpp
RealOpInsightLabs/realopinsight-workstation
MarcosAlfonso/Realtime-Rendering
google/REAPER
weary/reass
masagroup/recastdetour
memononen/recastnavigation
chenshuo/recipes
RecklessGame/RecklessRally
cms-btv-pog/RecoBTag-PerformanceMeasurements
BaiGang/recomm_engine
bwrsandman/ReconStruct
kronometrix/recording
Henry23/RecordsManagementSystem
steinwurf/recycle
junkumar/redbase
wallix/redemption
arcnexus/RedFoX
KDr2/redis-leveldb
luca3m/redis3m
nekipelov/redisclient
antmat/rediscpp
uglide/RedisDesktopManager
fizixx/redmon
hmartiro/redox
hmm34/reducto
pal-robotics/reem_teleop
kuri-kustar/reemc_hri_interaction
reenigne/reenigne
xrhstosdion/refeus_executable
lolisa/reflection
p3/regal
boostorg/regex
kpdyer/regex2dfa
navrkald/regularConvertor
axnjaxn/ReiTrei
coreperf/rejit
Naronco/Rekd-Engine
ehmeth/rekrutacja_kuznia
prclibo/relative-pose-estimation
LibXenonProject/REminiscene
JeffersonLab/remoll
JeffersonLab/remoll_solid
HaikuArchives/RemoteControl
rgriege/RemoteRenderer
robertmaynard/Remus
keithw/remy
Shimmen/Rendeer
Mortis69/rendera
bjandras/Renderer
GSORF/renderfarm
PADrend/Rendering
5-second-rule/rendering-framework
DavidBrainard/RenderToolbox3
owensss/renkou
yankrasny/Repair-Partitioning
karuiwu/reparse
repetier/Repetier-Firmware
luc-github/Repetier-Firmware-0.92
rescrv/Replicant
yoshinorim/replication-booster-for-mysql
named-data/repo-ng
chrisvana/repobuild
fedorov/Reporting
timschmidt/repsnapper
goeb/reqflow
HorstBaerbel/res2h
rtepowers/RESC
shuLhan/rescached
hartmannw/Research
resiprocate/resiprocate
iocenter/ResOpt
LB--/resplunk
mrtazz/restclient-cpp
logandk/restful_mapper
dmitriyha/RetardedGame
znac049/retro-emulator
Kekun/retro-gobject
Themaister/RetroArch-Phoenix
GadgetFactory/RetroCade_Synth
pizzasgood/retrovol
revbayes/revbayes
frenchie4111/Reverse-Javadoc
brucelane/reymenta-mixnmap
gcanitezer/RF24Mesh
maniacbug/RF24Network
RFD-FHEM/RFDuino
miguelbalboa/rfid
hzeller/rfid-access-control
celtab/rfidmonitor
PaoloBoi/rfirst-csecond
JackKelly/rfm_edf_ecomanager
komby/RFShowControl
david-matheson/rftk
noelwarr/rgal
youtalk/rgbd-grabber
