AndSt/MolSim
niklasgerdt/MOM4HFT
WellDone/MoMo-Firmware
kouretes/Monas
MonaSolutions/MonaServer
jayelliott/money_pit
mrgt/MongeAmpere
zzdhidden/mongo
newkedison/mongo-cpp-driver
bobek/mongo-debian
mongodb/mongo-snippets
neloe/MongoDB-Cpp
mongofill/mongofill-hhvm
zalf-lsa/monica
esseks/monicelli
darklukee/Monitor
cryporchild/monitoRecast
sethwalsh/Monitoring-Client
yahoo/monitr
fernandotcl/monkeys-audio
micahpearlman/MonkVG
Jojendersie/Monolith
vhwanger/monolithic_pr2_planner
aoop-monopoly/monopoly
BlackBags/MonsterScramble
Kavignon/MontrealGameJam-SoulCrusher
andystanton/moomin
archSeer/moon
r-lyeh/moon9
coslyk/moonplayer
jcmoyer/moonstorm
horn-point-lab/moos-ivp-hpl
tewalds/morat
mozy/mordor
activata/Morphasynth
morphlingdev/Morphling
ufal/morphodita
kargm/morse_ros
ericgopak/Mortal-Coil
wanpinglee/MOSAIK
mbedded-ninja/MOsal
moses-smt/mosesdecoder
keithw/mosh
SwampWalker/MosquitoTensor
matter123/mossy2
mothur/mothur
ccera/motica2D
korroktheslavemaster/motion-simulation
MJRule/MotionProject
MST-MRDT/Motor-Controller
evil0sheep/motorcar
boostorg/move
ros-planning/moveit_advanced
ros-planning/moveit_core
ros-planning/moveit_ikfast
ros-planning/moveit_planners
ros-planning/moveit_pr2
ros-planning/moveit_ros
ros-planning/moveit_setup_assistant
davetcoleman/moveit_simple_grasps
movie-project/movie-project
mandel-macaque/movie-tracker
thuetz/movieJoiner
jgarzik/moxiebox
mozart/mozart2
jrmuizel/mozilla-cvs-history
TechSmith/mp4v2
cheidegg/MPAF
aldebaran/mpc-walkgen
sl0th/mpd
lintweaker/mpd-dsd-018
slayoo/mpdata
mz2/MPGestures
boostorg/mpi
m-lab/mping
milossosic/mpio
boostorg/mpl
ldionne/mpl11
sabel83/mpllibs
ValeevGroup/mpqc
kohler/mprpc
pocketmoon/MPU-6050-Arduino-Micro-Head-Tracker
ty4tw/MQTT-SN
hugosantos/mrd6
nasa-gibs/mrf
adamgreen/mri
mroonga/mroonga
jlblancoc/mrpt
mrpt-ros-pkg/mrpt_navigation
jdtournier/mrtrix3
jasmarc/mRVM
coderforlife/ms-compress
stimulant/MS-Cube-SDK
urinieto/msaf
pfac/msc-cuda
rambs/MScPack
r0m30/msed
msgpack/msgpack-c
leafbird/msgpack_wrapper
tqchen/mshadow
