Darksshades/QtMapBuilder
kibsoft/QtMEL
NpoSaut/QtMon
nemomobile-packages/qtmozembed
webOS-ports/qtmultimedia
mariokonrad/qtnavigator
Ri0n/QtNote
Hackeridze/Qtnp
micku7zu/QtOneFM
aportale/qtouchandlearn
tux3/qTox
IJHack/qtpass
qtproject/qtpim
bzar/qtpndman
zhanlangsir/Qtqq
qtproject/qtquick1
qtproject/qtquickcontrols
nemomobile/qtquickcontrols-nemo
cablelabs/QtRUIBrowser
mer-hybris/qtscenegraph-adaptation
Distrotech/qtscript
mer-packages/qtsensors
qtproject/qtserialport
falkTX/qtsixa
mer-packages/qtsvg
qtproject/qtsystems
mer-packages/qttools
Speedy37/QtUpdateSystem
ntanibata/qtwayland
qtproject/qtwebchannel
cisco-open-source/qtwebdriver
qtproject/qtwebengine
qtproject/qtwebkit
Nava2/QtWebService
antlafarge/QtWebsocket
qtproject/qtwebsockets
minimoog/QTweetLib
TheOpenDevProject/QTwitchBot
WizzerWorks/QtVp
EmbodiedCognition/QtVR
dbzhang800/QtXlsxWriter
qtproject/qtxmlpatterns
sifteo/qtxupdate
RandyGaul/qu3e
quackle/quackle
germancarrillo/quad
celabtud/QUAD
proftom/QuadCopter
vjaunet/QUADCOPTER
PSU-AVT/QuadLLFC
quadra-game/quadra
DaikiMaekawa/quadrotor_navigation
xoolive/quadtree
sampsyo/quala
sofian/qualia
mikelima/quandoparte
QuantBox/QuantBox_XAPI
timflutre/quantgen
lballabio/quantlib
L4D15/Quantum-Engine
quantum-os/quantum-shell
amarini/QuarkGluonTagger
INdT/Quasi-Engine
quassel/quassel
sandsmark/quassel-web
MOBle/Quaternions
quazaa-development-team/quazaa
sans-sense/queralyzer
jinmei/queryperfpp
weberr13/QueueNado
piotrdz/queues
t2m-foxfone/quic_lf_b2g_mozilla-b2g_gonk-misc
fvacek/quickbox
dicksonleong/Quickddit
hilarycheng/quickios
feelpp/quickstart
pcolby/quickview
nemomobile/quillmetadata
laserson/quince
uliss/quneiform
LorenzMeier/qupgrade
QupZilla/qupzilla
QupZilla/qupzilla-plugins
hlamer/qutepart
euroelessar/qutim
bobo1993324/qvbam
mhaller/qwebdavlib
sintegrial/qwtplot3d
xiangzhai/qwx
kcris/qxAdm
gamenet/qxmpp
qbasicer/qzdl
JeffreyRacine/R-Package-crs
matthewnourse/r17
esteve/r2d2-nxt
sumotoy/RA8875
mashiro/rabbit
jonyrock/RabbitDemo
KangLin/rabbitim
tqchen/rabit
