schwehr/libais
aldebaran/libalmath
rubdos/libap2p
cdaylward/libappc
BBN-Q/libaps2
Hanmac/libarchive-ruby
Ultimaker/libArcus
Heeks/libarea
jksrecko/libaria
libattic/libattic
libavg/libavg
sgvandijk/libbats
libbi/LibBi
AMDmi3/libbinbuf
TheMarex/libbipedal
libbitcoin/libbitcoin-blockchain
libbitcoin/libbitcoin-client
libbitcoin/libbitcoin-explorer
libbitcoin/libbitcoin-node
libbitcoin/libbitcoin-protocol
libbitcoin/libbitcoin-server
libbitcoin/libbitcoin_client
libbitcoin/libbitcoin_explorer
libbitcoin/libbitcoin_server
nemomobile/libbluez-qt
yamamushi/libbmwrapper
thomas-huet/libbpg
jasongorski/libbpg-xcode
Dorregaray/libcamera2
fclaude/libcds
fclaude/libcds2
Pulse-Eight/libcec
bramp/libcec-daemon
wavesoft/libcernvm
fairlight1337/libcflie
yankay/libchdfs
jklimke/libcitygml
diegolagoglez/libclipp
igfuw/libcloudphxx
libclsph/libclsph
dsteinberg/libcluster
namecoin/libcoin
nemomobile/libcommhistory
communi/libcommuni
logicmachine/LibCompetitive
logicmachine/LibCompetitive-v3
nemomobile/libconnman-qt
nemomobile/libcontacts
nemomobile/libcontentaction
Darksecond/libcore
chris-turner137/libcplist
Neverlord/libcppa
rafalprzywarski/libcppmanip
libcpu/libcpu
mstump/libcql
marmalade/libcurl
vangdfang/libcutter
chapuni/libcxx
loganchien/libcxxabi
SysFera/libdadi
dbtsai/libDAI
sgielen/libdazeus-irc
derrickturk/libdca
ShevaXu/libde265-hack
robertsj/libdetran
diffpy/libdiffpy
open-eid/libdigidocpp
botonchou/libdnn
jp9000/libdshowcapture
TheRabbitologist/libDSON
janelia-flyem/libdvid-utils
ContinuumIO/libdynd
TrueJournals/libEasyPTP
lfranchi/libechonest
qmule/libed2k
ef-gy/libefgy
kito-cheng/libelfxx
toshic/libelliptics_proxy
scen/libembryo
jube/libes
LibreOffice/libetonyek
dinhviethoa/libetpan.node
theatrus/libevecache
bytefish/libfacerec
falltergeist/libfalltergeist
CESNET/libfastbit
britram/libfc
gsarkis/libfi
gentryx/libflatarray
OpenNetworkingFoundation/libfluid_msg
srv/libfovis
OpenKinect/libfreenect2
Malvineous/libgamearchive
Malvineous/libgamegraphics
Malvineous/libgamemusic
sumedhghaisas/libgdl
gentryx/libgeodecomp
libgeos/libgeos
macgitver/libGitWrap
CedricGuillemet/LibGizmo
