CiFor/SMD_Building_project
tpaviot/smesh
skieffer/sminthopsys
trungtle/smokedesigner
mcdonamp/smorgasbord
vibraphone/smtk
snap-stanford/snap
silvn/snapdragon
openSUSE/snapper
google/snappy
octo-code/snappy-unity3d
nhachicha/SnappyDB
snap-stanford/snapr
jancarlsson/snarkfront
jancarlsson/snarklib
hub-cap/sneaky-pete
snes9xgit/snes9x
OpenEmu/SNES9x-Core
Pretz/SNesoid
voipmonitor/sniffer
SnipeStudio/SnipeStudio_Budjet_manager
digvijay91/snmp-software
snoplus/snogoggles
snogglethorpe/snogray
hippiehunter/SnooDom
snoopspy/snoop91
Snorenotify/Snorenotify
zrm/snow
brutski/snowcrash-dot-net-wrapper
joakimkarlsson/snowhouse
snowshoe/snowshoe
catid/Snowshoe
shanegibbs/snowy-lang
datacratic/soa
CTSRD-SOAAP/soaap
Barnold1953/SoAVoxelEditor
ruslo/sober
kallaspriit/soccervision
SOCI/soci
thaddeusdiamond/Social-Hierarchical-Learning
log2co/socket
specialunderwear/socket.io.stresstest
GabrieleFrau/socketeria
mozilla-b2g/sockit-to-me
SodiumFRP/sodium
hak8or/Sodoku_Uni_Solver
vancegroup-mirrors/sofa-framework
ricortiz/SOFAFramework
SoFiA-Admin/SoFiA
opendnssec/SoftHSMv1
opendnssec/SoftHSMv2
bjt42/softmpu
BAllanach/softsusy
uCtrl/Software
mrtoniliu/Software-Engineering-Coursework
petersohn/sokoban
Rapptz/sol
christopho/solarus
christopho/solarus-quest-editor
MKomiya/solno
jarikomppa/soloud
halzate93/solver
tardypad/somafm
UNC-CFD/somar
MarkusCykel/Somebee-Swarm
smarr/SOMpp
setiQuest/SonATA
Awesomez/SongTastePlayer
samaaron/sonic-pi
RecipientCollective/sonos
alex-berman/sonotopy
Soomla/soomla-cocos2dx-core
essej/sooperlooper
strasdat/Sophus
funkey/sopnet
AdanTL/SORGES
stack-of-tasks/sot-core
stack-of-tasks/sot-dynamic
stack-of-tasks/sot-pattern-generator
stack-of-tasks/sot-state-observation
stack-of-tasks/soth
bingmann/sound-of-sorting
Ultraschall/Soundboard
soundcloud/soundcloud-win-sharing
HessiJames/soundkonverter
G4m4/soundtailor
google/souper
ValveSoftware/source-sdk-2013
Source-Python-Dev-Team/Source.Python
alliedmodders/sourcepawn
Singular/Sources
mkosola/sp-rich-core
NYUITP/sp13_10g
wenyun/spa
kremius/space-dworf-strategy
grizzly-studios/Space-Evaders
themalkolm/space-invaders
spaceconcordia/space-jobs
RocSolidProductions/Space-Shooter
riggspc/SpaceAce
