lovell/farmhash
Maximus5/FarPlugins
gbkedar/farsight-clone
migashko/faslib
smistad/FAST
Adelier/fast-exponentiation-algs
forGGe/fast-gys
jpuigcerver/fast_pca
jdierkse/fast_tv_grab_nl
fastbird/fastbirdEngine
neloe/FastBSON-Cpp
Mokosha/FasTC
highpower/fastcgi-daemon
sprenger120/FastCraft
melode11/FastDTW-x
cms-externals/fastjet
cms-externals/fastjet-contrib
FastLED/FastLED
FastMacro/FastMacro
jvgomez/fastmarching
rjpower/fastnet
lemire/FastPFor
regiomontanus/FastPortfolioOptimizer
ydmao/fastrpc
facebook/fatal
LubosD/fatrat
wareya/fausnd
libretro/fba-libretro
arvindus/fbci
rousseau/fbrain
geometer/FBReader
temper8/FBReader-Tizen
facebook/fbthrift
libgdx/fbx-conv
bytemaster/fc
mslinklater/FC
FOSS-Cloud/fc-broker-daemon
oldnomad/fcardsaver
zaborowska/FCC-fast-sim
HEP-FCC/FCCSW
HEP-FCC/FCCSW-hh
ryanwmoore/fceux
fcitx/fcitx-libpinyin
lenky0401/fcitx-qimpanel
lenky0401/fcitx-qimpanel-configtool
duloxetine/fcitx-skk-plus
flexible-collision-library/fcl
Frankenhooker/FCore
freundlich/fcppt
ITLab-Vision/FDDB
froksen/FDesktopRecorder
mstorsjo/fdk-aac
laas/feasibility
richardlayman/feather
therocode/featherkit
elador/FeatureDetection
mvansegbroeck/featxtra
FedoraKDE/fedora-plasma-first-login
feelpp/feelpp
femto-dev/femto
FeMTTU/femus
fermathproject/fermath
gap-system/ferret
LosYear/Ferriage
ChrislS/fertilized-forests
pypt/fervor
zeehio/festival
adiknoth/ffado
meekrosoft/fff
iamantony/FFilter
MultiSight/ffmpeg
Open-feather/ffmpeg-liveStreaming
wseemann/FFmpegMediaMetadataRetriever
neherlab/ffpopsim
FFTEAM/FFTEAM-MP3-Martii
joepickrell/fgwas
fgx/fgx
mdorenka/fhemduino
lducas/FHEW
broxtronix/Fiat-Lux
ftrias/fiatino
scilus/fibernavigator
windoze/fibio
purpleKarrot/Fidler
hendrikweisser/Fido
trainman419/fiducials_ros
field/FieldKit.cpp
FieldML/FieldML-API
steinwurf/fifi-python
clbr/fifth
gorillaking/FightingGame
djbutler/figleaf
gadomski/figtree
Fijee-Project/Fijee
VioletGiraffe/file-commander
rahul2605/file_read
michaellukashov/filecopyex3
weberr13/FileIO
boostorg/filesystem
Beman/filesystem-proposal
