ravenrd/DRAMPower
dramninjasUMD/DRAMSim2
offset/draw-it
ndonald2/drawAndFade
irenetung/DrawFreeGraphics
NiceCircuits/Drawing-robot
callaa/Drawpile
NevilClavain/DrawSpace
segrax/DrCreep
dreal/dreal
babynewton/drew
kosmaks/drill
JohannesEbke/drillbit
dreal/drio
StanfordDrivingTeam/driving_public
IkeLevens/drogon_interface
sailfishos/droidmedia
rahuliyer/dropbox-cpp
sandsmark/dropdabass
drowaudio/drowaudio
sgould/drwn
shoaib30/DS-Lab
phisiart/ds15gl
facebook/ds2
juda/DS2014
SpectraLogic/ds3_browser
janba/DSC
Jebbs/DSFML-C
zyvitski/DSG
frankyeh/DSI-Studio
DreamSourceLab/DSLogic
s9xie/DSN
ilhanyumer/DSNP
dannyedel/dspdfviewer
Predelnik/DSpellCheck
vinniefalco/DSPFilters
lrog/dsrc
osuosl/dssp
hiroMTB/dt_
NIRALUser/DTIPrep
d-tk/dtk
cubicdaiya/dtl
shaunxcode/dtm
chebee7i/DTS
komiga/duct-cpp
odanek/duel6r
ivanseidel/DueTimer
duilib/duilib
eecsninja/duinocube
mikrosimage/duke
SomeRandomGameDev/DumbFramework
TeamFauna/dumbo
kth-ros-pkg/dumbo_driver
luser/dump_syms
dune-project/dune-common
OPM/dune-cornerpoint
pyMor/dune-gdt
dune-project/dune-grid
pyMor/dune-grid-multiscale
pyMor/dune-hdd
dune-project/dune-istl
smuething/dune-multidomain
smuething/dune-multidomaingrid
dune-project/dune-pdelab
dune-project/dune-pdelab-howto
renemilk/DUNE-Stuff
0151n/dungeoncrawler
theandrewchan/DungeonRaider
mjwybrow/dunnart
devgeekco/duplicate_file_finder
YCAMInterlab/Duration
Duduf-dev/Dutico
CaterHatterPillar/dv2549
svenstaro/dwarf_fortress_unfuck
LeoCavaille/dvblmgr
siro20/dvbt-encoder
pmachata/dwgrep
Raph-Stash/dWiNA
mgieseki/dvisvgm
tum-vision/dvo
tum-vision/dvo_slam
jhu-dvrk/dvrk-ros
voc/dvswitch-voc
tomas789/dx
kabzerek/DX11_project
yorung/dx11bvh
agrippa1994/DX9-Overlay-API
olevegard/DXBall
Neoracle/DymonRepo
stack-of-tasks/dynamic-graph
boostorg/dynamic_bitset
MohitShridhar/dynamic_gazebo_models
stack-of-tasks/dynamic_graph_bridge
smenon/dynamicTopoFvMesh
iut-ibk/DynaMind-ToolBox
andyras/dynamix
toastedcrumpets/DynamO
DynareTeam/dynare
libdynd/dynd-python
tfogal/dyninst
