chewing/chewing-editor
wuhongyi1977/ChgMangos_WoTLK
slowfrog/chickenpix
CtopCsUtahEdu/chill-dev
sslattery/Chimera
spencerparkin/ChineseCheckers
cpe7/chip8
jhasse/chipmunkpp
dnhushak/chipophone
jjf28/Chkdraft
AndreyMlashkin/ChmvLab1
TheComet93/chocobun
fabiensanglard/Chocolate-Wolfenstein-3D
sansumbrella/Choreograph
klangfreund/Choreographer
s-nakaoka/choreonoid
JeffersonLab/chroma
lalinsky/chromaprint
open-eid/chrome-token-signing
amd/Chromium-WebCL
michalliu/Chromium-WebRTC
lianliuwei/chromium_base2
projectchrono/chrono
named-data/ChronoChat
DarkHobbit/chronoline
Metaswitch/chronos
spencersalazar/chuck
onedayitwillmake/ChuClone
fallahn/CHUF
mysmartgrid/chumby-controlpanel
ShayanZafar/CImg
cinder/Cinder
ryanbartley/Cinder-Bullet3D
redpaperheart/Cinder-CanonSdk
richardeakin/Cinder-Dart
wieden-kennedy/Cinder-KCB
wieden-kennedy/Cinder-KCB2
MartinBspheroid/Cinder-MIDI2
notlion/Cinder-NanoVG
wieden-kennedy/Cinder-OpenNI
paulhoux/Cinder-Samples
num3ric/Cinder-Skinning
redpaperheart/Cinder-Wax9
dawidgorny/Cinder-ZXing
dslul/cinema-scope
CingProject/Cing
Cinnicoin/CinniCoin
paulhodge/circa
collapsedev/circlecash
uspgamedev/circuit-of-mana
boostorg/circular_buffer
gregorburger/CityDrain3
Nojan/CityScape
karadoc/Civ4-K-Mod
ciyam/ciyam
koowolf/cjc-test
kingofmen/CK2toEU3
ckw-mod/ckw-mod
odashi/Ckylark
vdrd/cl
vgvassilev/clad
wangli1426/Claims
JJPPeters/clAlign
davetcoleman/clam
nochowderforyou/clams
cmbrandenburg/clane
eyolfson/clang
philipc/clang-ast
eerolanguage/clang-interpreter-runtime
jmah/Clang-KeyPathValidator
m-labs/clang-lm32
eswick/clang-logos
spurious/clang-mirror
rettichschnidi/clang-misracpp2008
skristiansson/clang-or1k
aktaylor08/clang-pass
sampsyo/clang-quala
ffevotte/clang-tags
llvm-mirror/clang-tools-extra
pfultz2/ClangComplete
sphair/ClanLib
egorFiNE/clarc
domoritz/clasp-pb
AISanDiego-ProgrammingClub/Class-Excercises
marmand/class-gen
ros/class_loader
BasicConceptClassification/ClassificationDeveloper
irrequietus/clause
jckarter/clay
mzsanford/cld
csrf/cldtcwt
larroy/clearskies_core
Metaswitch/clearwater-app-servers
Metaswitch/clearwater-snmp-handlers
ricortiz/Cleaver
SCIInstitute/Cleaver2
clementine-player/Clementine
alanbriolat/clementine-subsonic
BramvdKroef/clessc
matszpk/clgpustress
