sebkirche/pbniregex
ImageGuidedTherapyLab/PBNRR
seladb/PcapPlusPlus
messianos/pci_server
nalt/pcl
StevenHickson/PCL_Kinect2SDK
yoshimalucky/pcl_ros_outdoor
mimitantono/pcluster
debian-lxqt/pcmanfm-qt
PCMSolver/pcmsolver
pcolby/pcp-pmda-cpp
yen3/pcpe2
kamiljano/PCRemote
PCSX2/pcsx2
lucciano/pd2mo
PDAL/PDAL
documentcloud/pdfshaver
ezavada/pdg
Habbie/pdns
danomatika/PdParty
Discriminator/PDW
kl0211/pdx-cs-tutors
coderforlife/pe-file
trailofbits/pe-parse
www5sccs/peanoclaw
xflouris/PEAR
ewanbarr/peasoup
andrey-popov/PECLocalFwk
molpopgen/pecnv
jmolloy/pedigree
srl-freiburg/pedsim_ros
peelonet/peelo-cpp
peersafe/PeerSafe
FuzzyBearBTC/Peerunity
robertop/pelet
pelican/pelican
pelican/pelican-lofar
pencil2d/pencil
jg-maon/Pendulum
RazorLove/pennies
UPenn-SUSY/PennSUSYFrame
GasperPaul/Pentago
xanxys/pentatope
jgehring/pepper
lbnt/perception
cybereality/Perception
pal-robotics/perception_blort
ros-perception/perception_pcl
percolator/percolator
percona/percona-playback
percona/percona-server
percona/percona-xtradb-cluster
liuctic/PercSeqLabel
performous/performous
MaddTheSane/perian
mskoenz/perimeter-qmc
pfalcon/PeripheralTemplateLibrary
VishrutMehta/PersonalizedNewsRecommendationEngine
GenaBitu/Pertotman
OlafRadicke/peruschim_cpp
peryaudo/Peryan
barbagroup/PetIBM
spott/petsc-cpp
nebula2/Pew
Parallel-in-Time/PFASST
pfi/pficommon
stangirala/PFinder
MCMLXXXIV/PFO_Tools
wavii/pfp
jorisv/PG
postgres/pgadmin3
Wohlstand/PGE-Project
martinsch/pgmlink
pgmodeler/pgmodeler
pgXplorer/pgXplorer
ShortTailLab/ph-open
xoreos/phaethon
Phantomsmedia/PhanTactical-Mission-Framework
niwibe/phantompy
pbiggar/phc
reinerwaldmann/PHDFingerprintSuite
Foxious/phEngine
Treatz/phiction_phreak
philosopherstonecoin/philosopherstone
blackrim/phlawd
IronSavior/phlegethon
boostorg/phoenix
team-phoenix/Phoenix
mer-qa/phonesim
josh23french/photo-upload-inator
Kicer86/photobroom
MiguelAlgaba/photoconsistency-visual-odometry
wang-bin/PhotoKit
luspi/photoqt-dev
cachirulop/PhotoViewer
CopernicaMarketingSoftware/PHP-CPP
php/php-gtk-src
SIMITGROUP/phpexcelib
Phantomsmedia/Phramework
jakob-skou-pedersen/phy
