zerebubuth/openstreetmap-tile-analyze
AMDmi3/openstrike
NREL/OpenStudio
PixarAnimationStudios/OpenSubdiv
simquest/opensurgsim
dirtybit/OpenTLD
opentok/opentok-ios-sdk-samples
Kasoki/opentp
opentrack/opentrack
trep/opentrep
ulfhermann/openttd
svn2github/OpenTTD
fonsinchen/openttd-cargodist
Creat/OpenTTD-Separation
openturns/openturns
Open-Transactions/opentxs-cli
Open-Transactions/opentxs-notary
Open-Transactions/opentxs-server
openuasl/openuasl-server
lukhnos/openvanilla
fofoni/openwar
dreamworksanimation/openvdb
openvsip/openvsip
OpenVSP/OpenVSP
SupSuper/OpenXcom
ducakar/openzone
wikimedia/operations-software-hhvm-dev-folly
vooon/opgateway
BlackCrowned/OpGLLib
OPM/opm-autodiff
OPM/opm-core
OPM/opm-material
OPM/opm-polymer
OPM/opm-porsol
OPM/opm-upscaling
gihanmudalige/OPS
bhumbers/optcomp
nafur/optiB
tclarke/opticks
mohitkharb/Opticks_GSOC2012
boostorg/optional
akrzemi1/Optional
OptimoJoe/Optizelle
ratschlab/oqtans_tools
personalrobotics/or_interactivemarker
personalrobotics/or_ompl
personalrobotics/or_rviz
personalrobotics/or_sbpl
aam/oracledart
Orangecoins/Orangecoin
giucam/orbital
Orbitcoin/Orbitcoin-Old
officinerobotiche/orblibcpp
mgmarino/OrcaROOT
sreich/ore-infinium
Giemsa/oreore
mikoro/orientview
hiraditya/origin
DragonSpiritIndustries/Orion
wg-perception/ork_renderer
orlyatomics/orly
micdoug/Orm4Qt
psoetens/orocos-rtt
jhu-lcsr/orocos_barrett
orocos/orocos_kinematics_dynamics
Arkshine/Orpheu
the-darkvoid/OS-X-Fake-PCI-ID
RehabMan/OS-X-Voodoo-PS2-Controller
Unvanquished/Osavul
OSCARAdapter/OSCAR
OSCCAR-PFM/OSCCAR
OSCES/OSCES-FRAMEWORK
CLOUDS-Interactive-Documentary/Oscillations
kaoskorobase/oscpp
openscenegraph/osg
lilveg/OSGARD
seichter/osgART
havokentity/osghimmel
bjornblissing/osgoculusviewer
xarray/osgRecipes
alec101/OSInteraction
saiarcot895/osm-fulton-address
MaZderMind/osm-history-renderer
pgRouting/osm2pgrouting
osmandapp/OsmAnd-external-skia
joto/osmcoastline
joto/osmium
fredj/osrm
Project-OSRM/osrm-backend
joegen/oss_core
yb-kim/osSim
OSU-CMS/OSUT3Analysis
OSVR/OSVR-Core
OSVR/OSVR-Unreal
edubart/otclient
Rasbats/OTCurrent_pi
amaloz/otlib
khaledhosny/ots
OtterBrowser/otter-browser
mattyx14/otxserver
