anthann/Opencv-Experiment-Collection
BloodAxe/OpenCV-Tutorial
pfpacket/opencv-wayland
wg-perception/opencv_candidate
Itseez/opencv_extra
OpenCVBlobsLib/opencvblobslib
xsmart/opencvr
AMDmi3/opendaed
ickby/openDCM
tmeiczin/OpenDCP
kimkulling/openddl-parser
objectcomputing/OpenDDS
savoirfairelinux/opendht
OpenDroneMap/OpenDroneMap
OpenDungeons/OpenDungeons
doughodson/OpenEaagles
doughodson/OpenEaaglesExamples
thliebig/openEMS
jackun/openencodevfw
openexr/openexr
arrenglover/openfabmap
fbricker/openfl-admob
OpenFLUID/openfluid
OpenFOAM/OpenFOAM-2.3.x
ofxa/openfx
devernay/openfx-misc
devernay/openfx-supportext
adaptivegenome/openge
L4D15/OpenGE
darkenk/opengl
jnsnow/OpenGL
nbouteme/OpenGL-Demo
TheKK/openGL-homework
Spartan97/OpenGLGameTemplate
albertnez/OpenGLTest
opengm/opengm
Mandarancio/OpenGOO
OpenGP/OpenGP
laurentkneip/opengv
OpenHEVC/openHEVC
yosuke/OpenHRIAudio
fkanehiro/openhrp3
inventos/OpenHttpStreamer
openigtlink/OpenIGTLink
openigtlink/OpenIGTLinkIF
openigtlink/OpenIGTLinkSimulator
OpenIndy/OpenIndy
openitg/openitg
OpenJabNab/OpenJabNab
AlisterT/openjazz
codefollower/OpenJDK-Research
JACoders/OpenJK
Razish/OpenJK-Speed
valabau/openlat
Kicer86/openlibrary
albertz/openlierox
litespeedtech/openlitespeed
mhatina/openlmi_gui
SwissTPH/openmalaria
vulcanft/openmama
openMerc/openmerc
SimTk/openmm
LCLS/OpenMMFBM
umitproject/openmonitor-ios-agent
Obijuan/openmr
hroest/openms
OpenMS/OpenMS
OpenMW/openmw
OpenNI/OpenNI
ros-drivers/openni_camera
ros-drivers/openni2_camera
jvcleave/OpenNI2AppExample
sigrand/OpenNVR
openpad/openpad-server
OpenParsec/openparsec
GeoffreyBoom/OpenPewPewWow
calccrypto/OpenPGP
ICRS/OpenPilot-Clone
hmbl9r/OpenPuush
xythobuz/OpenRaider
rdiankov/openrave
OpenROV/openrov-software-arduino
tork-a/openrtm_aist-release
liquidbuffer/openrump
openscad/openscad
DatawaveMarineScience/OpenSEA
pointhi/OpenSensorSystem
vossg/OpenSGDevMaster
7h0ma5/OpenShack
imageworks/OpenShadingLanguage
opensim-org/opensim-core
fabianschuiki/OpenSkyscraper
robotology-playground/OpenSot
briches/OpenSourceQuad
yvt/openspades
reltham/OpenSpin
OpenSprinkler/OpenSprinklerGen2
ObKo/OpenSR
GenaBitu/OpenStrategia
zerebubuth/openstreetmap-cgimap
