tangrams/fontstash-es
hymerman/foo_bestversion
Dremora/foo_musicbrainz
fireco007/foobarLyrics
Evolving-AI-Lab/fooling
aeronzhou/FootballAI
dominikbelter/ForceController
boostorg/foreach
richfitz/forest
couchbaselabs/forestdb
couchbaselabs/ForestDB-Benchmark
tomas-rampas/forex-connect-py
ViniGodoy/ForFun
cplepel/Forge
otland/forgottenserver
amorilia/formast
boostorg/format
nextgis/formbuilder
FormSeher/formseher
yugiohatemu/ForScience
ipv6Watch/fortress
fortressforever/fortressforever
fortressforever/fortressforever-2013
ms-iot/forwarders
Brinsky/FOTH
jordanlittlefair/Foundation
davidgreisler/four-in-a-line
EnoahNetzach/fourFs
kylefowler/foursquare
rafaelbes/foveatedFeatures
foxox/foxtracer
DanNixon/FP_StreamTimelapse
obiou/FPL
dstehle/fplll
farbrausch/fr_public
Salamandar/Fractalis
emmaai/fractalM
opilar/fraction
draperlaboratory/fracture
Syntopia/Fragmentarium
karimnaaji/fragtool
i-rinat/fragview
zorbathut/frames
MultiSight/framestore_client
maliit/framework
links234/Framework
rcoscali/frameworks-av
TeamEos/frameworks_av
MrApocalypse/frameworks_native
SlimRoms/frameworks_rs
FredrikL/frankie
franko-org/franko
Team254/FRC-2012
Iron-Panthers/FRC-2015
FRC1280/FRC1280RecycleRush
FRCTeam1967/FRCTeam1967
fred-dbg/fred
FRED-PITT/FRED
JonasThomas/free-cad
wheybags/freeablo
ekg/freebayes
dridk/freebox-desktop
gliaskos/freebsd-chromium
mrlukeparry/freecad
FreeCAD/FreeCAD_sf_master
FREEDM-DGI/FREEDM
seank/freeems-loader
FreeFalcon/freefalcon-central
Fabio-Varesano-Association/freeimu
anttisalonen/freekick3
FreeMedForms/freemedforms
lordsergioinspa/FreeNOS
FreeOpcUa/freeopcua
freeorion/freeorion
FreeRCT/FreeRCT
FreeRDP/FreeRDP-WebConnect
freesmee/freesmee-desktop
SamuelCho/Freespace-Open-Swifty
muhku/FreeStreamer
FreeStroke/FreeStroke
gestom/fremen
frePPLe/frePPLe
aizest/freqmine
pasnox/fresh
Lnd-stoL/fresnel-zones-qt
studentkittens/Freya
SfietKonstantin/friends-sailfish
FroboLab/FroboMind
AndrewStallman/Frog
Aslai/Frog-Lies
frogatto/frogatto
paulbovbel/frontier_exploration
ElCapitan2/Frontier_Navigation
Paul-Wortmann/Frost_and_Flame
google/fruit
pmiddend/fruitcut
sintefmath/FRView
FrodeSolheim/fs-uae
nisselarsson/fs2_open_patchbucket
scp-fs2open/fs2open.github.com
